dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
own library, 130 nt	001	multi	53985	43648	134898	22468	21180	7538	25636	3	10471	0	0
own library, 130 nt	001	single	58557	40249	52203	38250	1999	25041	13490	8	1710	0	0
own library, 130 nt	002	multi	644160	602844	2229555	91780	511064	154773	322774	68	125229	0	0
own library, 130 nt	002	single	1196866	884370	1219833	828581	55789	651197	192180	167	40826	0	0
own library, 130 nt	003	multi	1051729	985521	4540768	169377	816144	422080	272501	120	290820	0	0
own library, 130 nt	003	single	2044485	1761905	2486192	1606065	155840	1367110	307683	263	86849	0	0
own library, 130 nt	004	multi	814354	746183	3102561	162248	583935	232861	301543	105	211674	0	0
own library, 130 nt	004	single	1552387	1212355	1663430	1136262	76093	903160	252823	183	56189	0	0
own library, 130 nt	005	multi	734289	690571	2717566	106878	583693	206735	322392	74	161370	0	0
own library, 130 nt	005	single	1355009	1065590	1470056	995981	69609	798844	217415	155	49176	0	0
own library, 130 nt	006	multi	1004952	927755	3539247	180379	747376	272423	442955	99	212278	0	0
own library, 130 nt	006	single	2152465	1654261	2261507	1570198	84063	1217173	361552	241	75295	0	0
own library, 130 nt	007	multi	1992948	1852289	8083053	369102	1483187	704921	604447	127	542794	0	0
own library, 130 nt	007	single	4481534	3755896	5157794	3537997	217899	2777269	802145	615	175867	0	0
own library, 130 nt	008	multi	1307936	1206458	4851866	239211	967247	326738	559364	137	320219	0	0
own library, 130 nt	008	single	2764448	2069738	2800057	1961344	108394	1479192	492131	544	97871	0	0
own library, 130 nt	009	multi	1484072	1379154	5585297	271253	1107901	509183	510719	126	359126	0	0
own library, 130 nt	009	single	3478580	2915739	4001771	2768740	146999	2167161	615046	397	133135	0	0
own library, 130 nt	010	multi	3103555	2950300	14377977	496985	2453315	1042120	855629	275	1052276	0	0
own library, 130 nt	010	single	6560878	5642845	7800971	5292261	350584	4178018	1196587	905	267335	0	0
own library, 130 nt	011	multi	3178980	3027343	15452360	493688	2533655	1091924	776664	243	1158512	0	0
own library, 130 nt	011	single	6510118	5662621	7894378	5267508	395113	4195110	1181758	1002	284751	0	0
own library, 130 nt	012	multi	2535408	2408411	11822070	407164	2001247	914785	646194	218	847214	0	0
own library, 130 nt	012	single	5379812	4646682	6428758	4344089	302593	3458962	965032	555	222133	0	0
own library, 130 nt	013	multi	2648760	2516066	12443721	381444	2134622	802999	807943	232	904892	0	0
