dataset	cell	class	biotype	reads
own library, 130 nt	001	multi	ProteinCoding	32867
own library, 130 nt	001	multi	lncRNA	24339
own library, 130 nt	001	multi	MiscRna	3361
own library, 130 nt	001	multi	snRNA	2046
own library, 130 nt	001	multi	miRNA	1862
own library, 130 nt	001	multi	ProcessedPseudogene	1572
own library, 130 nt	001	multi	rRNA	778
own library, 130 nt	001	multi	TranscribedProcessedPseudogene	627
own library, 130 nt	001	multi	snoRNA	524
own library, 130 nt	001	multi	UnprocessedPseudogene	433
own library, 130 nt	001	multi	TEC	396
own library, 130 nt	001	multi	TranscribedUnprocessedPseudogene	282
own library, 130 nt	001	multi	UnitaryPseudogene	86
own library, 130 nt	001	multi	TranscribedUnitaryPseudogene	74
own library, 130 nt	001	multi	tRNA	36
own library, 130 nt	001	multi	ribozyme	4
own library, 130 nt	001	multi	IgCGene	3
own library, 130 nt	001	multi	MtRrna	2
own library, 130 nt	001	multi	IgLvGene	1
own library, 130 nt	001	multi	IgVPseudogene	1
own library, 130 nt	001	multi	MtTrna	1
own library, 130 nt	001	multi	scaRNA	1
own library, 130 nt	001	single	ProteinCoding	34626
own library, 130 nt	001	single	lncRNA	5039
own library, 130 nt	001	single	snoRNA	695
own library, 130 nt	001	single	MiscRna	580
own library, 130 nt	001	single	ribozyme	558
own library, 130 nt	001	single	snRNA	301
own library, 130 nt	001	single	rRNA	120
own library, 130 nt	001	single	TEC	113
own library, 130 nt	001	single	miRNA	109
own library, 130 nt	001	single	ProcessedPseudogene	102
own library, 130 nt	001	single	TranscribedUnprocessedPseudogene	42
own library, 130 nt	001	single	scaRNA	33
own library, 130 nt	001	single	TranscribedProcessedPseudogene	27
own library, 130 nt	001	single	UnitaryPseudogene	20
own library, 130 nt	001	single	MtRrna	17
own library, 130 nt	001	single	TranscribedUnitaryPseudogene	11
own library, 130 nt	001	single	tRNA	8
own library, 130 nt	001	single	UnprocessedPseudogene	4
own library, 130 nt	001	single	MtTrna	2
own library, 130 nt	002	multi	lncRNA	473179
own library, 130 nt	002	multi	ProteinCoding	453754
own library, 130 nt	002	multi	MiscRna	101875
own library, 130 nt	002	multi	miRNA	59382
own library, 130 nt	002	multi	snRNA	57448
own library, 130 nt	002	multi	ProcessedPseudogene	34094
own library, 130 nt	002	multi	snoRNA	15724
own library, 130 nt	002	multi	TranscribedProcessedPseudogene	15127
own library, 130 nt	002	multi	UnprocessedPseudogene	5418
own library, 130 nt	002	multi	rRNA	4383
own library, 130 nt	002	multi	TranscribedUnprocessedPseudogene	2249
own library, 130 nt	002	multi	TEC	1060
own library, 130 nt	002	multi	TranscribedUnitaryPseudogene	961
own library, 130 nt	002	multi	tRNA	480
own library, 130 nt	002	multi	UnitaryPseudogene	364
own library, 130 nt	002	multi	MtTrna	78
own library, 130 nt	002	multi	ribozyme	57
own library, 130 nt	002	multi	MtRrna	13
own library, 130 nt	002	multi	IgVGene	7
own library, 130 nt	002	multi	IgVPseudogene	7
own library, 130 nt	002	multi	scaRNA	2
own library, 130 nt	002	multi	TrCGene	1
own library, 130 nt	002	multi	TrVGene	1
own library, 130 nt	002	single	ProteinCoding	773781
own library, 130 nt	002	single	lncRNA	94099
own library, 130 nt	002	single	ribozyme	21079
own library, 130 nt	002	single	MiscRna	16908
own library, 130 nt	002	single	snoRNA	16803
own library, 130 nt	002	single	snRNA	8030
own library, 130 nt	002	single	miRNA	3638
own library, 130 nt	002	single	ProcessedPseudogene	2343
own library, 130 nt	002	single	rRNA	1976
own library, 130 nt	002	single	TEC	1620
own library, 130 nt	002	single	TranscribedProcessedPseudogene	906
own library, 130 nt	002	single	scaRNA	841
own library, 130 nt	002	single	TranscribedUnprocessedPseudogene	703
own library, 130 nt	002	single	UnprocessedPseudogene	268
own library, 130 nt	002	single	tRNA	227
own library, 130 nt	002	single	MtRrna	164
own library, 130 nt	002	single	TranscribedUnitaryPseudogene	160
own library, 130 nt	002	single	UnitaryPseudogene	62
own library, 130 nt	002	single	MtTrna	44
own library, 130 nt	002	single	TranslatedUnprocessedPseudogene	8
own library, 130 nt	002	single	pseudogene	2
own library, 130 nt	003	multi	lncRNA	693333
own library, 130 nt	003	multi	ProteinCoding	585509
own library, 130 nt	003	multi	MiscRna	324920
own library, 130 nt	003	multi	miRNA	184453
own library, 130 nt	003	multi	snRNA	128890
own library, 130 nt	003	multi	ProcessedPseudogene	69884
own library, 130 nt	003	multi	snoRNA	50956
own library, 130 nt	003	multi	TranscribedProcessedPseudogene	30926
own library, 130 nt	003	multi	rRNA	10394
own library, 130 nt	003	multi	UnprocessedPseudogene	9230
own library, 130 nt	003	multi	TranscribedUnprocessedPseudogene	4211
own library, 130 nt	003	multi	TranscribedUnitaryPseudogene	2374
own library, 130 nt	003	multi	TEC	1755
own library, 130 nt	003	multi	tRNA	912
own library, 130 nt	003	multi	UnitaryPseudogene	621
own library, 130 nt	003	multi	ribozyme	289
own library, 130 nt	003	multi	MtTrna	92
own library, 130 nt	003	multi	MtRrna	48
own library, 130 nt	003	multi	scaRNA	14
own library, 130 nt	003	multi	IgVPseudogene	7
own library, 130 nt	003	multi	IgCGene	4
own library, 130 nt	003	multi	IgVGene	4
own library, 130 nt	003	multi	TrCGene	2
own library, 130 nt	003	multi	TrVGene	1
own library, 130 nt	003	single	ProteinCoding	1531181
own library, 130 nt	003	single	lncRNA	179085
own library, 130 nt	003	single	ribozyme	63461
own library, 130 nt	003	single	snoRNA	54427
own library, 130 nt	003	single	MiscRna	54305
own library, 130 nt	003	single	snRNA	21262
own library, 130 nt	003	single	miRNA	8332
own library, 130 nt	003	single	ProcessedPseudogene	3882
own library, 130 nt	003	single	rRNA	2736
own library, 130 nt	003	single	TEC	2733
own library, 130 nt	003	single	scaRNA	2616
own library, 130 nt	003	single	TranscribedProcessedPseudogene	1957
own library, 130 nt	003	single	TranscribedUnprocessedPseudogene	1182
own library, 130 nt	003	single	MtRrna	624
own library, 130 nt	003	single	tRNA	338
own library, 130 nt	003	single	TranscribedUnitaryPseudogene	316
own library, 130 nt	003	single	MtTrna	191
own library, 130 nt	003	single	UnprocessedPseudogene	157
own library, 130 nt	003	single	UnitaryPseudogene	63
own library, 130 nt	003	single	IgCGene	1
own library, 130 nt	003	single	IgVGene	1
own library, 130 nt	004	multi	lncRNA	534256
own library, 130 nt	004	multi	ProteinCoding	504773
own library, 130 nt	004	multi	MiscRna	153854
own library, 130 nt	004	multi	snRNA	110178
own library, 130 nt	004	multi	miRNA	92165
own library, 130 nt	004	multi	ProcessedPseudogene	49423
own library, 130 nt	004	multi	TranscribedProcessedPseudogene	21739
own library, 130 nt	004	multi	snoRNA	20800
own library, 130 nt	004	multi	rRNA	7392
own library, 130 nt	004	multi	UnprocessedPseudogene	6822
own library, 130 nt	004	multi	TranscribedUnprocessedPseudogene	3029
own library, 130 nt	004	multi	TEC	1970
own library, 130 nt	004	multi	TranscribedUnitaryPseudogene	1388
own library, 130 nt	004	multi	tRNA	835
own library, 130 nt	004	multi	UnitaryPseudogene	614
own library, 130 nt	004	multi	ribozyme	113
own library, 130 nt	004	multi	MtTrna	80
own library, 130 nt	004	multi	MtRrna	36
own library, 130 nt	004	multi	scaRNA	10
own library, 130 nt	004	multi	TrVPseudogene	3
own library, 130 nt	004	multi	IgVGene	2
own library, 130 nt	004	multi	IgVPseudogene	2
own library, 130 nt	004	multi	TrCGene	2
own library, 130 nt	004	multi	TrVGene	2
own library, 130 nt	004	multi	TranslatedUnprocessedPseudogene	1
own library, 130 nt	004	single	ProteinCoding	1061966
own library, 130 nt	004	single	lncRNA	118027
own library, 130 nt	004	single	MiscRna	32013
own library, 130 nt	004	single	ribozyme	26292
own library, 130 nt	004	single	snoRNA	23466
own library, 130 nt	004	single	snRNA	13943
own library, 130 nt	004	single	miRNA	4855
own library, 130 nt	004	single	ProcessedPseudogene	2989
own library, 130 nt	004	single	rRNA	2838
own library, 130 nt	004	single	TEC	2180
own library, 130 nt	004	single	TranscribedProcessedPseudogene	1243
own library, 130 nt	004	single	scaRNA	1171
own library, 130 nt	004	single	MtRrna	855
own library, 130 nt	004	single	TranscribedUnprocessedPseudogene	796
own library, 130 nt	004	single	tRNA	260
own library, 130 nt	004	single	TranscribedUnitaryPseudogene	244
own library, 130 nt	004	single	UnitaryPseudogene	136
own library, 130 nt	004	single	UnprocessedPseudogene	121
own library, 130 nt	004	single	MtTrna	94
own library, 130 nt	004	single	TranslatedUnprocessedPseudogene	5
own library, 130 nt	005	multi	lncRNA	530987
own library, 130 nt	005	multi	ProteinCoding	492514
own library, 130 nt	005	multi	MiscRna	139635
own library, 130 nt	005	multi	miRNA	83280
own library, 130 nt	005	multi	snRNA	81265
own library, 130 nt	005	multi	ProcessedPseudogene	43857
own library, 130 nt	005	multi	TranscribedProcessedPseudogene	19566
own library, 130 nt	005	multi	snoRNA	18004
own library, 130 nt	005	multi	UnprocessedPseudogene	6493
own library, 130 nt	005	multi	rRNA	6014
own library, 130 nt	005	multi	TranscribedUnprocessedPseudogene	2507
own library, 130 nt	005	multi	TranscribedUnitaryPseudogene	1329
own library, 130 nt	005	multi	TEC	1074
own library, 130 nt	005	multi	UnitaryPseudogene	607
own library, 130 nt	005	multi	tRNA	602
own library, 130 nt	005	multi	ribozyme	85
own library, 130 nt	005	multi	MtTrna	82
own library, 130 nt	005	multi	MtRrna	29
own library, 130 nt	005	multi	TranslatedUnprocessedPseudogene	5
own library, 130 nt	005	multi	scaRNA	3
own library, 130 nt	005	multi	IgVGene	2
own library, 130 nt	005	multi	TrVGene	2
own library, 130 nt	005	multi	TrCGene	1
own library, 130 nt	005	multi	TrVPseudogene	1
own library, 130 nt	005	multi	pseudogene	1
own library, 130 nt	005	single	ProteinCoding	940351
own library, 130 nt	005	single	lncRNA	103916
own library, 130 nt	005	single	ribozyme	26826
own library, 130 nt	005	single	MiscRna	22057
own library, 130 nt	005	single	snoRNA	20731
own library, 130 nt	005	single	snRNA	10895
own library, 130 nt	005	single	miRNA	4202
own library, 130 nt	005	single	ProcessedPseudogene	2693
own library, 130 nt	005	single	TEC	2017
own library, 130 nt	005	single	rRNA	1732
own library, 130 nt	005	single	TranscribedProcessedPseudogene	1198
own library, 130 nt	005	single	scaRNA	1121
own library, 130 nt	005	single	TranscribedUnprocessedPseudogene	640
own library, 130 nt	005	single	MtRrna	281
own library, 130 nt	005	single	TranscribedUnitaryPseudogene	261
own library, 130 nt	005	single	tRNA	232
own library, 130 nt	005	single	UnprocessedPseudogene	86
own library, 130 nt	005	single	MtTrna	79
own library, 130 nt	005	single	UnitaryPseudogene	49
own library, 130 nt	005	single	TranslatedUnprocessedPseudogene	4
own library, 130 nt	005	single	TrJGene	2
own library, 130 nt	005	single	IgVPseudogene	1
own library, 130 nt	006	multi	lncRNA	698968
own library, 130 nt	006	multi	ProteinCoding	666931
own library, 130 nt	006	multi	MiscRna	172427
own library, 130 nt	006	multi	miRNA	106232
own library, 130 nt	006	multi	snRNA	90452
own library, 130 nt	006	multi	ProcessedPseudogene	67123
own library, 130 nt	006	multi	TranscribedProcessedPseudogene	29898
own library, 130 nt	006	multi	snoRNA	18108
own library, 130 nt	006	multi	UnprocessedPseudogene	9341
own library, 130 nt	006	multi	rRNA	7340
own library, 130 nt	006	multi	TranscribedUnprocessedPseudogene	4125
own library, 130 nt	006	multi	TranscribedUnitaryPseudogene	2272
own library, 130 nt	006	multi	tRNA	2165
own library, 130 nt	006	multi	TEC	2033
own library, 130 nt	006	multi	UnitaryPseudogene	1142
own library, 130 nt	006	multi	MtTrna	159
own library, 130 nt	006	multi	ribozyme	98
own library, 130 nt	006	multi	MtRrna	42
own library, 130 nt	006	multi	scaRNA	15
own library, 130 nt	006	multi	IgVPseudogene	7
own library, 130 nt	006	multi	TrVGene	7
own library, 130 nt	006	multi	IgVGene	5
own library, 130 nt	006	multi	TranslatedUnprocessedPseudogene	3
own library, 130 nt	006	multi	TrVPseudogene	2
own library, 130 nt	006	multi	IgCGene	1
own library, 130 nt	006	multi	TrCGene	1
own library, 130 nt	006	single	ProteinCoding	1469739
own library, 130 nt	006	single	lncRNA	158068
own library, 130 nt	006	single	MiscRna	30010
own library, 130 nt	006	single	ribozyme	29720
own library, 130 nt	006	single	snoRNA	20200
own library, 130 nt	006	single	snRNA	13398
own library, 130 nt	006	single	miRNA	7039
own library, 130 nt	006	single	ProcessedPseudogene	4510
own library, 130 nt	006	single	TEC	3069
own library, 130 nt	006	single	rRNA	1878
own library, 130 nt	006	single	TranscribedProcessedPseudogene	1451
own library, 130 nt	006	single	scaRNA	886
own library, 130 nt	006	single	TranscribedUnprocessedPseudogene	852
own library, 130 nt	006	single	MtRrna	415
own library, 130 nt	006	single	tRNA	354
own library, 130 nt	006	single	TranscribedUnitaryPseudogene	353
own library, 130 nt	006	single	UnprocessedPseudogene	313
own library, 130 nt	006	single	MtTrna	211
own library, 130 nt	006	single	UnitaryPseudogene	93
own library, 130 nt	006	single	sRNA	4
own library, 130 nt	006	single	TranslatedUnprocessedPseudogene	1
own library, 130 nt	007	multi	lncRNA	1314467
own library, 130 nt	007	multi	ProteinCoding	1171553
own library, 130 nt	007	multi	MiscRna	476996
own library, 130 nt	007	multi	miRNA	279373
own library, 130 nt	007	multi	snRNA	274214
own library, 130 nt	007	multi	ProcessedPseudogene	146759
own library, 130 nt	007	multi	TranscribedProcessedPseudogene	65390
own library, 130 nt	007	multi	snoRNA	59189
own library, 130 nt	007	multi	UnprocessedPseudogene	22903
own library, 130 nt	007	multi	rRNA	18376
own library, 130 nt	007	multi	TranscribedUnprocessedPseudogene	9071
own library, 130 nt	007	multi	TranscribedUnitaryPseudogene	5138
own library, 130 nt	007	multi	TEC	3710
own library, 130 nt	007	multi	UnitaryPseudogene	2451
own library, 130 nt	007	multi	tRNA	1514
own library, 130 nt	007	multi	ribozyme	271
own library, 130 nt	007	multi	MtTrna	251
own library, 130 nt	007	multi	MtRrna	78
own library, 130 nt	007	multi	scaRNA	18
own library, 130 nt	007	multi	IgVGene	10
own library, 130 nt	007	multi	TrVGene	10
own library, 130 nt	007	multi	IgCGene	6
own library, 130 nt	007	multi	IgVPseudogene	2
own library, 130 nt	007	multi	TrCGene	2
own library, 130 nt	007	multi	TranslatedUnprocessedPseudogene	2
own library, 130 nt	007	multi	pseudogene	1
own library, 130 nt	007	single	ProteinCoding	3375669
own library, 130 nt	007	single	lncRNA	325709
own library, 130 nt	007	single	ribozyme	75986
own library, 130 nt	007	single	MiscRna	65513
own library, 130 nt	007	single	snoRNA	62675
own library, 130 nt	007	single	snRNA	35931
own library, 130 nt	007	single	miRNA	13868
own library, 130 nt	007	single	ProcessedPseudogene	8691
own library, 130 nt	007	single	TEC	7631
own library, 130 nt	007	single	TranscribedProcessedPseudogene	3370
own library, 130 nt	007	single	rRNA	3219
own library, 130 nt	007	single	scaRNA	2645
own library, 130 nt	007	single	TranscribedUnprocessedPseudogene	2603
own library, 130 nt	007	single	tRNA	1008
own library, 130 nt	007	single	MtRrna	801
own library, 130 nt	007	single	TranscribedUnitaryPseudogene	671
own library, 130 nt	007	single	MtTrna	465
own library, 130 nt	007	single	UnprocessedPseudogene	397
own library, 130 nt	007	single	UnitaryPseudogene	237
own library, 130 nt	007	single	TranslatedUnprocessedPseudogene	13
own library, 130 nt	007	single	TrVPseudogene	4
own library, 130 nt	007	single	IgCGene	1
own library, 130 nt	007	single	TrCGene	1
own library, 130 nt	007	single	TrJGene	1
own library, 130 nt	008	multi	lncRNA	898612
own library, 130 nt	008	multi	ProteinCoding	873064
own library, 130 nt	008	multi	MiscRna	191721
own library, 130 nt	008	multi	snRNA	171389
own library, 130 nt	008	multi	miRNA	112939
own library, 130 nt	008	multi	ProcessedPseudogene	80435
own library, 130 nt	008	multi	TranscribedProcessedPseudogene	35467
own library, 130 nt	008	multi	snoRNA	29849
own library, 130 nt	008	multi	rRNA	13913
own library, 130 nt	008	multi	UnprocessedPseudogene	13070
own library, 130 nt	008	multi	TranscribedUnprocessedPseudogene	4393
own library, 130 nt	008	multi	TranscribedUnitaryPseudogene	2720
own library, 130 nt	008	multi	TEC	2435
own library, 130 nt	008	multi	tRNA	1876
own library, 130 nt	008	multi	UnitaryPseudogene	1872
own library, 130 nt	008	multi	MtTrna	300
own library, 130 nt	008	multi	ribozyme	140
own library, 130 nt	008	multi	MtRrna	44
own library, 130 nt	008	multi	scaRNA	17
own library, 130 nt	008	multi	IgVGene	10
own library, 130 nt	008	multi	IgVPseudogene	9
own library, 130 nt	008	multi	TrVGene	5
own library, 130 nt	008	multi	TrVPseudogene	2
own library, 130 nt	008	multi	IgCGene	1
own library, 130 nt	008	multi	TranslatedUnprocessedPseudogene	1
own library, 130 nt	008	single	ProteinCoding	1834620
own library, 130 nt	008	single	lncRNA	200901
own library, 130 nt	008	single	MiscRna	32793
own library, 130 nt	008	single	ribozyme	32707
own library, 130 nt	008	single	snoRNA	30060
own library, 130 nt	008	single	snRNA	24412
own library, 130 nt	008	single	miRNA	8154
own library, 130 nt	008	single	ProcessedPseudogene	4955
own library, 130 nt	008	single	TEC	4380
own library, 130 nt	008	single	rRNA	3868
own library, 130 nt	008	single	TranscribedProcessedPseudogene	1932
own library, 130 nt	008	single	scaRNA	1439
own library, 130 nt	008	single	TranscribedUnprocessedPseudogene	1205
own library, 130 nt	008	single	MtRrna	755
own library, 130 nt	008	single	tRNA	754
own library, 130 nt	008	single	TranscribedUnitaryPseudogene	476
own library, 130 nt	008	single	MtTrna	346
own library, 130 nt	008	single	UnitaryPseudogene	287
own library, 130 nt	008	single	UnprocessedPseudogene	284
own library, 130 nt	008	single	IgVPseudogene	2
own library, 130 nt	008	single	TrVGene	1
own library, 130 nt	009	multi	lncRNA	991819
own library, 130 nt	009	multi	ProteinCoding	913438
own library, 130 nt	009	multi	MiscRna	338598
own library, 130 nt	009	multi	miRNA	191500
own library, 130 nt	009	multi	snRNA	151163
own library, 130 nt	009	multi	ProcessedPseudogene	120669
own library, 130 nt	009	multi	TranscribedProcessedPseudogene	53749
own library, 130 nt	009	multi	snoRNA	30911
own library, 130 nt	009	multi	UnprocessedPseudogene	17542
own library, 130 nt	009	multi	rRNA	16345
own library, 130 nt	009	multi	TranscribedUnprocessedPseudogene	6500
own library, 130 nt	009	multi	TranscribedUnitaryPseudogene	3729
own library, 130 nt	009	multi	TEC	2767
own library, 130 nt	009	multi	UnitaryPseudogene	2132
own library, 130 nt	009	multi	tRNA	1955
own library, 130 nt	009	multi	MtTrna	239
own library, 130 nt	009	multi	ribozyme	185
own library, 130 nt	009	multi	MtRrna	62
own library, 130 nt	009	multi	scaRNA	23
own library, 130 nt	009	multi	TrVGene	7
own library, 130 nt	009	multi	IgCGene	6
own library, 130 nt	009	multi	IgVPseudogene	6
own library, 130 nt	009	multi	IgVGene	5
own library, 130 nt	009	multi	TrCGene	2
own library, 130 nt	009	multi	TrVPseudogene	2
own library, 130 nt	009	multi	TranslatedUnprocessedPseudogene	1
own library, 130 nt	009	single	ProteinCoding	2640957
own library, 130 nt	009	single	lncRNA	237397
own library, 130 nt	009	single	ribozyme	50870
own library, 130 nt	009	single	MiscRna	44658
own library, 130 nt	009	single	snoRNA	37608
own library, 130 nt	009	single	snRNA	22241
own library, 130 nt	009	single	miRNA	10560
own library, 130 nt	009	single	ProcessedPseudogene	7155
own library, 130 nt	009	single	TEC	5723
own library, 130 nt	009	single	rRNA	4681
own library, 130 nt	009	single	TranscribedProcessedPseudogene	2532
own library, 130 nt	009	single	scaRNA	1970
own library, 130 nt	009	single	TranscribedUnprocessedPseudogene	1783
own library, 130 nt	009	single	MtRrna	912
own library, 130 nt	009	single	tRNA	605
own library, 130 nt	009	single	TranscribedUnitaryPseudogene	570
own library, 130 nt	009	single	MtTrna	365
own library, 130 nt	009	single	UnprocessedPseudogene	331
own library, 130 nt	009	single	UnitaryPseudogene	168
own library, 130 nt	009	single	TranslatedUnprocessedPseudogene	9
own library, 130 nt	009	single	TrVPseudogene	7
own library, 130 nt	009	single	TrVGene	5
own library, 130 nt	009	single	sRNA	2
own library, 130 nt	009	single	IgVGene	1
own library, 130 nt	009	single	IgVPseudogene	1
own library, 130 nt	009	single	TrCGene	1
own library, 130 nt	010	multi	lncRNA	2121039
own library, 130 nt	010	multi	ProteinCoding	1885881
own library, 130 nt	010	multi	MiscRna	714625
own library, 130 nt	010	multi	snRNA	655624
own library, 130 nt	010	multi	miRNA	372810
own library, 130 nt	010	multi	ProcessedPseudogene	219825
own library, 130 nt	010	multi	snoRNA	120690
own library, 130 nt	010	multi	TranscribedProcessedPseudogene	97696
own library, 130 nt	010	multi	UnprocessedPseudogene	34118
own library, 130 nt	010	multi	rRNA	23505
own library, 130 nt	010	multi	TranscribedUnprocessedPseudogene	11886
own library, 130 nt	010	multi	TranscribedUnitaryPseudogene	6724
own library, 130 nt	010	multi	TEC	4630
own library, 130 nt	010	multi	UnitaryPseudogene	2101
own library, 130 nt	010	multi	tRNA	1740
own library, 130 nt	010	multi	ribozyme	466
own library, 130 nt	010	multi	MtTrna	188
own library, 130 nt	010	multi	MtRrna	105
own library, 130 nt	010	multi	scaRNA	32
own library, 130 nt	010	multi	IgCGene	6
own library, 130 nt	010	multi	IgVGene	6
own library, 130 nt	010	multi	TrVGene	6
own library, 130 nt	010	multi	TrCGene	5
own library, 130 nt	010	multi	TranslatedUnprocessedPseudogene	4
own library, 130 nt	010	multi	IgVPseudogene	2
own library, 130 nt	010	multi	pseudogene	2
own library, 130 nt	010	single	ProteinCoding	5060109
own library, 130 nt	010	single	lncRNA	462799
own library, 130 nt	010	single	MiscRna	128390
own library, 130 nt	010	single	snoRNA	119868
own library, 130 nt	010	single	ribozyme	110267
own library, 130 nt	010	single	snRNA	67400
own library, 130 nt	010	single	miRNA	21964
own library, 130 nt	010	single	ProcessedPseudogene	13785
own library, 130 nt	010	single	TEC	10852
own library, 130 nt	010	single	TranscribedProcessedPseudogene	6486
own library, 130 nt	010	single	scaRNA	6108
own library, 130 nt	010	single	rRNA	4922
own library, 130 nt	010	single	TranscribedUnprocessedPseudogene	3407
own library, 130 nt	010	single	tRNA	1341
own library, 130 nt	010	single	MtRrna	1261
own library, 130 nt	010	single	TranscribedUnitaryPseudogene	1242
own library, 130 nt	010	single	MtTrna	483
own library, 130 nt	010	single	UnprocessedPseudogene	414
own library, 130 nt	010	single	UnitaryPseudogene	250
own library, 130 nt	010	single	IgVGene	1
own library, 130 nt	010	single	TrCGene	1
own library, 130 nt	011	multi	lncRNA	2127408
own library, 130 nt	011	multi	ProteinCoding	1905446
own library, 130 nt	011	multi	MiscRna	752346
own library, 130 nt	011	multi	snRNA	720508
