dataset	cell	class	ngenes	reads
own library, 130 nt	001	multi	1	15278
own library, 130 nt	001	multi	2	10409
own library, 130 nt	001	multi	3	5906
own library, 130 nt	001	multi	4	2934
own library, 130 nt	001	multi	5	3222
own library, 130 nt	001	multi	6	2166
own library, 130 nt	001	multi	7	1440
own library, 130 nt	001	multi	8	498
own library, 130 nt	001	multi	9	755
own library, 130 nt	001	multi	10	165
own library, 130 nt	001	multi	11	144
own library, 130 nt	001	multi	12	377
own library, 130 nt	001	multi	13	108
own library, 130 nt	001	multi	14	17
own library, 130 nt	001	multi	15	148
own library, 130 nt	001	multi	16	11
own library, 130 nt	001	multi	17	36
own library, 130 nt	001	multi	18	11
own library, 130 nt	001	multi	19	3
own library, 130 nt	001	multi	20	20
own library, 130 nt	001	single	1	37427
own library, 130 nt	001	single	2	2541
own library, 130 nt	001	single	3	242
own library, 130 nt	001	single	4	31
own library, 130 nt	001	single	17	1
own library, 130 nt	001	single	20	7
own library, 130 nt	002	multi	1	55020
own library, 130 nt	002	multi	2	280860
own library, 130 nt	002	multi	3	79656
own library, 130 nt	002	multi	4	39656
own library, 130 nt	002	multi	5	46146
own library, 130 nt	002	multi	6	20808
own library, 130 nt	002	multi	7	32890
own library, 130 nt	002	multi	8	8649
own library, 130 nt	002	multi	9	17989
own library, 130 nt	002	multi	10	1538
own library, 130 nt	002	multi	11	1075
own library, 130 nt	002	multi	12	10046
own library, 130 nt	002	multi	13	2848
own library, 130 nt	002	multi	14	552
own library, 130 nt	002	multi	15	3609
own library, 130 nt	002	multi	16	266
own library, 130 nt	002	multi	17	529
own library, 130 nt	002	multi	18	158
own library, 130 nt	002	multi	19	131
own library, 130 nt	002	multi	20	418
own library, 130 nt	002	single	1	810822
own library, 130 nt	002	single	2	66774
own library, 130 nt	002	single	3	6070
own library, 130 nt	002	single	4	585
own library, 130 nt	002	single	5	2
own library, 130 nt	002	single	6	3
own library, 130 nt	002	single	7	1
own library, 130 nt	002	single	8	2
own library, 130 nt	002	single	9	1
own library, 130 nt	002	single	13	1
own library, 130 nt	002	single	14	1
own library, 130 nt	002	single	15	6
own library, 130 nt	002	single	16	3
own library, 130 nt	002	single	17	3
own library, 130 nt	002	single	18	3
own library, 130 nt	002	single	20	93
own library, 130 nt	003	multi	1	97780
own library, 130 nt	003	multi	2	236669
own library, 130 nt	003	multi	3	190164
own library, 130 nt	003	multi	4	73913
own library, 130 nt	003	multi	5	129499
own library, 130 nt	003	multi	6	45072
own library, 130 nt	003	multi	7	92060
own library, 130 nt	003	multi	8	19725
own library, 130 nt	003	multi	9	56002
own library, 130 nt	003	multi	10	3955
own library, 130 nt	003	multi	11	2641
own library, 130 nt	003	multi	12	20629
own library, 130 nt	003	multi	13	6648
own library, 130 nt	003	multi	14	1171
own library, 130 nt	003	multi	15	6431
own library, 130 nt	003	multi	16	551
own library, 130 nt	003	multi	17	989
own library, 130 nt	003	multi	18	356
own library, 130 nt	003	multi	19	264
own library, 130 nt	003	multi	20	1002
own library, 130 nt	003	single	1	1569527
own library, 130 nt	003	single	2	175485
own library, 130 nt	003	single	3	14426
own library, 130 nt	003	single	4	2285
own library, 130 nt	003	single	5	4
own library, 130 nt	003	single	6	1
own library, 130 nt	003	single	7	6
own library, 130 nt	003	single	8	9
own library, 130 nt	003	single	9	8
own library, 130 nt	003	single	11	2
own library, 130 nt	003	single	13	4
own library, 130 nt	003	single	15	6
own library, 130 nt	003	single	16	3
own library, 130 nt	003	single	17	2
own library, 130 nt	003	single	18	2
own library, 130 nt	003	single	19	12
own library, 130 nt	003	single	20	123
own library, 130 nt	004	multi	1	95314
own library, 130 nt	004	multi	2	244533
own library, 130 nt	004	multi	3	113245
own library, 130 nt	004	multi	4	54974
own library, 130 nt	004	multi	5	71096
own library, 130 nt	004	multi	6	39410
own library, 130 nt	004	multi	7	49850
own library, 130 nt	004	multi	8	15343
own library, 130 nt	004	multi	9	24799
own library, 130 nt	004	multi	10	2476
own library, 130 nt	004	multi	11	1554
own library, 130 nt	004	multi	12	19659
own library, 130 nt	004	multi	13	4827
own library, 130 nt	004	multi	14	800
own library, 130 nt	004	multi	15	5806
own library, 130 nt	004	multi	16	494
own library, 130 nt	004	multi	17	788
own library, 130 nt	004	multi	18	253
own library, 130 nt	004	multi	19	228
own library, 130 nt	004	multi	20	734
own library, 130 nt	004	single	1	1110988
own library, 130 nt	004	single	2	92344
own library, 130 nt	004	single	3	7875
own library, 130 nt	004	single	4	959
own library, 130 nt	004	single	5	12
own library, 130 nt	004	single	8	4
own library, 130 nt	004	single	14	4
own library, 130 nt	004	single	15	13
own library, 130 nt	004	single	16	3
own library, 130 nt	004	single	17	1
own library, 130 nt	004	single	18	2
own library, 130 nt	004	single	19	4
own library, 130 nt	004	single	20	146
own library, 130 nt	005	multi	1	61465
own library, 130 nt	005	multi	2	285366
own library, 130 nt	005	multi	3	99320
own library, 130 nt	005	multi	4	47120
own library, 130 nt	005	multi	5	63138
own library, 130 nt	005	multi	6	28162
own library, 130 nt	005	multi	7	44378
own library, 130 nt	005	multi	8	11977
own library, 130 nt	005	multi	9	21100
own library, 130 nt	005	multi	10	2090
own library, 130 nt	005	multi	11	1343
own library, 130 nt	005	multi	12	14093
own library, 130 nt	005	multi	13	3555
own library, 130 nt	005	multi	14	726
own library, 130 nt	005	multi	15	4661
own library, 130 nt	005	multi	16	392
own library, 130 nt	005	multi	17	705
own library, 130 nt	005	multi	18	190
own library, 130 nt	005	multi	19	210
own library, 130 nt	005	multi	20	580
own library, 130 nt	005	single	1	973521
own library, 130 nt	005	single	2	84140
own library, 130 nt	005	single	3	7042
own library, 130 nt	005	single	4	752
own library, 130 nt	005	single	5	4
own library, 130 nt	005	single	6	4
own library, 130 nt	005	single	7	4
own library, 130 nt	005	single	8	2
own library, 130 nt	005	single	9	2
own library, 130 nt	005	single	10	1
own library, 130 nt	005	single	11	2
own library, 130 nt	005	single	13	5
own library, 130 nt	005	single	14	3
own library, 130 nt	005	single	15	9
own library, 130 nt	005	single	16	2
own library, 130 nt	005	single	17	3
own library, 130 nt	005	single	18	4
own library, 130 nt	005	single	19	5
own library, 130 nt	005	single	20	85
own library, 130 nt	006	multi	1	105946
own library, 130 nt	006	multi	2	373979
own library, 130 nt	006	multi	3	131939
own library, 130 nt	006	multi	4	67015
own library, 130 nt	006	multi	5	82800
own library, 130 nt	006	multi	6	31014
own library, 130 nt	006	multi	7	59629
own library, 130 nt	006	multi	8	16421
own library, 130 nt	006	multi	9	22356
own library, 130 nt	006	multi	10	2926
own library, 130 nt	006	multi	11	2584
own library, 130 nt	006	multi	12	16067
own library, 130 nt	006	multi	13	4276
own library, 130 nt	006	multi	14	1070
own library, 130 nt	006	multi	15	5845
own library, 130 nt	006	multi	16	634
own library, 130 nt	006	multi	17	1576
own library, 130 nt	006	multi	18	283
own library, 130 nt	006	multi	19	396
own library, 130 nt	006	multi	20	999
own library, 130 nt	006	single	1	1535942
own library, 130 nt	006	single	2	110023
own library, 130 nt	006	single	3	7203
own library, 130 nt	006	single	4	927
own library, 130 nt	006	single	5	4
own library, 130 nt	006	single	6	6
own library, 130 nt	006	single	8	2
own library, 130 nt	006	single	9	1
own library, 130 nt	006	single	12	8
own library, 130 nt	006	single	13	6
own library, 130 nt	006	single	14	4
own library, 130 nt	006	single	15	9
own library, 130 nt	006	single	16	14
own library, 130 nt	006	single	17	2
own library, 130 nt	006	single	18	2
own library, 130 nt	006	single	19	1
own library, 130 nt	006	single	20	107
own library, 130 nt	007	multi	1	205997
own library, 130 nt	007	multi	2	536022
own library, 130 nt	007	multi	3	318867
own library, 130 nt	007	multi	4	139247
own library, 130 nt	007	multi	5	202840
own library, 130 nt	007	multi	6	95481
own library, 130 nt	007	multi	7	147486
