genotype	replicate	cell	seq_no	demultiplexed	lost_pass1	lost_pass2	kept	pct_lost	pct_kept	anchor_bases
XY	1	002	1	5371874	177225	2350403	2844246	47.053002360070245	52.946997639929755	101691703
XY	2	003	2	10385044	479160	4843012	5062872	51.248429953691094	48.751570046308906	213099946
XY	3	004	3	8419302	334309	4155168	3929825	53.32362469002775	46.67637530997225	224119182
XY	4	005	4	6897653	242519	3321965	3333169	51.67676599562199	48.32323400437801	141305851
XO	1	007	5	19753564	1027107	8684105	10042352	49.16182214004521	50.83817785995479	371828775
XO	2	008	6	12783234	584425	5893167	6305642	50.67256063684667	49.32743936315333	305388021
XO	3	009	7	15526767	664676	7197470	7664621	50.63607897252532	49.36392102747468	263974768
XO	4	006	9	10613072	476141	4994935	5141996	51.55035224485427	48.44964775514573	205929659
EpiLCs	1	013	10	20696031	877889	8478118	11340024	45.20676935592143	54.79323064407857	557196425
EpiLCs	2	010	23	26589619	909552	11268947	14411120	45.801705545310746	54.198294454689254	407338340
EpiLCs	3	012	25	23810592	1021879	10703747	12084966	49.245419853483696	50.754580146516304	580921633
EpiLCs	4	011	26	28097693	1343332	11976815	14777546	47.40655042390847	52.59344957609153	640851836
Blank control	1	001	31	1154910	93126	738587	323197	72.01539513901515	27.984604860984838	42228471
Blank control	2	014	46	1449778	166996	905528	377254	73.97849877705414	26.021501222945858	64645102
Blank control	3	015	47	1641753	223233	982927	435593	73.46781154046924	26.532188459530758	69007175
Blank control	4	016	48	802175	72857	528969	200349	75.0242777448811	24.975722255118896	26156478
