genotype	replicate	cell	seq_no	demultiplexed	fate	reads	pct
XY	1	002	1	5371874	Kept	2844246	52.946997639929755
XY	1	002	1	5371874	Lost at pass 2 (cutadapt -m 20)	2350403	43.75387434627097
XY	1	002	1	5371874	Lost at pass 1 (TrimGalore --length 20)	177225	3.2991280137992813
XY	2	003	2	10385044	Kept	5062872	48.751570046308906
XY	2	003	2	10385044	Lost at pass 2 (cutadapt -m 20)	4843012	46.63448705657867
XY	2	003	2	10385044	Lost at pass 1 (TrimGalore --length 20)	479160	4.613942897112424
XY	3	004	3	8419302	Kept	3929825	46.67637530997225
XY	3	004	3	8419302	Lost at pass 2 (cutadapt -m 20)	4155168	49.35287984680915
XY	3	004	3	8419302	Lost at pass 1 (TrimGalore --length 20)	334309	3.9707448432185948
XY	4	005	4	6897653	Kept	3333169	48.32323400437801
XY	4	005	4	6897653	Lost at pass 2 (cutadapt -m 20)	3321965	48.160801942341834
XY	4	005	4	6897653	Lost at pass 1 (TrimGalore --length 20)	242519	3.515964053280152
XO	1	007	5	19753564	Kept	10042352	50.83817785995479
XO	1	007	5	19753564	Lost at pass 2 (cutadapt -m 20)	8684105	43.962218665958204
XO	1	007	5	19753564	Lost at pass 1 (TrimGalore --length 20)	1027107	5.199603474087005
XO	2	008	6	12783234	Kept	6305642	49.32743936315333
XO	2	008	6	12783234	Lost at pass 2 (cutadapt -m 20)	5893167	46.10075196933734
XO	2	008	6	12783234	Lost at pass 1 (TrimGalore --length 20)	584425	4.571808667509333
XO	3	009	7	15526767	Kept	7664621	49.36392102747468
XO	3	009	7	15526767	Lost at pass 2 (cutadapt -m 20)	7197470	46.35523931028269
XO	3	009	7	15526767	Lost at pass 1 (TrimGalore --length 20)	664676	4.280839662242629
XO	4	006	9	10613072	Kept	5141996	48.44964775514573
XO	4	006	9	10613072	Lost at pass 2 (cutadapt -m 20)	4994935	47.06398863590108
XO	4	006	9	10613072	Lost at pass 1 (TrimGalore --length 20)	476141	4.4863636089531855
EpiLCs	1	013	10	20696031	Kept	11340024	54.79323064407857
EpiLCs	1	013	10	20696031	Lost at pass 2 (cutadapt -m 20)	8478118	40.964946370635026
EpiLCs	1	013	10	20696031	Lost at pass 1 (TrimGalore --length 20)	877889	4.241822985286406
EpiLCs	2	010	23	26589619	Kept	14411120	54.198294454689254
EpiLCs	2	010	23	26589619	Lost at pass 2 (cutadapt -m 20)	11268947	42.381002149748745
EpiLCs	2	010	23	26589619	Lost at pass 1 (TrimGalore --length 20)	909552	3.420703395562005
EpiLCs	3	012	25	23810592	Kept	12084966	50.754580146516304
EpiLCs	3	012	25	23810592	Lost at pass 2 (cutadapt -m 20)	10703747	44.95372059627917
EpiLCs	3	012	25	23810592	Lost at pass 1 (TrimGalore --length 20)	1021879	4.291699257204525
EpiLCs	4	011	26	28097693	Kept	14777546	52.59344957609153
EpiLCs	4	011	26	28097693	Lost at pass 2 (cutadapt -m 20)	11976815	42.62561698570769
EpiLCs	4	011	26	28097693	Lost at pass 1 (TrimGalore --length 20)	1343332	4.780933438200781
Blank control	1	001	31	1154910	Kept	323197	27.984604860984838
Blank control	1	001	31	1154910	Lost at pass 2 (cutadapt -m 20)	738587	63.95190967261518
Blank control	1	001	31	1154910	Lost at pass 1 (TrimGalore --length 20)	93126	8.06348546639998
Blank control	2	014	46	1449778	Kept	377254	26.021501222945858
Blank control	2	014	46	1449778	Lost at pass 2 (cutadapt -m 20)	905528	62.45976970267172
Blank control	2	014	46	1449778	Lost at pass 1 (TrimGalore --length 20)	166996	11.518729074382422
Blank control	3	015	47	1641753	Kept	435593	26.532188459530758
Blank control	3	015	47	1641753	Lost at pass 2 (cutadapt -m 20)	982927	59.87057736456093
Blank control	3	015	47	1641753	Lost at pass 1 (TrimGalore --length 20)	223233	13.597234175908312
Blank control	4	016	48	802175	Kept	200349	24.975722255118896
Blank control	4	016	48	802175	Lost at pass 2 (cutadapt -m 20)	528969	65.94184560725527
Blank control	4	016	48	802175	Lost at pass 1 (TrimGalore --length 20)	72857	9.08243213762583
