genotype	demultiplexed	fate	reads	pct
XY	31073873	Kept	15170112	48.819508273075584
XY	31073873	Lost at pass 2 (cutadapt -m 20)	14670548	47.211842566261375
XY	31073873	Lost at pass 1 (TrimGalore --length 20)	1233213	3.9686491606630434
XO	58676637	Kept	29154611	49.686915424276954
XO	58676637	Lost at pass 2 (cutadapt -m 20)	26769677	45.622377778740116
XO	58676637	Lost at pass 1 (TrimGalore --length 20)	2752349	4.690706796982929
EpiLCs	99193935	Kept	52613656	53.04120256949177
EpiLCs	99193935	Lost at pass 2 (cutadapt -m 20)	42427627	42.77240034887214
EpiLCs	99193935	Lost at pass 1 (TrimGalore --length 20)	4152652	4.18639708163609
Blank control	5048616	Kept	1336393	26.470482207400998
Blank control	5048616	Lost at pass 2 (cutadapt -m 20)	3156011	62.51239943778651
Blank control	5048616	Lost at pass 1 (TrimGalore --length 20)	556212	11.017118354812487
