cell	adapter	reads	pct_of_dropped	bases_removed	genotype	replicate	seq_no
001	no_adapter	7349	0.9574	0	Blank control	1	31
001	polyA	425264	55.4027	18498594	Blank control	1	31
001	polyG	2070	0.2697	153130	Blank control	1	31
001	polyT5	329452	42.9205	14155152	Blank control	1	31
001	rt	3452	0.4497	584860	Blank control	1	31
002	no_adapter	9282	0.3842	0	XY	1	1
002	polyA	1791087	74.1443	73730454	XY	1	1
002	polyG	11213	0.4642	818188	XY	1	1
002	polyT5	598314	24.768	26189281	XY	1	1
002	rt	5782	0.2394	2036953	XY	1	1
003	no_adapter	37429	0.7594	0	XY	2	2
003	polyA	4068460	82.5407	163510171	XY	2	2
003	polyG	17692	0.3589	1261283	XY	2	2
003	polyT5	784770	15.9214	32890939	XY	2	2
003	rt	20682	0.4196	14866564	XY	2	2
004	no_adapter	26302	0.6153	0	XY	3	3
004	polyA	3004851	70.2905	113769426	XY	3	3
004	polyG	15866	0.3711	1156803	XY	3	3
004	polyT5	1216204	28.4498	50893250	XY	3	3
004	rt	11682	0.2733	4721168	XY	3	3
005	no_adapter	13803	0.4066	0	XY	4	4
005	polyA	2528608	74.4898	104449080	XY	4	4
005	polyG	13397	0.3947	964459	XY	4	4
005	polyT5	828078	24.3942	35854311	XY	4	4
005	rt	10684	0.3147	3467491	XY	4	4
006	no_adapter	17581	0.3426	0	XO	4	9
006	polyA	3700193	72.1055	151775369	XO	4	9
006	polyG	20453	0.3986	1487129	XO	4	9
006	polyT5	1376603	26.8258	59365680	XO	4	9
006	rt	16808	0.3275	4035969	XO	4	9
007	no_adapter	53534	0.6077	0	XO	1	5
007	polyA	7717255	87.6027	309462429	XO	1	5
007	polyG	36751	0.4172	2609963	XO	1	5
007	polyT5	959541	10.8923	41642421	XO	1	5
007	rt	42303	0.4802	28204574	XO	1	5
008	no_adapter	36104	0.6025	0	XO	2	6
008	polyA	4870703	81.2843	184929603	XO	2	6
008	polyG	24948	0.4163	1797137	XO	2	6
008	polyT5	1041183	17.3757	44750479	XO	2	6
008	rt	19245	0.3212	8368083	XO	2	6
009	no_adapter	35445	0.4858	0	XO	3	7
009	polyA	5902379	80.8954	242455814	XO	3	7
009	polyG	29271	0.4012	2096643	XO	3	7
009	polyT5	1294775	17.7456	58378195	XO	3	7
009	rt	34436	0.472	11015138	XO	3	7
010	no_adapter	58075	0.5087	0	EpiLCs	2	23
010	polyA	9623080	84.2862	405384236	EpiLCs	2	23
010	polyG	49697	0.4353	3537016	EpiLCs	2	23
010	polyT5	1630243	14.2789	72106965	EpiLCs	2	23
010	rt	56050	0.4909	36727311	EpiLCs	2	23
011	no_adapter	51060	0.4196	0	EpiLCs	4	26
011	polyA	10497387	86.2724	395133077	EpiLCs	4	26
011	polyG	53387	0.4388	3783233	EpiLCs	4	26
011	polyT5	1527563	12.5542	65880963	EpiLCs	4	26
011	rt	38320	0.3149	17048983	EpiLCs	4	26
012	no_adapter	55133	0.5087	0	EpiLCs	3	25
012	polyA	9279417	85.6238	344447095	EpiLCs	3	25
012	polyG	42935	0.3962	3046871	EpiLCs	3	25
012	polyT5	1426203	13.16	61658004	EpiLCs	3	25
012	rt	33739	0.3113	14661412	EpiLCs	3	25
013	no_adapter	42705	0.4963	0	EpiLCs	1	10
013	polyA	7337117	85.2722	263338197	EpiLCs	1	10
013	polyG	40493	0.4706	2902924	EpiLCs	1	10
013	polyT5	1163092	13.5175	49417294	EpiLCs	1	10
013	rt	20941	0.2434	10352693	EpiLCs	1	10
014	no_adapter	5878	0.6006	0	Blank control	2	46
014	polyA	315583	32.2453	13880711	Blank control	2	46
014	polyG	2344	0.2395	165310	Blank control	2	46
014	polyT5	652169	66.6367	27191330	Blank control	2	46
014	rt	2720	0.2779	330673	Blank control	2	46
015	no_adapter	7595	0.7287	0	Blank control	3	47
015	polyA	382058	36.6542	16196883	Blank control	3	47
015	polyG	2598	0.2492	191444	Blank control	3	47
015	polyT5	646523	62.0267	27525190	Blank control	3	47
015	rt	3556	0.3412	354898	Blank control	3	47
016	no_adapter	2639	0.4611	0	Blank control	4	48
016	polyA	191922	33.5321	9272020	Blank control	4	48
016	polyG	1394	0.2436	100555	Blank control	4	48
016	polyT5	373395	65.2386	17989575	Blank control	4	48
016	rt	3003	0.5247	426066	Blank control	4	48
