genotype	adapter	reads	bases_removed	pct
XY	no_adapter	86816	0	0.5782264852719954
XY	polyA	11393006	455459131	75.88160956578
XY	polyG	58168	4200733	0.3874202704029376
XY	polyT5	3427366	145827781	22.827517922050518
XY	rt	48830	25092176	0.32522575649455787
XO	no_adapter	142664	0	0.5239315535266131
XO	polyA	22190530	888623215	81.4944124409726
XO	polyG	111423	7990872	0.4091994160306441
XO	polyT5	4672102	204136775	17.158229540001656
XO	rt	112792	51623764	0.41422704946849764
EpiLCs	no_adapter	206973	0	0.48103457400121696
EpiLCs	polyA	36737001	1408302605	85.38199487912568
EpiLCs	polyG	186512	13270044	0.4334803112778719
EpiLCs	polyT5	5747101	249063226	13.357076919583559
EpiLCs	rt	149050	78790399	0.3464133160116604
Blank control	no_adapter	23461	0	0.6980437755358284
Blank control	polyA	1314827	57848208	39.12053208543739
Blank control	polyG	8406	610439	0.25010681459248
Blank control	polyT5	2001539	86861247	59.55252719160336
Blank control	rt	12731	1696497	0.37879013283093776
