genotype	length	reads	pct
XY	0	2533089	8.480190929828803
XY	1	767835	2.5705324221158823
XY	2	369828	1.2380978525415909
XY	3	376547	1.2605914968065655
XY	4	556350	1.8625299876199588
XY	5	799475	2.6764557595982144
XY	6	1284332	4.299643864581499
XY	7	1772959	5.93545304991587
XY	8	1542087	5.162547462961983
XY	9	1814113	6.073227039509673
XY	10	964494	3.228900867941987
XY	11	737114	2.4676856822045443
XY	12	611050	2.0456528245442183
XY	13	469471	1.5716793669774956
XY	14	415442	1.3908028814897293
XY	15	311771	1.0437365629015227
XY	16	301436	1.0091373943528532
XY	17	265658	0.8893609983843678
XY	18	245475	0.8217930236559888
XY	19	262380	0.8783870192355977
XY	20	193881	0.6490683500130228
XY	21	199245	0.6670257704382829
XY	22	161825	0.5417523415953983
XY	23	153349	0.5133766712888165
XY	24	141352	0.47321351453232036
XY	25	126117	0.42221028929390914
XY	26	120638	0.40386787570144084
XY	27	116807	0.3910425815833999
XY	28	109413	0.3662891948152468
XY	29	102664	0.34369511755013116
XY	30	98695	0.33040783163144033
XY	31	89822	0.3007030979563224
XY	32	88106	0.29495833034824137
XY	33	88508	0.2963041325501345
XY	34	93266	0.3122328063725408
XY	35	90190	0.3019350760913887
XY	36	76366	0.2556555496262888
XY	37	71676	0.23995452393753602
XY	38	73670	0.2466299706802595
XY	39	72882	0.2439919305432153
XY	40	71456	0.23921801526983333
XY	41	77541	0.2595891754651554
XY	42	74404	0.24908723141704936
XY	43	74647	0.2499007387181937
XY	44	76548	0.2562648431604792
XY	45	71590	0.2396666160037977
XY	46	68462	0.22919480185573401
XY	47	67939	0.22744391988660445
XY	48	82487	0.27614722942178044
XY	49	90956	0.30449946536166256
XY	50	73558	0.24625502081306538
XY	51	67658	0.22650319745194783
XY	52	67540	0.22610816098472547
XY	53	74958	0.2509418941529916
XY	54	73085	0.24467152717750462
XY	55	65078	0.2178659594397981
XY	56	45266	0.1515400061464996
XY	57	39644	0.13271886192002452
XY	58	44716	0.14969873447724288
XY	59	47984	0.1606392359592992
XY	60	48324	0.16177747662756697
XY	61	44631	0.14941417431017595
XY	62	45094	0.15096419027902297
XY	63	43690	0.14626392587241124
XY	64	45859	0.1535252317826255
XY	65	75833	0.2538711899904455
