group	adapter	reads	bases_removed	pct
Human (HEK293T)	no_adapter	277	0	0.00203663936270981
Human (HEK293T)	polyA1	8132017	375073180	59.79056288962216
Human (HEK293T)	polyC1	418183	28100946	3.074685771177171
Human (HEK293T)	polyG1	1772289	125670182	13.030734799630347
Human (HEK293T)	polyT1	3278071	202501613	24.101979900207613
Mouse (mESC)	no_adapter	147	0	0.002288968402426182
Mouse (mESC)	polyA1	3933842	179699635	61.25469413698651
Mouse (mESC)	polyC1	296366	20065362	4.61477829628189
Mouse (mESC)	polyG1	965519	67762144	15.034302605048468
Mouse (mESC)	polyT1	1226233	74864963	19.09393599328071
Below UFI cutoff	no_adapter	1	0	0.0024831764793523878
Below UFI cutoff	polyA1	27155	1492095	67.43065729681409
Below UFI cutoff	polyC1	690	45739	1.7133917707531474
Below UFI cutoff	polyG1	3547	248466	8.80782697226292
Below UFI cutoff	polyT1	8878	550672	22.045640783690498
