well	well_n	group	call	reads	pct_of_library	ufi_total	frac_ufi_human
001	1	Human (HEK293T)	human	115348	0.05726629660992639	41286	0.9702562612023446
002	2	Mouse (mESC)	mouse	75718	0.037591370866511827	20419	0.0814927273617709
003	3	Human (HEK293T)	human	472285	0.23447318457553737	131793	0.9789063152064222
004	4	Mouse (mESC)	mouse	698456	0.34675927163871717	149566	0.05598866052445074
005	5	Human (HEK293T)	human	1457759	0.7237269764520381	360901	0.97725137918709
006	6	Mouse (mESC)	mouse	585282	0.2905722909148918	131392	0.05851193375547978
007	7	Human (HEK293T)	human	174175	0.08647186957757334	44026	0.9446009176395768
008	8	Mouse (mESC)	mouse	300957	0.1494147521312343	88578	0.10011515274673168
009	9	Below UFI cutoff	discarded	9621	0.004776494084718433	1818	NA
010	10	Mouse (mESC)	mouse	418569	0.2078050465176707	102425	0.04878691725652916
011	11	Human (HEK293T)	human	1321463	0.6560607216167004	355702	0.9780940225244728
012	12	Mouse (mESC)	mouse	1190126	0.5908564389428967	233781	0.07074997540433141
013	13	Human (HEK293T)	human	621647	0.3086262569673589	176695	0.9822802003452276
014	14	Mouse (mESC)	mouse	74492	0.03698270422605192	19995	0.1813453363340835
015	15	Human (HEK293T)	human	1148279	0.5700808492990747	365247	0.9750634502131434
016	16	Mouse (mESC)	mouse	412435	0.20475972745357518	86551	0.05439567422675648
017	17	Human (HEK293T)	human	644277	0.31986127007796883	185656	0.9825268238031628
018	18	Mouse (mESC)	mouse	392779	0.1950012025882571	111864	0.11794679253379103
019	19	Human (HEK293T)	human	93894	0.046615126867326946	27096	0.9521700620017716
020	20	Mouse (mESC)	mouse	1053826	0.5231881982457631	211300	0.11332702318977755
021	21	Human (HEK293T)	human	167174	0.0829961149692048	57578	0.9475494112334572
022	22	Mouse (mESC)	mouse	560689	0.2783627161279174	134443	0.04997656999620657
023	23	Human (HEK293T)	human	909817	0.45169270540237716	265785	0.978339635419606
024	24	Below UFI cutoff	discarded	9337	0.004635497897205697	1967	NA
025	25	Human (HEK293T)	human	720940	0.3579218007937748	218360	0.980513830371863
026	26	Mouse (mESC)	mouse	223667	0.11104293757891256	62731	0.05370550445553235
027	27	Human (HEK293T)	human	489620	0.24307941313375317	120194	0.9773865583972576
028	28	Below UFI cutoff	discarded	14047	0.006973850161941568	3211	NA
029	29	Below UFI cutoff	discarded	1820	9.035671171590841e-4	421	NA
030	30	Below UFI cutoff	discarded	13911	0.0069063308608791315	3418	NA
031	31	Below UFI cutoff	discarded	2608	0.0012947818909620282	428	NA
032	32	Mouse (mESC)	mouse	186831	0.0927551362999719	48866	0.0359554700609831
033	33	Human (HEK293T)	human	1164162	0.5779662100253592	346351	0.9780742657015572
034	34	Mouse (mESC)	mouse	205270	0.10190946271387098	53134	0.03047013211879399
035	35	Human (HEK293T)	human	1578973	0.783905539385731	395824	0.9769442984760904
036	36	Mouse (mESC)	mouse	369187	0.1832885897157202	92749	0.03597882456953714
037	37	Human (HEK293T)	human	426359	0.21167251236529117	123672	0.9785804385794684
038	38	Mouse (mESC)	mouse	126922	0.06301238771651937	38924	0.04537046552255677
039	39	Human (HEK293T)	human	456815	0.22679286407968516	137235	0.9738842132109156
040	40	Mouse (mESC)	mouse	51040	0.025339596516373436	17147	0.03615792850061235
041	41	Human (HEK293T)	human	143514	0.0712497424461367	44655	0.9842346881648192
042	42	Mouse (mESC)	mouse	149827	0.07438392882560114	49278	0.04172247250294249
043	43	Human (HEK293T)	human	1346095	0.6682896585561854	337249	0.9777908904103496
044	44	Mouse (mESC)	mouse	176495	0.08762366941922667	44680	0.03659355416293643
045	45	Human (HEK293T)	human	424414	0.21070688706700852	125749	0.9839998727624076
046	46	Mouse (mESC)	mouse	68437	0.033976605932426504	18844	0.04234769687964339
047	47	Human (HEK293T)	human	459672	0.22821126586744533	145684	0.9818785865297494
048	48	Below UFI cutoff	discarded	5396	0.0026789275627419878	1681	NA
049	49	Human (HEK293T)	human	88401	0.04388804215603307	28242	0.9872530274059912
050	50	Mouse (mESC)	mouse	113635	0.056415851295809075	30052	0.03470650871822175
051	51	Human (HEK293T)	human	90193	0.04477770824062048	28102	0.963134296491353
052	52	Below UFI cutoff	discarded	1954	9.700934873235441e-4	231	NA
053	53	Human (HEK293T)	human	137970	0.06849733799694441	44727	0.9817783441768954
054	54	Mouse (mESC)	mouse	89315	0.04434181157640857	26403	0.0786653031852441
055	55	Human (HEK293T)	human	155328	0.07711498526048693	42638	0.9832543740325532
056	56	Mouse (mESC)	mouse	960682	0.4769454204651776	203994	0.05657519338804082
057	57	Human (HEK293T)	human	1082421	0.5373846277595895	285336	0.980745507051336
058	58	Mouse (mESC)	mouse	123900	0.06151206912967611	31150	0.02821829855537721
059	59	Human (HEK293T)	human	968126	0.4806411092674481	245953	0.9812159233674728
060	60	Mouse (mESC)	mouse	282853	0.14042674164274638	66042	0.03632536870476363
061	61	Human (HEK293T)	human	144355	0.07166726988873603	50954	0.9694037759547828
062	62	Mouse (mESC)	mouse	278593	0.13831179883005534	66306	0.03486863933882303
063	63	Human (HEK293T)	human	381527	0.1894149733562384	117408	0.9753594303624966
064	64	Mouse (mESC)	mouse	259269	0.12871810049380142	72498	0.04180804987723799
065	65	Human (HEK293T)	human	653085	0.3242341377526596	184696	0.9833726772642613
066	66	Mouse (mESC)	mouse	416033	0.20654601013903584	93518	0.03556534570884749
067	67	Human (HEK293T)	human	100830	0.050058611221511236	39806	0.9762849821634928
068	68	Mouse (mESC)	mouse	202942	0.10075369114862574	47624	0.04525029396942718
069	69	Human (HEK293T)	human	789725	0.3920711767024493	198463	0.9830900470112816
070	70	Mouse (mESC)	mouse	206945	0.10274104234092674	58908	0.1248047803354383
071	71	Human (HEK293T)	human	52859	0.02624266716808353	14380	0.981432545201669
072	72	Below UFI cutoff	discarded	4020	0.001995791104933801	847	NA
073	73	Human (HEK293T)	human	992270	0.49262777106782657	291229	0.9869278128208386
074	74	Below UFI cutoff	discarded	2916	0.0014476932492504886	426	NA
075	75	Human (HEK293T)	human	179812	0.08927044531352156	68601	0.9775659246949752
076	76	Mouse (mESC)	mouse	426351	0.21166854064169927	96295	0.03668934004880835
077	77	Human (HEK293T)	human	1040877	0.516759467146811	356734	0.9775575078349694
078	78	Mouse (mESC)	mouse	384940	0.19110940993363618	106230	0.04606043490539396
079	79	Human (HEK293T)	human	1211696	0.6015651986775788	306109	0.9815882577774584
080	80	Mouse (mESC)	mouse	428559	0.2127647363530659	78755	0.04574947622373183
081	81	Human (HEK293T)	human	1072098	0.5322596149296812	291874	0.9870080925330792
082	82	Mouse (mESC)	mouse	143752	0.07136790122299597	42088	0.0446920737502376
083	83	Human (HEK293T)	human	195279	0.09694927641302681	58764	0.9832720713361922
084	84	Mouse (mESC)	mouse	115836	0.05750857174903278	34077	0.02500220089796637
085	85	Human (HEK293T)	human	700069	0.34756007040793563	214190	0.983197161398758
086	86	Mouse (mESC)	mouse	170291	0.08454359777370198	44108	0.02972249931985127
087	87	Human (HEK293T)	human	301812	0.1498392300901195	100351	0.980847226235912
088	88	Mouse (mESC)	mouse	461968	0.22935115053832295	106319	0.04260762422520904
089	89	Human (HEK293T)	human	474041	0.2353449779039612	146961	0.9869148957886786
090	90	Mouse (mESC)	mouse	686449	0.3407982109927122	166368	0.04874735526062705
091	91	Human (HEK293T)	human	618556	0.3070916822645354	175686	0.9741470578190636
092	92	Mouse (mESC)	mouse	368753	0.1830731237108592	88388	0.03606824455808481
093	93	Human (HEK293T)	human	2148328	1.0665706250945828	542759	0.9793075748168156
094	94	Mouse (mESC)	mouse	345765	0.1716603759695114	84551	0.03895873496469587
095	95	Human (HEK293T)	human	577302	0.2866104966319635	145192	0.9844619538266572
096	96	Below UFI cutoff	discarded	1879	9.32858578649406e-4	222	NA
097	97	Human (HEK293T)	human	78078	0.03876302932612471	20352	0.9847189465408804
098	98	Mouse (mESC)	mouse	153052	0.07598502989858909	32688	0.03554821341164953
099	99	Human (HEK293T)	human	295440	0.14667575224916474	106558	0.9818971827549317
100	100	Mouse (mESC)	mouse	437583	0.2172448405647382	108091	0.03593268634761451
101	101	Human (HEK293T)	human	602399	0.29907029000522806	134591	0.983178667221434
102	102	Below UFI cutoff	discarded	2673	0.0013270521451462813	274	NA
103	103	Human (HEK293T)	human	196892	0.09775007518224527	73395	0.9723686899652564
104	104	Mouse (mESC)	mouse	161061	0.07996122167953805	48755	0.0611629576453697
105	105	Human (HEK293T)	human	592525	0.29416819016191553	173519	0.9840363303154122
106	106	Mouse (mESC)	mouse	228119	0.1132532017578094	60016	0.03927286057051453
107	107	Human (HEK293T)	human	670039	0.33265121297481076	212382	0.9739620118465784
108	108	Mouse (mESC)	mouse	385275	0.1912757258590473	95901	0.04202250237223803
109	109	Human (HEK293T)	human	756160	0.37540731390715004	219767	0.9846974295503874
111	111	Human (HEK293T)	human	365441	0.18142883014380926	106858	0.9828463942802598
112	112	Mouse (mESC)	mouse	577635	0.2867758196264767	134263	0.03619761214928908
113	113	Human (HEK293T)	human	1034047	0.5133686081302195	284430	0.9826987307949232
114	114	Mouse (mESC)	mouse	197780	0.09819093650094707	48512	0.04188654353562005
115	115	Human (HEK293T)	human	284217	0.1411039205151667	94389	0.9827840108487218
116	116	Mouse (mESC)	mouse	585899	0.2908786100969177	145065	0.03395719160376383
117	117	Human (HEK293T)	human	695807	0.3454441346643466	181081	0.9740944660124474
118	118	Mouse (mESC)	mouse	83908	0.04165742289372771	26889	0.063594778533973
119	119	Human (HEK293T)	human	384285	0.1907842250645487	123074	0.9825308351073336
120	120	Below UFI cutoff	discarded	2331	0.0011572609615922115	282	NA
121	121	Human (HEK293T)	human	2495211	1.2387860494360634	645906	0.9782414159335878
122	122	Mouse (mESC)	mouse	200682	0.09963167923391171	54104	0.03718763862191335
123	123	Human (HEK293T)	human	864268	0.4290792006663996	280870	0.9743724854915086
124	124	Mouse (mESC)	mouse	415002	0.2060341542611287	96395	0.04088386327091654
125	125	Human (HEK293T)	human	420487	0.20875726724883065	143182	0.983880655389644
126	126	Mouse (mESC)	mouse	35220	0.017485513113375244	12534	0.03462581777565023
127	127	Human (HEK293T)	human	592451	0.29413145171869043	217487	0.9650461866686284
128	128	Mouse (mESC)	mouse	474815	0.2357292421614783	115364	0.03898963281439617
129	129	Human (HEK293T)	human	1009794	0.5013278315959012	273755	0.9844569048967142
130	130	Mouse (mESC)	mouse	61784	0.030673621300305962	17568	0.05669398907103825
131	131	Human (HEK293T)	human	1185164	0.5883929773850158	311934	0.9788352664345664
132	132	Mouse (mESC)	mouse	248381	0.12331258468521454	59971	0.03179870270630805
133	133	Human (HEK293T)	human	587107	0.2914783403592958	155262	0.97566049645116
134	134	Mouse (mESC)	mouse	123960	0.06154185705661542	22696	0.07860415932322876
135	135	Human (HEK293T)	human	1221786	0.606574535057873	314668	0.9844979470425972
136	136	Mouse (mESC)	mouse	196479	0.09754503495181302	55258	0.04571283796011437
137	137	Human (HEK293T)	human	307828	0.15282596623123437	101268	0.9838744716988584
138	138	Mouse (mESC)	mouse	153787	0.07634993200359565	38651	0.04822643657343924
139	139	Human (HEK293T)	human	1158808	0.5753081340114747	332631	0.9863332040609564
140	140	Mouse (mESC)	mouse	301828	0.1498471735373033	69584	0.03631581972867326
141	141	Human (HEK293T)	human	866138	0.4300075910560081	240769	0.9847364070955978
142	142	Mouse (mESC)	mouse	411328	0.2042101402015449	90957	0.03304858339655002
143	143	Human (HEK293T)	human	427070	0.212025499299522	115889	0.982621301417736
144	144	Below UFI cutoff	discarded	2599	0.0012903137019211316	534	NA
145	145	Human (HEK293T)	human	208562	0.10354382697194116	72887	0.96360119088452
146	146	Mouse (mESC)	mouse	91160	0.045257790329792366	26257	0.04695890619644286
147	147	Human (HEK293T)	human	382413	0.1898548417440422	115274	0.9858250776410986
148	148	Mouse (mESC)	mouse	291087	0.14451463814971777	69149	0.05901748398386094
149	149	Human (HEK293T)	human	506289	0.2513549957029426	170837	0.9751049245772286
150	150	Mouse (mESC)	mouse	207747	0.10313920763101551	56944	0.03578954762573756
151	151	Human (HEK293T)	human	852525	0.4232492068989276	242386	0.984549437673793
153	153	Human (HEK293T)	human	581784	0.28883565477433	147452	0.9818110300301116
154	154	Mouse (mESC)	mouse	452827	0.224812959869119	115215	0.03434448639500065
155	155	Human (HEK293T)	human	372470	0.18491848578474948	109525	0.9823875827436658
156	156	Mouse (mESC)	mouse	262633	0.13038821026419875	71074	0.05146748459352224
157	157	Human (HEK293T)	human	498187	0.24733263263523772	176297	0.9810093195006154
158	158	Mouse (mESC)	mouse	301381	0.14962525348160546	69679	0.0411745289111497
159	159	Human (HEK293T)	human	34172	0.016965217322835287	8399	0.9123705203000356
160	160	Mouse (mESC)	mouse	310460	0.15413266329297212	58024	0.08794636702054322
161	161	Human (HEK293T)	human	516526	0.25643731250423796	154046	0.9852446671773366
162	162	Mouse (mESC)	mouse	221002	0.10971985715735819	53663	0.04012075359186031
163	163	Human (HEK293T)	human	288667	0.14331319176316556	92072	0.9876075245460074
164	164	Mouse (mESC)	mouse	143349	0.0711678256470536	38173	0.03423885992717365
165	165	Human (HEK293T)	human	202165	0.10036793749476167	53647	0.9532499487389788
166	166	Mouse (mESC)	mouse	90572	0.044965868645787124	25688	0.03355652444721271
167	167	Human (HEK293T)	human	716667	0.35580040393024687	204143	0.9831588641295562
168	168	Below UFI cutoff	discarded	3977	0.0019744430906272954	473	NA
169	169	Human (HEK293T)	human	402851	0.20000160259046934	135033	0.978842208941518
170	170	Mouse (mESC)	mouse	117381	0.058275610867720026	38223	0.06208303900792716
171	171	Human (HEK293T)	human	42060	0.020881336784456635	9581	0.9537626552551924
172	172	Mouse (mESC)	mouse	199285	0.09893811700167476	49958	0.03076584330837904
173	173	Human (HEK293T)	human	962077	0.47763798976651656	255942	0.9829570762125794
174	174	Mouse (mESC)	mouse	139003	0.06901018680574954	39479	0.03936269915651359
175	175	Human (HEK293T)	human	517822	0.25708073172612705	145111	0.9819793123884476
176	176	Mouse (mESC)	mouse	172855	0.0858165351849085	45122	0.04248481893533088
177	177	Human (HEK293T)	human	71688	0.03559061510708814	25880	0.9541731066460588
178	178	Mouse (mESC)	mouse	218445	0.10845039500429457	56088	0.0331800028526601
179	179	Human (HEK293T)	human	732264	0.3635437755381206	223238	0.9841200870819484
180	180	Mouse (mESC)	mouse	388888	0.1930694555262428	92494	0.04152701796873311
181	181	Below UFI cutoff	discarded	2253	0.0011185366565711079	398	NA
182	182	Mouse (mESC)	mouse	180689	0.08970584551228447	45372	0.04736401304769461
183	183	Human (HEK293T)	human	348777	0.17315572990186476	100872	0.984653818700928
184	184	Mouse (mESC)	mouse	333260	0.1654520755299101	87987	0.03432325229863502
185	185	Human (HEK293T)	human	847859	0.4209326991139472	212238	0.9826279931020836
186	186	Mouse (mESC)	mouse	653445	0.3244128653142955	144791	0.04708856213438681
187	187	Human (HEK293T)	human	737310	0.36604894019371664	229179	0.9846713704135196
