well	demultiplexed	after_pass1	after_pass2	group	lost_pass1	lost_pass2	kept
001	115348	115151	104951	Human (HEK293T)	197	10200	104951
002	75718	75555	64160	Mouse (mESC)	163	11395	64160
003	472285	471502	416625	Human (HEK293T)	783	54877	416625
004	698456	697391	623586	Mouse (mESC)	1065	73805	623586
005	1457759	1454834	1256929	Human (HEK293T)	2925	197905	1256929
006	585282	584407	532713	Mouse (mESC)	875	51694	532713
007	174175	173654	131117	Human (HEK293T)	521	42537	131117
008	300957	300114	262699	Mouse (mESC)	843	37415	262699
009	9621	9582	7647	Below UFI cutoff	39	1935	7647
010	418569	417966	384525	Mouse (mESC)	603	33441	384525
011	1321463	1318576	1170835	Human (HEK293T)	2887	147741	1170835
012	1190126	1187802	1048289	Mouse (mESC)	2324	139513	1048289
013	621647	620544	553311	Human (HEK293T)	1103	67233	553311
014	74492	74252	63153	Mouse (mESC)	240	11099	63153
015	1148279	1145843	1002599	Human (HEK293T)	2436	143244	1002599
016	412435	411781	371006	Mouse (mESC)	654	40775	371006
017	644277	643021	582815	Human (HEK293T)	1256	60206	582815
018	392779	391444	338398	Mouse (mESC)	1335	53046	338398
019	93894	93623	81930	Human (HEK293T)	271	11693	81930
020	1053826	1051354	894887	Mouse (mESC)	2472	156467	894887
021	167174	166733	140424	Human (HEK293T)	441	26309	140424
022	560689	559797	509420	Mouse (mESC)	892	50377	509420
023	909817	907855	807010	Human (HEK293T)	1962	100845	807010
024	9337	9281	7142	Below UFI cutoff	56	2139	7142
025	720940	719902	651536	Human (HEK293T)	1038	68366	651536
026	223667	223288	197402	Mouse (mESC)	379	25886	197402
027	489620	488942	440421	Human (HEK293T)	678	48521	440421
028	14047	14027	12706	Below UFI cutoff	20	1321	12706
029	1820	1808	1339	Below UFI cutoff	12	469	1339
030	13911	13893	12551	Below UFI cutoff	18	1342	12551
031	2608	2595	2109	Below UFI cutoff	13	486	2109
032	186831	186554	170360	Mouse (mESC)	277	16194	170360
033	1164162	1161337	1005754	Human (HEK293T)	2825	155583	1005754
034	205270	204974	188935	Mouse (mESC)	296	16039	188935
035	1578973	1576304	1379241	Human (HEK293T)	2669	197063	1379241
036	369187	368643	336023	Mouse (mESC)	544	32620	336023
037	426359	425733	382599	Human (HEK293T)	626	43134	382599
038	126922	126683	115666	Mouse (mESC)	239	11017	115666
039	456815	455910	415610	Human (HEK293T)	905	40300	415610
040	51040	50940	46395	Mouse (mESC)	100	4545	46395
041	143514	143262	130653	Human (HEK293T)	252	12609	130653
042	149827	149559	134231	Mouse (mESC)	268	15328	134231
043	1346095	1344088	1204644	Human (HEK293T)	2007	139444	1204644
044	176495	176233	162487	Mouse (mESC)	262	13746	162487
045	424414	423532	381730	Human (HEK293T)	882	41802	381730
046	68437	68303	64392	Mouse (mESC)	134	3911	64392
047	459672	458895	411834	Human (HEK293T)	777	47061	411834
048	5396	5373	4393	Below UFI cutoff	23	980	4393
049	88401	88253	82338	Human (HEK293T)	148	5915	82338
050	113635	113468	104782	Mouse (mESC)	167	8686	104782
051	90193	89967	79322	Human (HEK293T)	226	10645	79322
052	1954	1950	1626	Below UFI cutoff	4	324	1626
053	137970	137616	122419	Human (HEK293T)	354	15197	122419
054	89315	89148	79174	Mouse (mESC)	167	9974	79174
055	155328	155102	141812	Human (HEK293T)	226	13290	141812
056	960682	959190	869088	Mouse (mESC)	1492	90102	869088
057	1082421	1080715	980066	Human (HEK293T)	1706	100649	980066
058	123900	123714	114651	Mouse (mESC)	186	9063	114651
059	968126	966603	871559	Human (HEK293T)	1523	95044	871559
060	282853	282418	260728	Mouse (mESC)	435	21690	260728
061	144355	143992	126401	Human (HEK293T)	363	17591	126401
062	278593	278189	257524	Mouse (mESC)	404	20665	257524
063	381527	380681	339084	Human (HEK293T)	846	41597	339084
064	259269	258855	233624	Mouse (mESC)	414	25231	233624
065	653085	652113	592960	Human (HEK293T)	972	59153	592960
066	416033	415422	381744	Mouse (mESC)	611	33678	381744
067	100830	100635	88027	Human (HEK293T)	195	12608	88027
068	202942	202594	183321	Mouse (mESC)	348	19273	183321
069	789725	788520	720325	Human (HEK293T)	1205	68195	720325
070	206945	206380	175994	Mouse (mESC)	565	30386	175994
071	52859	52778	48826	Human (HEK293T)	81	3952	48826
072	4020	3998	3148	Below UFI cutoff	22	850	3148
073	992270	990437	910705	Human (HEK293T)	1833	79732	910705
074	2916	2896	2345	Below UFI cutoff	20	551	2345
075	179812	179431	160043	Human (HEK293T)	381	19388	160043
076	426351	425666	387290	Mouse (mESC)	685	38376	387290
077	1040877	1039290	944142	Human (HEK293T)	1587	95148	944142
078	384940	384229	342339	Mouse (mESC)	711	41890	342339
079	1211696	1209278	1097973	Human (HEK293T)	2418	111305	1097973
080	428559	427968	396308	Mouse (mESC)	591	31660	396308
081	1072098	1070259	982525	Human (HEK293T)	1839	87734	982525
082	143752	143492	131839	Mouse (mESC)	260	11653	131839
083	195279	194966	178361	Human (HEK293T)	313	16605	178361
084	115836	115606	107398	Mouse (mESC)	230	8208	107398
085	700069	698536	633838	Human (HEK293T)	1533	64698	633838
086	170291	170086	158432	Mouse (mESC)	205	11654	158432
087	301812	301298	269286	Human (HEK293T)	514	32012	269286
088	461968	461154	421409	Mouse (mESC)	814	39745	421409
089	474041	473361	434540	Human (HEK293T)	680	38821	434540
090	686449	685381	621063	Mouse (mESC)	1068	64318	621063
091	618556	617288	549974	Human (HEK293T)	1268	67314	549974
092	368753	368164	337333	Mouse (mESC)	589	30831	337333
093	2148328	2143771	1881107	Human (HEK293T)	4557	262664	1881107
094	345765	345209	313141	Mouse (mESC)	556	32068	313141
095	577302	576356	527458	Human (HEK293T)	946	48898	527458
096	1879	1874	1555	Below UFI cutoff	5	319	1555
097	78078	77963	73167	Human (HEK293T)	115	4796	73167
098	153052	152841	143338	Mouse (mESC)	211	9503	143338
099	295440	294969	266397	Human (HEK293T)	471	28572	266397
100	437583	436925	404001	Mouse (mESC)	658	32924	404001
101	602399	601319	548999	Human (HEK293T)	1080	52320	548999
102	2673	2663	2304	Below UFI cutoff	10	359	2304
103	196892	196403	172086	Human (HEK293T)	489	24317	172086
104	161061	160771	143752	Mouse (mESC)	290	17019	143752
105	592525	591398	534068	Human (HEK293T)	1127	57330	534068
106	228119	227775	209933	Mouse (mESC)	344	17842	209933
107	670039	668949	597662	Human (HEK293T)	1090	71287	597662
108	385275	384566	349275	Mouse (mESC)	709	35291	349275
109	756160	754804	687890	Human (HEK293T)	1356	66914	687890
111	365441	364893	335593	Human (HEK293T)	548	29300	335593
112	577635	576681	528894	Mouse (mESC)	954	47787	528894
113	1034047	1032457	939706	Human (HEK293T)	1590	92751	939706
114	197780	197483	181363	Mouse (mESC)	297	16120	181363
115	284217	283650	251882	Human (HEK293T)	567	31768	251882
116	585899	584903	533210	Mouse (mESC)	996	51693	533210
117	695807	694280	618155	Human (HEK293T)	1527	76125	618155
118	83908	83701	71965	Mouse (mESC)	207	11736	71965
119	384285	383456	345553	Human (HEK293T)	829	37903	345553
120	2331	2324	1960	Below UFI cutoff	7	364	1960
121	2495211	2490953	2254905	Human (HEK293T)	4258	236048	2254905
122	200682	200355	184807	Mouse (mESC)	327	15548	184807
123	864268	862614	778867	Human (HEK293T)	1654	83747	778867
124	415002	414369	377470	Mouse (mESC)	633	36899	377470
125	420487	419670	380387	Human (HEK293T)	817	39283	380387
126	35220	35166	31930	Mouse (mESC)	54	3236	31930
127	592451	591154	514956	Human (HEK293T)	1297	76198	514956
128	474815	473922	425260	Mouse (mESC)	893	48662	425260
129	1009794	1007858	920054	Human (HEK293T)	1936	87804	920054
130	61784	61700	56683	Mouse (mESC)	84	5017	56683
131	1185164	1183438	1079947	Human (HEK293T)	1726	103491	1079947
132	248381	247962	229530	Mouse (mESC)	419	18432	229530
133	587107	586053	520751	Human (HEK293T)	1054	65302	520751
134	123960	123742	112657	Mouse (mESC)	218	11085	112657
135	1221786	1219454	1114467	Human (HEK293T)	2332	104987	1114467
136	196479	196082	178428	Mouse (mESC)	397	17654	178428
137	307828	307374	281113	Human (HEK293T)	454	26261	281113
138	153787	153544	139985	Mouse (mESC)	243	13559	139985
139	1158808	1156589	1050042	Human (HEK293T)	2219	106547	1050042
140	301828	301362	277355	Mouse (mESC)	466	24007	277355
141	866138	864292	781183	Human (HEK293T)	1846	83109	781183
142	411328	410582	371191	Mouse (mESC)	746	39391	371191
143	427070	426399	387554	Human (HEK293T)	671	38845	387554
144	2599	2590	2168	Below UFI cutoff	9	422	2168
145	208562	208000	179477	Human (HEK293T)	562	28523	179477
146	91160	91002	82552	Mouse (mESC)	158	8450	82552
147	382413	381881	348981	Human (HEK293T)	532	32900	348981
148	291087	290608	265371	Mouse (mESC)	479	25237	265371
149	506289	505204	439479	Human (HEK293T)	1085	65725	439479
150	207747	207427	190240	Mouse (mESC)	320	17187	190240
151	852525	851124	769190	Human (HEK293T)	1401	81934	769190
153	581784	580795	524447	Human (HEK293T)	989	56348	524447
154	452827	452164	415574	Mouse (mESC)	663	36590	415574
155	372470	371838	337910	Human (HEK293T)	632	33928	337910
156	262633	262159	234453	Mouse (mESC)	474	27706	234453
157	498187	497258	451150	Human (HEK293T)	929	46108	451150
158	301381	300892	273646	Mouse (mESC)	489	27246	273646
159	34172	34077	25961	Human (HEK293T)	95	8116	25961
160	310460	309733	257790	Mouse (mESC)	727	51943	257790
161	516526	515865	476157	Human (HEK293T)	661	39708	476157
162	221002	220576	200909	Mouse (mESC)	426	19667	200909
163	288667	288261	265080	Human (HEK293T)	406	23181	265080
164	143349	143120	130757	Mouse (mESC)	229	12363	130757
165	202165	201713	160393	Human (HEK293T)	452	41320	160393
166	90572	90435	83273	Mouse (mESC)	137	7162	83273
167	716667	715230	648058	Human (HEK293T)	1437	67172	648058
168	3977	3970	3355	Below UFI cutoff	7	615	3355
169	402851	402039	357925	Human (HEK293T)	812	44114	357925
170	117381	117119	104210	Mouse (mESC)	262	12909	104210
171	42060	41958	33574	Human (HEK293T)	102	8384	33574
172	199285	199022	184880	Mouse (mESC)	263	14142	184880
173	962077	960249	868868	Human (HEK293T)	1828	91381	868868
174	139003	138794	126991	Mouse (mESC)	209	11803	126991
175	517822	516870	472214	Human (HEK293T)	952	44656	472214
176	172855	172555	159324	Mouse (mESC)	300	13231	159324
177	71688	71541	61654	Human (HEK293T)	147	9887	61654
178	218445	218142	202387	Mouse (mESC)	303	15755	202387
179	732264	730902	665616	Human (HEK293T)	1362	65286	665616
180	388888	388176	352626	Mouse (mESC)	712	35550	352626
181	2253	2241	1761	Below UFI cutoff	12	480	1761
182	180689	180385	166426	Mouse (mESC)	304	13959	166426
183	348777	348123	319804	Human (HEK293T)	654	28319	319804
184	333260	332735	306910	Mouse (mESC)	525	25825	306910
185	847859	846159	760411	Human (HEK293T)	1700	85748	760411
186	653445	652338	593613	Mouse (mESC)	1107	58725	593613
187	737310	736023	671679	Human (HEK293T)	1287	64344	671679
188	255761	255279	227529	Mouse (mESC)	482	27750	227529
189	403541	402848	361781	Human (HEK293T)	693	41067	361781
190	322101	321500	288446	Mouse (mESC)	601	33054	288446
191	925684	923816	837965	Human (HEK293T)	1868	85851	837965
192	2161	2148	1809	Below UFI cutoff	13	339	1809
193	1168724	1166791	1043807	Human (HEK293T)	1933	122984	1043807
194	53464	53407	49541	Mouse (mESC)	57	3866	49541
195	59748	59614	51707	Human (HEK293T)	134	7907	51707
196	130406	130163	117239	Mouse (mESC)	243	12924	117239
197	282855	282392	255223	Human (HEK293T)	463	27169	255223
198	242000	241616	221515	Mouse (mESC)	384	20101	221515
199	593372	592310	535901	Human (HEK293T)	1062	56409	535901
200	327318	326783	295294	Mouse (mESC)	535	31489	295294
201	234447	234104	211016	Human (HEK293T)	343	23088	211016
202	731054	729884	666968	Mouse (mESC)	1170	62916	666968
203	920496	918630	838097	Human (HEK293T)	1866	80533	838097
204	327712	327015	281367	Mouse (mESC)	697	45648	281367
205	113798	113541	95677	Human (HEK293T)	257	17864	95677
206	41431	41361	36745	Below UFI cutoff	70	4616	36745
207	39005	38915	33285	Human (HEK293T)	90	5630	33285
208	446524	445548	390265	Mouse (mESC)	976	55283	390265
209	346474	345848	314357	Human (HEK293T)	626	31491	314357
210	440158	439406	402885	Mouse (mESC)	752	36521	402885
211	485172	484232	438106	Human (HEK293T)	940	46126	438106
212	5164	5143	4492	Below UFI cutoff	21	651	4492
213	462801	462158	422871	Human (HEK293T)	643	39287	422871
214	84135	83968	75957	Mouse (mESC)	167	8011	75957
