dataset	unit	depth	genes	total_reads	source
VASA	002	5000	2419.6779326768124	1444792	MINE (reimplementation)
VASA	002	10000	4006.472531732564	1444792	MINE (reimplementation)
VASA	002	15000	5226.794485339965	1444792	MINE (reimplementation)
VASA	002	20000	6221.429448898337	1444792	MINE (reimplementation)
VASA	002	25000	7061.070859164081	1444792	MINE (reimplementation)
VASA	002	50000	9988.704998322351	1444792	MINE (reimplementation)
VASA	002	75000	11883.713118488187	1444792	MINE (reimplementation)
VASA	003	5000	2476.32104445263	2656903	MINE (reimplementation)
VASA	003	10000	4072.3247713860114	2656903	MINE (reimplementation)
VASA	003	15000	5291.787117699264	2656903	MINE (reimplementation)
VASA	003	20000	6281.78479774817	2656903	MINE (reimplementation)
VASA	003	25000	7115.485482350834	2656903	MINE (reimplementation)
VASA	003	50000	10017.126084335696	2656903	MINE (reimplementation)
VASA	003	75000	11900.904619250548	2656903	MINE (reimplementation)
VASA	004	5000	2571.976016951571	1880702	MINE (reimplementation)
VASA	004	10000	4243.246495823395	1880702	MINE (reimplementation)
VASA	004	15000	5525.1530461992115	1880702	MINE (reimplementation)
VASA	004	20000	6570.064299063093	1880702	MINE (reimplementation)
VASA	004	25000	7453.431884749365	1880702	MINE (reimplementation)
VASA	004	50000	10554.891354416797	1880702	MINE (reimplementation)
VASA	004	75000	12591.08699430663	1880702	MINE (reimplementation)
VASA	005	5000	2450.7496159130055	1704966	MINE (reimplementation)
VASA	005	10000	4054.151083065839	1704966	MINE (reimplementation)
VASA	005	15000	5286.306802655322	1704966	MINE (reimplementation)
VASA	005	20000	6290.393657745102	1704966	MINE (reimplementation)
VASA	005	25000	7138.231527280294	1704966	MINE (reimplementation)
VASA	005	50000	10100.064666288295	1704966	MINE (reimplementation)
VASA	005	75000	12024.517663887891	1704966	MINE (reimplementation)
VASA	006	5000	2599.9061221414254	2504849	MINE (reimplementation)
VASA	006	10000	4279.184036998955	2504849	MINE (reimplementation)
VASA	006	15000	5563.814153007474	2504849	MINE (reimplementation)
VASA	006	20000	6608.913369848739	2504849	MINE (reimplementation)
VASA	006	25000	7491.149218417937	2504849	MINE (reimplementation)
VASA	006	50000	10581.949421211955	2504849	MINE (reimplementation)
VASA	006	75000	12607.783519123019	2504849	MINE (reimplementation)
VASA	007	5000	2647.749752926497	5450683	MINE (reimplementation)
VASA	007	10000	4332.127384666885	5450683	MINE (reimplementation)
VASA	007	15000	5609.47186474426	5450683	MINE (reimplementation)
VASA	007	20000	6642.431946462866	5450683	MINE (reimplementation)
VASA	007	25000	7510.790151286145	5450683	MINE (reimplementation)
VASA	007	50000	10535.007780263431	5450683	MINE (reimplementation)
VASA	007	75000	12509.330247241718	5450683	MINE (reimplementation)
VASA	008	5000	2600.2779188015493	3169269	MINE (reimplementation)
VASA	008	10000	4283.845052078791	3169269	MINE (reimplementation)
VASA	008	15000	5571.57071605213	3169269	MINE (reimplementation)
VASA	008	20000	6619.2171643867705	3169269	MINE (reimplementation)
VASA	008	25000	7503.813661295445	3169269	MINE (reimplementation)
VASA	008	50000	10606.299541845956	3169269	MINE (reimplementation)
VASA	008	75000	12643.94623395989	3169269	MINE (reimplementation)
VASA	009	5000	2679.2917129541897	4177365	MINE (reimplementation)
VASA	009	10000	4381.2429707528	4177365	MINE (reimplementation)
VASA	009	15000	5671.293623485061	4177365	MINE (reimplementation)
VASA	009	20000	6714.631127667851	4177365	MINE (reimplementation)
VASA	009	25000	7592.036359096061	4177365	MINE (reimplementation)
VASA	009	50000	10653.143460372123	4177365	MINE (reimplementation)
VASA	009	75000	12659.917368228536	4177365	MINE (reimplementation)
VASA	010	5000	2534.351413441274	8385259	MINE (reimplementation)
VASA	010	10000	4146.268393809198	8385259	MINE (reimplementation)
VASA	010	15000	5365.91508552608	8385259	MINE (reimplementation)
VASA	010	20000	6349.229884274977	8385259	MINE (reimplementation)
VASA	010	25000	7173.047206036239	8385259	MINE (reimplementation)
VASA	010	50000	10016.587349287589	8385259	MINE (reimplementation)
VASA	010	75000	11850.536491031799	8385259	MINE (reimplementation)
VASA	011	5000	2512.524853450539	8478517	MINE (reimplementation)
VASA	011	10000	4107.477644672363	8478517	MINE (reimplementation)
VASA	011	15000	5312.778108298048	8478517	MINE (reimplementation)
VASA	011	20000	6283.428756217766	8478517	MINE (reimplementation)
VASA	011	25000	7095.76853062768	8478517	MINE (reimplementation)
VASA	011	50000	9891.19618800095	8478517	MINE (reimplementation)
VASA	011	75000	11683.999552227011	8478517	MINE (reimplementation)
VASA	012	5000	2538.662616021877	6872529	MINE (reimplementation)
VASA	012	10000	4144.644184233908	6872529	MINE (reimplementation)
VASA	012	15000	5355.751044730779	6872529	MINE (reimplementation)
VASA	012	20000	6329.908183270304	6872529	MINE (reimplementation)
VASA	012	25000	7144.598879233138	6872529	MINE (reimplementation)
VASA	012	50000	9947.010025150686	6872529	MINE (reimplementation)
VASA	012	75000	11746.936686595493	6872529	MINE (reimplementation)
VASA	013	5000	2409.2958432224873	6296702	MINE (reimplementation)
VASA	013	10000	3969.586072123536	6296702	MINE (reimplementation)
VASA	013	15000	5162.379546828209	6296702	MINE (reimplementation)
VASA	013	20000	6130.833641346379	6296702	MINE (reimplementation)
VASA	013	25000	6946.247872348458	6296702	MINE (reimplementation)
VASA	013	50000	9779.601818549656	6296702	MINE (reimplementation)
