dataset	unit	panel	fraction	n_entries	source
VASA	002	ProteinCoding	0.5818270034717801	95590	PAPER code
VASA	003	ProteinCoding	0.618071115129156	95590	PAPER code
VASA	004	ProteinCoding	0.6238303569624534	95590	PAPER code
VASA	005	ProteinCoding	0.5976512141591094	95590	PAPER code
VASA	006	ProteinCoding	0.6418466741907396	95590	PAPER code
VASA	007	ProteinCoding	0.6703515871313742	95590	PAPER code
VASA	008	ProteinCoding	0.6316608025383772	95590	PAPER code
VASA	009	ProteinCoding	0.6857509458713806	95590	PAPER code
VASA	010	ProteinCoding	0.6444706120586138	95590	PAPER code
VASA	011	ProteinCoding	0.637682981587464	95590	PAPER code
VASA	012	ProteinCoding	0.6493114834437221	95590	PAPER code
VASA	013	ProteinCoding	0.5943220752705146	95590	PAPER code
VASA	002	lncRNA	0.06495537073848692	36893	PAPER code
VASA	003	lncRNA	0.049370263046863205	36893	PAPER code
VASA	004	lncRNA	0.06553935711239739	36893	PAPER code
VASA	005	lncRNA	0.05741170205153651	36893	PAPER code
VASA	006	lncRNA	0.07082862080708258	36893	PAPER code
VASA	007	lncRNA	0.05798612761006281	36893	PAPER code
VASA	008	lncRNA	0.06934248875687106	36893	PAPER code
VASA	009	lncRNA	0.058468436442590005	36893	PAPER code
VASA	010	lncRNA	0.04940002449536741	36893	PAPER code
VASA	011	lncRNA	0.046189917411264256	36893	PAPER code
VASA	012	lncRNA	0.047851671488035916	36893	PAPER code
VASA	013	lncRNA	0.04980813765682416	36893	PAPER code
VASA	002	smallRNA	0.15358958244508553	1881	PAPER code
VASA	003	smallRNA	0.25174385365216567	1881	PAPER code
VASA	004	smallRNA	0.19098879035594155	1881	PAPER code
VASA	005	smallRNA	0.1762035137357578	1881	PAPER code
VASA	006	smallRNA	0.13854687448225422	1881	PAPER code
VASA	007	smallRNA	0.18284240708916663	1881	PAPER code
VASA	008	smallRNA	0.15087674791884184	1881	PAPER code
VASA	009	smallRNA	0.15186487175528113	1881	PAPER code
VASA	010	smallRNA	0.21912847295474117	1881	PAPER code
VASA	011	smallRNA	0.23743456550243397	1881	PAPER code
VASA	012	smallRNA	0.22172638340267461	1881	PAPER code
VASA	013	smallRNA	0.24251123842290773	1881	PAPER code
VASA	002	tRNA	0.0	0	PAPER code
VASA	003	tRNA	0.0	0	PAPER code
VASA	004	tRNA	0.0	0	PAPER code
VASA	005	tRNA	0.0	0	PAPER code
VASA	006	tRNA	0.0	0	PAPER code
VASA	007	tRNA	0.0	0	PAPER code
VASA	008	tRNA	0.0	0	PAPER code
VASA	009	tRNA	0.0	0	PAPER code
VASA	010	tRNA	0.0	0	PAPER code
VASA	011	tRNA	0.0	0	PAPER code
VASA	012	tRNA	0.0	0	PAPER code
VASA	013	tRNA	0.0	0	PAPER code
VASA	002	TF	0.03797501647295943	14474	PAPER code
VASA	003	TF	0.03945383026779675	14474	PAPER code
VASA	004	TF	0.04058537716235746	14474	PAPER code
VASA	005	TF	0.037997238654612464	14474	PAPER code
VASA	006	TF	0.04001997725212179	14474	PAPER code
VASA	007	TF	0.04291498881883243	14474	PAPER code
VASA	008	TF	0.04065606295962886	14474	PAPER code
VASA	009	TF	0.042852372249013435	14474	PAPER code
VASA	010	TF	0.042814777695000236	14474	PAPER code
VASA	011	TF	0.04195191210915777	14474	PAPER code
VASA	012	TF	0.04291302372096211	14474	PAPER code
VASA	013	TF	0.039472568338155434	14474	PAPER code
VASA	002	Cofactor	0.05886176003189386	10785	PAPER code
