cell,total_trimmed,all_rRNA_reads,probe_target_reads,off_probe_reads,pct_rRNA_of_lib,pct_probe_of_lib,pct_offprobe_of_lib,pct_probe_of_rRNA
ZHA9292A1_011,13634453,3063364,1943729,1119635,22.47,14.26,8.21,63.45
ZHA9292A1_010,13279354,2852175,1841094,1011081,21.48,13.86,7.61,64.55
ZHA9292A1_012,11082329,2484592,1623817,860775,22.42,14.65,7.77,65.36
ZHA9292A1_013,10454276,2288581,1449843,838738,21.89,13.87,8.02,63.35
ZHA9292A1_007,9192416,2016554,1305084,711470,21.94,14.2,7.74,64.72
ZHA9292A1_009,7017728,1456111,949579,506532,20.75,13.53,7.22,65.21
ZHA9292A1_008,5756671,1112295,742797,369498,19.32,12.9,6.42,66.78
ZHA9292A1_006,4748979,914608,589654,324954,19.26,12.42,6.84,64.47
ZHA9292A1_003,4565233,1144324,746453,397871,25.07,16.35,8.72,65.23
ZHA9292A1_004,3542790,731551,485410,246141,20.65,13.7,6.95,66.35
ZHA9292A1_005,3045052,628846,418448,210398,20.65,13.74,6.91,66.54
ZHA9292A1_002,2623273,471124,310420,160704,17.96,11.83,6.13,65.89
ZHA9292A1_015,393457,33785,22500,11285,8.59,5.72,2.87,66.6
ZHA9292A1_014,335982,19652,14556,5096,5.85,4.33,1.52,74.07
ZHA9292A1_001,284597,29845,22090,7755,10.49,7.76,2.72,74.02
ZHA9292A1_016,180793,11485,8228,3257,6.35,4.55,1.8,71.64
