level	key	biotype	reads	UFIs	transcripts	read_per_UFI	read_per_transcript	pct_of_reads__or__rRNApct_strandedY	pct_of_UFIs__or__rRNApct_strandedN	pct_of_transcripts__or__fwd_share_of_ribo	share_ratio_read_over_UFI__or__n_over_y	genes_det_reads	genes_det_UFIs
cell	002	ALL	1.04942e+06	491970	512443	2.1331	2.04788					32591	32591
cell	003	ALL	2.0062e+06	785093	826506	2.55537	2.42733					42280	42280
cell	004	ALL	1.45231e+06	671862	701119	2.16163	2.07142					40965	40965
cell	005	ALL	1.25369e+06	580623	606628	2.15921	2.06665					35724	35724
cell	006	ALL	1.96934e+06	805351	847933	2.44533	2.32252					44027	44027
cell	007	ALL	4.3748e+06	1.55827e+06	1.68845e+06	2.80747	2.59102					57353	57353
cell	008	ALL	2.47105e+06	1.00364e+06	1.06313e+06	2.46208	2.32432					48114	48114
cell	009	ALL	3.3966e+06	1.31875e+06	1.40373e+06	2.57563	2.4197					53669	53669
cell	010	ALL	6.4835e+06	2.23545e+06	2.49391e+06	2.9003	2.59973					65137	65137
cell	011	ALL	6.51273e+06	2.19895e+06	2.44911e+06	2.96174	2.65922					62834	62834
cell	012	ALL	5.33555e+06	1.88791e+06	2.07601e+06	2.82616	2.5701					57833	57833
cell	013	ALL	4.61443e+06	1.67837e+06	1.85102e+06	2.74935	2.49291					55023	55023
biotype	ProteinCoding	ProteinCoding	3.38185e+07	1.24369e+07	1.31743e+07	2.71921	2.567	82.646	81.7342	79.7476	1.01116		
biotype	lncRNA	lncRNA	2.852e+06	1.20365e+06	1.3186e+06	2.36945	2.1629	6.96975	7.91031	7.98182	0.881096		
biotype	snRNA	snRNA	1.21593e+06	339234	500068	3.58433	2.43153	2.9715	2.22942	3.02705	1.33286		
biotype	ProteinCoding-lncRNA	ProteinCoding-lncRNA	796157	358205	462784	2.22263	1.72036	1.94566	2.35409	2.80136	0.8265		
biotype	snoRNA	snoRNA	624165	254420	286117	2.45329	2.1815	1.52534	1.67203	1.73195	0.912271		
biotype	MiscRna	MiscRna	392759	68521	148462	5.73195	2.64553	0.95983	0.450315	0.898678	2.13147		
biotype	ProcessedPseudogene	ProcessedPseudogene	286133	142814	145186	2.00354	1.9708	0.699256	0.938562	0.878853	0.745029		
biotype	ProcessedPseudogene-ProteinCoding	ProcessedPseudogene-ProteinCoding	202433	104696	106883	1.93353	1.89397	0.494709	0.688054	0.64699	0.718997		
biotype	rRNA	rRNA	199047	41592	97907.7	4.7857	2.03301	0.486434	0.273339	0.592662	1.7796		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene	66985	35175	35714.3	1.90434	1.87558	0.163699	0.231167	0.216188	0.70814		
biotype	ribozyme	ribozyme	64358	19866	26507.5	3.23961	2.42792	0.157279	0.130558	0.160457	1.20467		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-lncRNA	59659	35960	36171.8	1.65904	1.64932	0.145796	0.236326	0.218958	0.616925		
biotype	TranscribedProcessedPseudogene	TranscribedProcessedPseudogene	50964	22424	22828.2	2.27274	2.2325	0.124547	0.147369	0.138185	0.845135		
biotype	ProteinCoding-TranscribedProcessedPseudogene-lncRNA	ProteinCoding-TranscribedProcessedPseudogene-lncRNA	38520	19121	19604.3	2.01454	1.96487	0.0941357	0.125662	0.11867	0.74912		
biotype	ProteinCoding-UnprocessedPseudogene	ProteinCoding-UnprocessedPseudogene	38284	15700	18043	2.43847	2.12183	0.093559	0.103179	0.109219	0.906762		
biotype	scaRNA	scaRNA	31578	13524	14147.5	2.33496	2.23206	0.0771708	0.0888787	0.0856385	0.868271		
biotype	miRNA	miRNA	31276	20894	22169.2	1.49689	1.41079	0.0764327	0.137314	0.134196	0.556629		
biotype	ProcessedPseudogene-TranscribedProcessedPseudogene-lncRNA	ProcessedPseudogene-TranscribedProcessedPseudogene-lncRNA	28431	15403	15583.4	1.84581	1.82444	0.0694801	0.101227	0.0943307	0.686377		
biotype	ProcessedPseudogene-TranscribedProcessedPseudogene	ProcessedPseudogene-TranscribedProcessedPseudogene	14741	7836	7900.31	1.88119	1.86588	0.0360243	0.0514976	0.0478228	0.699533		
biotype	ProteinCoding-TranscribedProcessedPseudogene	ProteinCoding-TranscribedProcessedPseudogene	14391	7722	7876.47	1.86364	1.82709	0.0351689	0.0507484	0.0476784	0.693006		
biotype	ProteinCoding-TranscribedUnprocessedPseudogene-lncRNA	ProteinCoding-TranscribedUnprocessedPseudogene-lncRNA	12521	7510	7569.86	1.66724	1.65406	0.030599	0.0493551	0.0458224	0.619976		
biotype	ProteinCoding-TranscribedUnitaryPseudogene-lncRNA	ProteinCoding-TranscribedUnitaryPseudogene-lncRNA	11375	5826	5891.75	1.95245	1.93066	0.0277984	0.038288	0.0356644	0.726034		
biotype	UnitaryPseudogene	UnitaryPseudogene	10282	4785	4930.81	2.1488	2.08525	0.0251273	0.0314466	0.0298476	0.799046		
biotype	TranscribedUnprocessedPseudogene	TranscribedUnprocessedPseudogene	9598	4916	4946.98	1.9524	1.94017	0.0234557	0.0323076	0.0299454	0.726014		
biotype	MtRrna	MtRrna	8163	4723	4886.05	1.72835	1.67068	0.0199489	0.0310392	0.0295766	0.642699		
biotype	ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	6238	3291	3321.24	1.89547	1.87822	0.0152445	0.0216282	0.0201044	0.704845		
biotype	UnprocessedPseudogene	UnprocessedPseudogene	6181	3921	3936.87	1.57638	1.57003	0.0151052	0.0257685	0.0238309	0.586189		
biotype	TranscribedUnprocessedPseudogene-lncRNA	TranscribedUnprocessedPseudogene-lncRNA	5240	2835	2837.27	1.84832	1.84685	0.0128056	0.0186314	0.0171747	0.687312		
biotype	TranscribedProcessedPseudogene-lncRNA	TranscribedProcessedPseudogene-lncRNA	4869	2713	2722.62	1.79469	1.78835	0.0118989	0.0178296	0.0164808	0.667369		
biotype	ProcessedPseudogene-ProteinCoding-lncRNA	ProcessedPseudogene-ProteinCoding-lncRNA	2332	1563	1565.44	1.492	1.48967	0.00569897	0.0102719	0.00947606	0.554811		
biotype	ProteinCoding-UnitaryPseudogene-lncRNA	ProteinCoding-UnitaryPseudogene-lncRNA	1872	1071	1073.66	1.7479	1.74358	0.00457482	0.00703853	0.00649913	0.649968		
biotype	ProteinCoding-TranscribedUnitaryPseudogene	ProteinCoding-TranscribedUnitaryPseudogene	1822	988	989.839	1.84413	1.8407	0.00445263	0.00649306	0.00599177	0.685752		
biotype	MtTrna	MtTrna	1724	1304	1305.9	1.32209	1.32016	0.00421314	0.00856979	0.00790496	0.491627		
biotype	TranscribedUnitaryPseudogene	TranscribedUnitaryPseudogene	1688	1078	1080.22	1.56586	1.56265	0.00412516	0.00708453	0.00653884	0.582277		
biotype	ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene	ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene	1608	977	980.032	1.64585	1.64076	0.00392965	0.00642077	0.0059324	0.612022		
biotype	ProteinCoding-UnprocessedPseudogene-lncRNA	ProteinCoding-UnprocessedPseudogene-lncRNA	1171	806	806.328	1.45285	1.45226	0.00286171	0.00529697	0.00488092	0.540254		
biotype	ProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	ProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	859	383	383.535	2.24282	2.23969	0.00209924	0.00251705	0.00232164	0.834008		
biotype	ProcessedPseudogene-lncRNA	ProcessedPseudogene-lncRNA	818	511	511.267	1.60078	1.59995	0.00199904	0.00335825	0.00309484	0.595262		
biotype	TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	549	250	250.292	2.196	2.19344	0.00134165	0.00164298	0.00151508	0.816598		
