biotype	reads	UFIs	transcripts	n_entries	read_per_UFI	pct_of_reads	pct_of_UFIs	pct_of_transcripts	pct_read_minus_pct_UFI	share_ratio_read_over_UFI	read_per_UFI_cell_min	read_per_UFI_cell_max
ProteinCoding	33818466	12436882	1.31743e+07	95590	2.71921	82.646	81.7342	79.7476	0.911843	1.01116	2.12948	2.98335
lncRNA	2851995	1203653	1.3186e+06	36893	2.36945	6.96975	7.91031	7.98182	-0.940566	0.881096	1.92179	2.538
snRNA	1215928	339234	500068	902	3.58433	2.9715	2.22942	3.02705	0.742083	1.33286	2.03815	4.81128
ProteinCoding-lncRNA	796157	358205	462784	67987	2.22263	1.94566	2.35409	2.80136	-0.408435	0.8265	1.73851	2.68968
snoRNA	624165	254420	286117	439	2.45329	1.52534	1.67203	1.73195	-0.146685	0.912271	1.83978	2.96162
MiscRna	392759	68521	148462	256	5.73195	0.95983	0.450315	0.898678	0.509515	2.13147	3.16218	7.74965
ProcessedPseudogene	286133	142814	145186	5341	2.00354	0.699256	0.938562	0.878853	-0.239306	0.745029	1.78003	2.11261
ProcessedPseudogene-ProteinCoding	202433	104696	106883	2633	1.93353	0.494709	0.688054	0.64699	-0.193345	0.718997	1.72887	2.10248
rRNA	199047	41592	97907.7	37	4.7857	0.486434	0.273339	0.592662	0.213095	1.7796	2.34712	6.84153
ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene	66985	35175	35714.3	1291	1.90434	0.163699	0.231167	0.216188	-0.0674684	0.70814	1.69479	1.99537
ribozyme	64358	19866	26507.5	16	3.23961	0.157279	0.130558	0.160457	0.0267212	1.20467	2.03738	4.20823
ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-lncRNA	59659	35960	36171.8	2714	1.65904	0.145796	0.236326	0.218958	-0.0905308	0.616925	1.53301	1.72716
TranscribedProcessedPseudogene	50964	22424	22828.2	339	2.27274	0.124547	0.147369	0.138185	-0.0228222	0.845135	1.94364	2.40197
ProteinCoding-TranscribedProcessedPseudogene-lncRNA	38520	19121	19604.3	263	2.01454	0.0941357	0.125662	0.11867	-0.031526	0.74912	1.671	2.16924
ProteinCoding-UnprocessedPseudogene	38284	15700	18043	410	2.43847	0.093559	0.103179	0.109219	-0.00962017	0.906762	1.93043	2.79712
scaRNA	31578	13524	14147.5	28	2.33496	0.0771708	0.0888787	0.0856385	-0.0117079	0.868271	1.76214	2.54429
miRNA	31276	20894	22169.2	233	1.49689	0.0764327	0.137314	0.134196	-0.060881	0.556629	1.37304	1.58312
ProcessedPseudogene-TranscribedProcessedPseudogene-lncRNA	28431	15403	15583.4	777	1.84581	0.0694801	0.101227	0.0943307	-0.0317472	0.686377	1.6348	2.0025
ProcessedPseudogene-TranscribedProcessedPseudogene	14741	7836	7900.31	403	1.88119	0.0360243	0.0514976	0.0478228	-0.0154733	0.699533	1.52423	2.02061
ProteinCoding-TranscribedProcessedPseudogene	14391	7722	7876.47	87	1.86364	0.0351689	0.0507484	0.0476784	-0.0155794	0.693006	1.64762	2.06091
ProteinCoding-TranscribedUnprocessedPseudogene-lncRNA	12521	7510	7569.86	1183	1.66724	0.030599	0.0493551	0.0458224	-0.0187561	0.619976	1.57534	1.79146
ProteinCoding-TranscribedUnitaryPseudogene-lncRNA	11375	5826	5891.75	382	1.95245	0.0277984	0.038288	0.0356644	-0.0104896	0.726034	1.56364	2.28571
UnitaryPseudogene	10282	4785	4930.81	67	2.1488	0.0251273	0.0314466	0.0298476	-0.00631934	0.799046	1.96207	2.49091
TranscribedUnprocessedPseudogene	9598	4916	4946.98	194	1.9524	0.0234557	0.0323076	0.0299454	-0.00885183	0.726014	1.65828	2.21019
MtRrna	8163	4723	4886.05	2	1.72835	0.0199489	0.0310392	0.0295766	-0.0110903	0.642699	1.40541	3.18284
ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	6238	3291	3321.24	56	1.89547	0.0152445	0.0216282	0.0201044	-0.00638368	0.704845	1.50467	2.15479
UnprocessedPseudogene	6181	3921	3936.87	599	1.57638	0.0151052	0.0257685	0.0238309	-0.0106633	0.586189	1.31325	1.87887
TranscribedUnprocessedPseudogene-lncRNA	5240	2835	2837.27	438	1.84832	0.0128056	0.0186314	0.0171747	-0.00582581	0.687312	1.56287	2.25
TranscribedProcessedPseudogene-lncRNA	4869	2713	2722.62	194	1.79469	0.0118989	0.0178296	0.0164808	-0.00593069	0.667369	1.50685	2.02145
ProcessedPseudogene-ProteinCoding-lncRNA	2332	1563	1565.44	227	1.492	0.00569897	0.0102719	0.00947606	-0.00457294	0.554811	1.30435	1.76374
ProteinCoding-UnitaryPseudogene-lncRNA	1872	1071	1073.66	222	1.7479	0.00457482	0.00703853	0.00649913	-0.00246371	0.649968	1.2069	2.19643
ProteinCoding-TranscribedUnitaryPseudogene	1822	988	989.839	142	1.84413	0.00445263	0.00649306	0.00599177	-0.00204043	0.685752	1.33333	2.24138
MtTrna	1724	1304	1305.9	22	1.32209	0.00421314	0.00856979	0.00790496	-0.00435665	0.491627	1.16667	1.5
TranscribedUnitaryPseudogene	1688	1078	1080.22	56	1.56586	0.00412516	0.00708453	0.00653884	-0.00295937	0.582277	1.275	2.7037
ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene	1608	977	980.032	46	1.64585	0.00392965	0.00642077	0.0059324	-0.00249111	0.612022	1.39506	1.95652
ProteinCoding-UnprocessedPseudogene-lncRNA	1171	806	806.328	471	1.45285	0.00286171	0.00529697	0.00488092	-0.00243526	0.540254	1.14493	1.78261
ProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	859	383	383.535	25	2.24282	0.00209924	0.00251705	0.00232164	-0.000417809	0.834008	1.61538	3.07692
ProcessedPseudogene-lncRNA	818	511	511.267	116	1.60078	0.00199904	0.00335825	0.00309484	-0.00135921	0.595262	1.14286	1.9
TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	549	250	250.292	63	2.196	0.00134165	0.00164298	0.00151508	-0.000301326	0.816598	1	3.09524
ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene	548	396	396.13	82	1.38384	0.00133921	0.00260248	0.00239788	-0.00126327	0.51459	1.19048	1.54545
ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	415	263	263.033	142	1.57795	0.00101418	0.00172842	0.00159221	-0.000714232	0.58677	1.03448	2.09091
TranscribedUnitaryPseudogene-lncRNA	414	328	328.729	56	1.2622	0.00101174	0.00215559	0.00198989	-0.00114385	0.469356	1	1.75
ProcessedPseudogene-ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	358	282	282.107	22	1.2695	0.000874886	0.00185328	0.00170767	-0.000978396	0.472074	1	1.42857
ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	357	265	265.034	89	1.34717	0.000872442	0.00174156	0.00160432	-0.000869117	0.500954	1.14286	1.53659
ProteinCoding-UnitaryPseudogene	350	298	298.152	187	1.1745	0.000855335	0.00195843	0.0018048	-0.0011031	0.436745	1.03125	1.61111
ProteinCoding-TranscribedUnprocessedPseudogene	327	199	199.007	135	1.64322	0.000799127	0.00130781	0.00120464	-0.000508685	0.611041	1	2.68421
UnprocessedPseudogene-lncRNA	307	227	227.066	127	1.35242	0.000750251	0.00149183	0.00137449	-0.000741575	0.502908	1	1.625
TranscribedUnprocessedPseudogene-UnprocessedPseudogene	271	134	134.007	72	2.02239	0.000662274	0.000880637	0.000811181	-0.000218364	0.752039	1.4	2.66667
UnitaryPseudogene-lncRNA	178	133	133.023	66	1.33835	0.000434999	0.000874065	0.000805224	-0.000439067	0.497673	1	2.14286
ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene	94	64	64.0012	35	1.46875	0.000229719	0.000420603	0.000387417	-0.000190884	0.546165	1	4
ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene-lncRNA	90	61	61.0037	26	1.47541	0.000219943	0.000400887	0.000369272	-0.000180944	0.548641	1	2
ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	85	53	53.0015	30	1.60377	0.000207724	0.000348312	0.000320832	-0.000140588	0.596374	1	4
TranslatedUnprocessedPseudogene	76	44	44.0276	2	1.72727	0.00018573	0.000289165	0.000266511	-0.000103435	0.642298	1	4.66667
TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	65	32	32.002	12	2.03125	0.000158848	0.000210301	0.000193717	-5.14535e-05	0.755334	1	4.4
