arm	library	column_in_tables	fastq_records	prep_records	star_input	star_uniq	star_multi	star_avg_input_len	star_avg_mapped_len	star_tooshort_pct	single_bed_rows	multi_bed_rows	table_reads	genes_detected	vasalen_truncated	vasalen_already_shorter	vasalen_mean_len_out	trim_kept_frac	star_input_eq_prep	uniq_frac_of_input	bed_rows_per_uniq_read	assigned_frac_of_input	assigned_frac_of_uniq	reads_tRNA	reads_miRNA	reads_snoRNA	reads_snRNA	reads_MiscRna	reads_scaRNA	reads_ribozyme	reads_MtTrna	reads_MtRrna	reads_rRNA	spliced_unspliced_excess
native	ZHA8833A1	cells/ZHA8833A1	29202448	29179266	29179266	24858885	2998683	134	135.8	3.93%	40885545	13973099	26943624	93349	0	0	0.0	0.999206162442272	True	0.8519366114281285	1.6447055046917833	0.9233825141454894	1.0838629327099747	0	3771	1007	130	60572	68	224	566	44299	167078	0
native	ZHA8833A10	cells/ZHA8833A10	23143267	23127771	23127771	18492333	2687236	125	127.17	7.66%	30680786	13378992	20605782	66229	0	0	0.0	0.9993304316110599	True	0.7995726436412743	1.6591084532168008	0.890954082864276	1.1142878510786065	0	5619	1258	42	38566	12	504	658	18897	119477	0
native	ZHA8833A2	cells/ZHA8833A2	24409629	24401230	24401230	20569255	2858340	130	132.18	3.30%	33833987	13340639	22804263	97016	0	0	0.0	0.99965591447539	True	0.8429597606350172	1.6448814991111735	0.9345538319174894	1.1086577029649347	0	3786	1101	105	49108	79	146	956	44811	125741	0
native	ZHA8833A3	cells/ZHA8833A3	24711503	24685557	24685557	20524581	3008787	128	129.81	3.92%	33457140	14155807	22851987	93390	0	0	0.0	0.9989500436294789	True	0.8314408704652684	1.6301009993821556	0.9257229642418034	1.113396029862924	0	4246	999	79	50639	68	167	628	57783	153762	0
native	ZHA8833A4	cells/ZHA8833A4	30007541	29987578	29987578	25254155	3682646	127	129.33	2.76%	41399217	17600497	28082039	93460	0	0	0.0	0.9993347338923906	True	0.8421538745143072	1.6393031958503461	0.9364557217658592	1.1119769796296886	0	5972	1103	89	64466	64	145	674	54111	182730	0
native	ZHA8833A5	cells/ZHA8833A5	28707865	28687141	28687141	23616860	3568212	126	128.84	4.45%	38665620	17025776	26453220	95060	0	0	0.0	0.9992781072364664	True	0.823255966845912	1.6372040991054695	0.9221281409674111	1.1200989462612727	0	5562	1144	87	51892	86	157	773	58174	178379	0
native	ZHA8833A6	cells/ZHA8833A6	23267003	23249296	23249296	19238478	2909734	127	129.06	3.95%	31439501	13705250	21608227	90120	0	0	0.0	0.9992389651559335	True	0.8274864752894023	1.634198973536264	0.9294142497906173	1.1231775715313863	0	4251	1031	107	34271	80	106	780	54018	125748	0
native	ZHA8833A7	cells/ZHA8833A7	23633304	23617000	23617000	18787075	2771612	130	131.85	8.05%	30967437	12891755	21066637	73677	0	0	0.0	0.9993101260830902	True	0.7954894779184486	1.6483373276574453	0.8920115594698734	1.1213367168651853	0	3520	948	53	30600	84	144	781	53403	121549	0
native	ZHA8833A8	cells/ZHA8833A8	31826470	31803422	31803422	20506682	4027300	131	130.27	22.21%	34477604	19751010	23805716	78298	0	0	0.0	0.9992758229234974	True	0.6447948274245457	1.6812863241357134	0.748526872359836	1.1608760500601707	0	5808	1255	78	102370	134	114	839	88971	247743	0
native	ZHA8833A9	cells/ZHA8833A9	38710566	38682256	38682256	25546685	3844325	125	128.08	23.42%	42060867	19199481	28438904	73563	0	0	0.0	0.9992686751208959	True	0.6604238646267167	1.6464315037352204	0.7351924872220482	1.11321308420251	0	7805	1288	98	75587	145	352	546	40033	268792	0
