arm	library	column_in_tables	fastq_records	prep_records	star_input	star_uniq	star_multi	star_avg_input_len	star_avg_mapped_len	star_tooshort_pct	single_bed_rows	multi_bed_rows	table_reads	genes_detected	vasalen_truncated	vasalen_already_shorter	vasalen_mean_len_out	trim_kept_frac	star_input_eq_prep	uniq_frac_of_input	bed_rows_per_uniq_read	assigned_frac_of_input	assigned_frac_of_uniq	reads_tRNA	reads_miRNA	reads_snoRNA	reads_snRNA	reads_MiscRna	reads_scaRNA	reads_ribozyme	reads_MtTrna	reads_MtRrna	reads_rRNA	spliced_unspliced_excess
vasalen	ZHA8833A1	cells/ZHA8833A1	29202448	29179266	29179266	23805034	3991390	100	103.1	3.77%	36960237	20116864	26881754	141562	23945812	5156691	100.849	0.999206162442272	True	0.8158201786158706	1.5526227351744173	0.9212621729415675	1.1292466122921732	0	11548	1560	204	57900	76	232	999	44206	169616	0
vasalen	ZHA8833A10	cells/ZHA8833A10	23143267	23127771	23127771	17696126	3446897	95	98.66	7.45%	27824883	18267940	20567236	114670	16605418	6443985	95.826	0.9993304316110599	True	0.7651461958871869	1.5723714331600034	0.8892874285204571	1.1622451151172861	0	11482	1647	90	37080	14	511	896	18830	121233	0
vasalen	ZHA8833A2	cells/ZHA8833A2	24409629	24401230	24401230	19664924	3707879	99	101.58	3.11%	30646743	18725134	22751083	143863	18905349	5414704	99.037	0.99965591447539	True	0.8058988829661455	1.558447060359857	0.9323744335838808	1.1569372452189493	0	9724	1543	182	46905	80	151	1420	44725	126829	0
vasalen	ZHA8833A3	cells/ZHA8833A3	24711503	24685557	24685557	19635004	3829005	97	100.17	3.80%	30364901	19351757	22785136	139158	18443393	6158136	97.526	0.9989500436294789	True	0.7954045355346854	1.54646777764853	0.9230148624963171	1.1604344974923357	0	10047	1359	137	48281	71	174	1136	57622	155298	0
vasalen	ZHA8833A4	cells/ZHA8833A4	30007541	29987578	29987578	24148394	4687958	97	100.04	2.69%	37542372	24076461	27985240	145670	22127954	7755926	97.297	0.9993347338923906	True	0.8052799062331742	1.554652951248021	0.9332277518377776	1.1588861768612853	0	13766	1554	156	61664	69	148	1158	53969	184421	0
vasalen	ZHA8833A5	cells/ZHA8833A5	28707865	28687141	28687141	22580103	4527738	96	99.48	4.32%	35059932	23118210	26377930	145647	21148969	7446419	96.714	0.9992781072364664	True	0.7871158370225879	1.5526914115493626	0.9195036201063048	1.1681935197549806	0	12354	1600	154	49482	86	171	1256	58015	179953	0
vasalen	ZHA8833A6	cells/ZHA8833A6	23267003	23249296	23249296	18393394	3689198	97	99.72	3.83%	28542634	18651353	21545199	134943	17175858	5996322	97.001	0.9992389651559335	True	0.7911376757386547	1.55178723404718	0.9267032859833692	1.1713552702671404	0	9457	1438	169	32719	84	107	1270	53887	126745	0
vasalen	ZHA8833A7	cells/ZHA8833A7	23633304	23617000	23617000	17940785	3591231	98	101.21	7.79%	28012341	17949164	21036204	122533	18363534	5182919	98.865	0.9993101260830902	True	0.759655544734725	1.5613776654700449	0.8907229538044629	1.172535315483687	0	8988	1322	101	29148	85	155	1365	53313	122676	0
vasalen	ZHA8833A8	cells/ZHA8833A8	31826470	31803422	31803422	19330023	5350842	99	101.21	21.33%	30761235	28010076	23922175	134679	24930275	6773968	99.506	0.9992758229234974	True	0.6077969534221821	1.5913708431697158	0.7521887110135507	1.2375657804442344	0	14640	1656	144	97525	136	112	1625	88607	248430	0
vasalen	ZHA8833A9	cells/ZHA8833A9	38710566	38682256	38682256	24481194	5108850	96	99.1	22.58%	38139604	26920733	28600671	172675	27667074	10878416	96.007	0.9992686751208959	True	0.6328791681643388	1.5579143729672662	0.7393744304882321	1.1682710818761537	0	16743	1977	188	72688	151	359	891	39901	283553	0
