entry	reads	UFIs	biotype
ENSMUSG00000119584_Rn18s.rs5_rRNA	197475	40362	rRNA
ENSMUSG00000064339_mt.Rnr2_MtRrna	5812	3263	MtRrna
ENSMUSG00000064337_mt.Rnr1_MtRrna	2351	1460	MtRrna
ENSMUSG00002075795_Gm54867_rRNA	1070	817	rRNA
ENSMUSG00002075637_Gm55073_rRNA	441	365	rRNA
ENSMUSG00002075637_Gm55073_rRNA-ENSMUSG00002075795_Gm54867_rRNA	7	7	rRNA
ENSMUSG00000118860_n.R5s118_rRNA-ENSMUSG00000119012_Gm24312_rRNA-ENSMUSG00000119562_n.R5s130_rRNA-ENSMUSG00000119730_n.R5s106_rRNA	8	5	rRNA
ENSMUSG00000118952_n.R5s2_rRNA	2	2	rRNA
ENSMUSG00002076528_Gm56313_rRNA	2	2	rRNA
ENSMUSG00002076551_Gm55135_rRNA	2	2	rRNA
ENSMUSG00002076461_Gm54382_rRNA	3	2	rRNA
ENSMUSG00000118945_n.R5s136_rRNA	2	1	rRNA
ENSMUSG00000118708_n.R5s195_rRNA	2	1	rRNA
ENSMUSG00000065107_n.R5s88_rRNA	1	1	rRNA
ENSMUSG00000064748_n.R5s28_rRNA	1	1	rRNA
ENSMUSG00002075469_Gm54747_rRNA	1	1	rRNA
ENSMUSG00002075392_Gm56168_rRNA	2	1	rRNA
ENSMUSG00002075530_Gm56199_rRNA	1	1	rRNA
ENSMUSG00000119216_n.R5s151_rRNA	1	1	rRNA
ENSMUSG00000119822_n.R5s92_rRNA	1	1	rRNA
ENSMUSG00002075053_Gm55947_rRNA	1	1	rRNA
ENSMUSG00000119695_n.R5s209_rRNA	1	1	rRNA
ENSMUSG00000119743_n.R5s211_rRNA	1	1	rRNA
ENSMUSG00002075697_Gm55441_rRNA	1	1	rRNA
ENSMUSG00002075682_Gm54697_rRNA	2	1	rRNA
ENSMUSG00002075671_Gm54702_rRNA	2	1	rRNA
ENSMUSG00002075656_Gm55878_rRNA	3	1	rRNA
ENSMUSG00002075470_Gm56290_rRNA	1	1	rRNA
ENSMUSG00002076373_Gm55485_rRNA	1	1	rRNA
ENSMUSG00002076374_Gm55480_rRNA	2	1	rRNA
ENSMUSG00002075974_Gm54618_rRNA	1	1	rRNA
ENSMUSG00002076603_Gm54455_rRNA	1	1	rRNA
ENSMUSG00002076205_Gm55332_rRNA	1	1	rRNA
ENSMUSG00002076757_Gm56176_rRNA	1	1	rRNA
ENSMUSG00002076829_Gm56078_rRNA	1	1	rRNA
ENSMUSG00000118708_n.R5s195_rRNA-ENSMUSG00000119695_n.R5s209_rRNA	1	1	rRNA
ENSMUSG00000064959_n.R5s41_rRNA-ENSMUSG00000065887_n.R5s185_rRNA-ENSMUSG00002074856_Gm55752_rRNA-ENSMUSG00002075237_Gm55542_rRNA-ENSMUSG00002076095_Gm54409_rRNA	1	1	rRNA
ENSMUSG00002075252_Gm55977_rRNA-ENSMUSG00002076757_Gm56176_rRNA	1	1	rRNA
ENSMUSG00002075682_Gm54697_rRNA-ENSMUSG00002075937_Gm55438_rRNA	2	1	rRNA
