length	count
20	359118
21	356698
22	362273
23	365390
24	362030
25	376530
26	372784
27	369118
28	348445
29	320370
30	261345
31	219024
32	201019
33	186299
34	175806
35	159230
36	141484
37	134458
38	124479
39	128374
40	143218
41	163665
42	125131
43	120899
44	126400
45	128377
46	145916
47	153627
48	169291
49	249561
50	180002
51	142696
52	137993
53	139967
54	140740
55	146595
56	132202
57	148675
58	153198
59	167163
60	142010
61	137625
62	142458
63	140898
64	148454
65	147415
66	156110
67	182624
68	206019
69	244718
70	188885
71	190300
72	206795
73	214911
74	224759
75	227506
76	219815
77	218084
78	223788
79	263433
80	344901
81	316684
82	301513
83	309938
84	334562
85	358618
86	387677
87	406532
88	424828
89	432748
90	403844
91	346264
92	348851
93	392833
94	470286
95	461537
96	460253
97	465188
98	458280
99	427890
100	433010
101	375683
102	353719
103	448567
104	465451
105	476852
106	398228
107	473599
108	540701
109	449718
110	445661
111	350489
112	295177
113	300980
114	327240
115	311415
116	278397
117	292012
118	305496
119	346501
120	554956
121	66220
122	291318
123	373474
124	527547
125	720079
126	864304
127	1899454
128	2820078
129	9302876
130	24646044
