cell	n_records	n_groups	n_closed	ribo_stranded_n	ribo_stranded_y	log_nreads	log_nunmapped	log_nmapped_sum	check_y_matches_log	check_groups	check_closed	is_real_cell	pct_y	pct_n	n_over_y	fwd_pct_of_ribo_n
001	569301	284597	284596	31921	29868	284597	254728	29868	True	True	True	False	10.4948	11.2162	1.06874	93.5685
002	5249652	2623273	2623272	817937	471928	2623273	2151344	471928	True	True	True	True	17.99	31.18	1.73318	57.6974
003	9134929	4565233	4565232	1366990	1145347	4565233	3419885	1145347	True	True	True	True	25.0885	29.9435	1.19352	83.7861
004	7089490	3542790	3542789	990984	732589	3542790	2810200	732589	True	True	True	True	20.6783	27.9719	1.35271	73.9254
005	6093672	3045052	3045051	961700	629745	3045052	2415306	629745	True	True	True	True	20.6809	31.5824	1.52713	65.4825
006	9503256	4748979	4748978	1413259	915911	4748979	3833067	915911	True	True	True	True	19.2865	29.7592	1.54301	64.8084
007	18394221	9192416	9192415	2565638	2019038	9192416	7173377	2019038	True	True	True	True	21.9642	27.9104	1.27072	78.6954
008	11520325	5756671	5756670	1677676	1114134	5756671	4642536	1114134	True	True	True	True	19.3538	29.1432	1.50581	66.4094
009	14043093	7017728	7017727	1924855	1458166	7017728	5559561	1458166	True	True	True	True	20.7783	27.4285	1.32005	75.7546
010	26573232	13279354	13279353	3613778	2855786	13279354	10423567	2855786	True	True	True	True	21.5055	27.2135	1.26542	79.0249
011	27282217	13634453	13634452	3725410	3066372	13634453	10568080	3066372	True	True	True	True	22.4899	27.3235	1.21492	82.3097
012	22176427	11082329	11082328	3054897	2487380	11082329	8594948	2487380	True	True	True	True	22.4446	27.5655	1.22816	81.4227
013	20919970	10454276	10454275	3109384	2291476	10454276	8162799	2291476	True	True	True	True	21.919	29.7427	1.35694	73.6955
014	672051	335982	335981	22129	19683	335982	316298	19683	True	True	True	False	5.85835	6.58636	1.12427	88.9466
015	787015	393457	393456	39151	33811	393457	359645	33811	True	True	True	False	8.59332	9.95052	1.15794	86.3605
016	361623	180793	180792	12348	11495	180793	169297	11495	True	True	True	False	6.3581	6.82991	1.07421	93.092
