dataset	group	units	total	median
VASA own, 130 nt	Blank control	4	1336393	350225.5
VASA own, 130 nt	EpiLCs	4	52613656	13248043
VASA own, 130 nt	XO	4	29154611	6985131.5
VASA own, 130 nt	XY	4	15170112	3631497
VASA own, 75 nt	Blank control	4	1135948	300310
VASA own, 75 nt	EpiLCs	4	52119135	13132581
VASA own, 75 nt	XO	4	28755088	6900600
VASA own, 75 nt	XY	4	14856474	3542509.5
VASA published, mouse	Mouse (mESC)	173	59075010	276377
FLASH-seq	1.5 ng	2	51936437	25968218.5
FLASH-seq	3 ng	2	54673135	27336567.5
FLASH-seq	30 ng	2	53580496	26790248
FLASH-seq	30 pg	2	61810027	30905013.5
FLASH-seq	60 pg	2	55420422	27710211
