dataset	bin	coverage	genes
VASA own, 130 nt	1	0.00258023	11377
VASA own, 130 nt	2	0.00597478	11377
VASA own, 130 nt	3	0.00845956	11377
VASA own, 130 nt	4	0.00996859	11377
VASA own, 130 nt	5	0.01045879	11377
VASA own, 130 nt	6	0.01083202	11377
VASA own, 130 nt	7	0.01115774	11377
VASA own, 130 nt	8	0.01127625	11377
VASA own, 130 nt	9	0.01145739	11377
VASA own, 130 nt	10	0.01163342	11377
VASA own, 130 nt	11	0.01179202	11377
VASA own, 130 nt	12	0.01148004	11377
VASA own, 130 nt	13	0.01138326	11377
VASA own, 130 nt	14	0.01121316	11377
VASA own, 130 nt	15	0.01112237	11377
VASA own, 130 nt	16	0.01127118	11377
VASA own, 130 nt	17	0.01106354	11377
VASA own, 130 nt	18	0.01095813	11377
VASA own, 130 nt	19	0.01103733	11377
VASA own, 130 nt	20	0.01086344	11377
VASA own, 130 nt	21	0.01070004	11377
VASA own, 130 nt	22	0.01064619	11377
VASA own, 130 nt	23	0.01052320	11377
VASA own, 130 nt	24	0.01062762	11377
VASA own, 130 nt	25	0.01061499	11377
VASA own, 130 nt	26	0.01055201	11377
VASA own, 130 nt	27	0.01050976	11377
VASA own, 130 nt	28	0.01058997	11377
VASA own, 130 nt	29	0.01050875	11377
VASA own, 130 nt	30	0.01040787	11377
VASA own, 130 nt	31	0.01046151	11377
VASA own, 130 nt	32	0.01043188	11377
VASA own, 130 nt	33	0.01025640	11377
VASA own, 130 nt	34	0.01041668	11377
VASA own, 130 nt	35	0.01036702	11377
VASA own, 130 nt	36	0.01022033	11377
VASA own, 130 nt	37	0.01032379	11377
VASA own, 130 nt	38	0.01029436	11377
VASA own, 130 nt	39	0.01058910	11377
VASA own, 130 nt	40	0.01060718	11377
VASA own, 130 nt	41	0.01066316	11377
VASA own, 130 nt	42	0.01078766	11377
VASA own, 130 nt	43	0.01057979	11377
VASA own, 130 nt	44	0.01059171	11377
VASA own, 130 nt	45	0.01060642	11377
VASA own, 130 nt	46	0.01052703	11377
VASA own, 130 nt	47	0.01050013	11377
VASA own, 130 nt	48	0.01047443	11377
VASA own, 130 nt	49	0.01043218	11377
VASA own, 130 nt	50	0.01050457	11377
VASA own, 130 nt	51	0.01046368	11377
VASA own, 130 nt	52	0.01033778	11377
VASA own, 130 nt	53	0.01021125	11377
VASA own, 130 nt	54	0.01018117	11377
VASA own, 130 nt	55	0.01018533	11377
VASA own, 130 nt	56	0.01004593	11377
VASA own, 130 nt	57	0.01006015	11377
VASA own, 130 nt	58	0.00998274	11377
VASA own, 130 nt	59	0.01026355	11377
VASA own, 130 nt	60	0.01034094	11377
VASA own, 130 nt	61	0.01025641	11377
VASA own, 130 nt	62	0.01027061	11377
VASA own, 130 nt	63	0.01017569	11377
