dataset	unit	reads_in	ribosomal	to_star	pct
VASA own, 130 nt	001	323197	50605	272592	15.6576
VASA own, 130 nt	002	2844246	641776	2202470	22.5640
VASA own, 130 nt	003	5062872	1533643	3529229	30.2920
VASA own, 130 nt	004	3929825	1018713	2911112	25.9226
VASA own, 130 nt	005	3333169	858188	2474981	25.7469
VASA own, 130 nt	006	5141996	1221624	3920372	23.7578
VASA own, 130 nt	007	10042352	2693230	7349122	26.8187
VASA own, 130 nt	008	6305642	1540394	4765248	24.4288
VASA own, 130 nt	009	7664621	1976502	5688119	25.7873
VASA own, 130 nt	010	14411120	3755068	10656052	26.0567
VASA own, 130 nt	011	14777546	3972498	10805048	26.8820
VASA own, 130 nt	012	12084966	3281042	8803924	27.1498
VASA own, 130 nt	013	11340024	2993149	8346875	26.3946
VASA own, 130 nt	014	377254	35179	342075	9.3250
VASA own, 130 nt	015	435593	52089	383504	11.9582
VASA own, 130 nt	016	200349	18672	181677	9.3197
VASA own, 75 nt	001	294847	50927	243920	17.2723
VASA own, 75 nt	002	2782660	641093	2141567	23.0389
VASA own, 75 nt	003	4988795	1532466	3456329	30.7182
VASA own, 75 nt	004	3818364	1018579	2799785	26.6758
VASA own, 75 nt	005	3266655	857785	2408870	26.2588
VASA own, 75 nt	006	5014767	1221241	3793526	24.3529
VASA own, 75 nt	007	9939121	2689374	7249747	27.0585
VASA own, 75 nt	008	6220055	1538605	4681450	24.7362
VASA own, 75 nt	009	7581145	1974491	5606654	26.0448
VASA own, 75 nt	010	14284881	3749870	10535011	26.2506
VASA own, 75 nt	011	14619623	3966886	10652737	27.1340
VASA own, 75 nt	012	11980281	3276448	8703833	27.3487
VASA own, 75 nt	013	11234350	2988794	8245556	26.6041
VASA own, 75 nt	014	305773	35993	269780	11.7712
VASA own, 75 nt	015	377867	53002	324865	14.0266
VASA own, 75 nt	016	157461	19008	138453	12.0716
VASA published, mouse	002	64160	17601	46559	27.4330
VASA published, mouse	004	623586	131587	491999	21.1017
VASA published, mouse	006	532713	64867	467846	12.1767
VASA published, mouse	008	262699	38649	224050	14.7123
VASA published, mouse	010	384525	45425	339100	11.8133
VASA published, mouse	012	1048289	135542	912747	12.9298
VASA published, mouse	014	63153	5087	58066	8.0550
VASA published, mouse	016	371006	67704	303302	18.2488
VASA published, mouse	018	338398	42158	296240	12.4581
VASA published, mouse	020	894887	127177	767710	14.2115
VASA published, mouse	022	509420	59791	449629	11.7371
VASA published, mouse	026	197402	29530	167872	14.9593
VASA published, mouse	032	170360	18937	151423	11.1159
VASA published, mouse	034	188935	24548	164387	12.9928
VASA published, mouse	036	336023	39181	296842	11.6602
VASA published, mouse	038	115666	14741	100925	12.7445
VASA published, mouse	040	46395	5356	41039	11.5443
VASA published, mouse	042	134231	15361	118870	11.4437
VASA published, mouse	044	162487	21378	141109	13.1567
VASA published, mouse	046	64392	384	64008	0.5963
VASA published, mouse	050	104782	11117	93665	10.6096
VASA published, mouse	054	79174	8219	70955	10.3809
VASA published, mouse	056	869088	115483	753605	13.2878
VASA published, mouse	058	114651	11192	103459	9.7618
VASA published, mouse	060	260728	26047	234681	9.9901
VASA published, mouse	062	257524	28224	229300	10.9598
VASA published, mouse	064	233624	22724	210900	9.7267
VASA published, mouse	066	381744	38048	343696	9.9669
VASA published, mouse	068	183321	25692	157629	14.0148
VASA published, mouse	070	175994	19952	156042	11.3368
VASA published, mouse	076	387290	41519	345771	10.7204
VASA published, mouse	078	342339	37922	304417	11.0773
VASA published, mouse	080	396308	37015	359293	9.3400
VASA published, mouse	082	131839	11454	120385	8.6879
VASA published, mouse	084	107398	8689	98709	8.0905
VASA published, mouse	086	158432	13251	145181	8.3638
VASA published, mouse	088	421409	49704	371705	11.7947
VASA published, mouse	090	621063	61084	559979	9.8354
VASA published, mouse	092	337333	37071	300262	10.9894
VASA published, mouse	094	313141	36273	276868	11.5836
VASA published, mouse	098	143338	7791	135547	5.4354
VASA published, mouse	100	404001	36987	367014	9.1552
VASA published, mouse	104	143752	16419	127333	11.4218
VASA published, mouse	106	209933	21745	188188	10.3581
VASA published, mouse	108	349275	30349	318926	8.6891
VASA published, mouse	112	528894	70273	458621	13.2868
VASA published, mouse	114	181363	16660	164703	9.1860
VASA published, mouse	116	533210	53729	479481	10.0765
VASA published, mouse	118	71965	8101	63864	11.2569
VASA published, mouse	122	184807	16107	168700	8.7156
VASA published, mouse	124	377470	44598	332872	11.8150
VASA published, mouse	126	31930	2782	29148	8.7128
VASA published, mouse	128	425260	47310	377950	11.1250
VASA published, mouse	130	56683	4025	52658	7.1009
VASA published, mouse	132	229530	17821	211709	7.7641
VASA published, mouse	134	112657	5411	107246	4.8031
VASA published, mouse	136	178428	20346	158082	11.4029
VASA published, mouse	138	139985	21106	118879	15.0773
VASA published, mouse	140	277355	29758	247597	10.7292
VASA published, mouse	142	371191	41834	329357	11.2702
VASA published, mouse	146	82552	8298	74254	10.0518
VASA published, mouse	148	265371	26774	238597	10.0893
VASA published, mouse	150	190240	18930	171310	9.9506
VASA published, mouse	154	415574	38025	377549	9.1500
VASA published, mouse	156	234453	28193	206260	12.0250
VASA published, mouse	158	273646	32156	241490	11.7509
VASA published, mouse	160	257790	83234	174556	32.2875
VASA published, mouse	162	200909	30705	170204	15.2830
VASA published, mouse	164	130757	12948	117809	9.9023
VASA published, mouse	166	83273	7527	75746	9.0389
VASA published, mouse	170	104210	11401	92809	10.9404
VASA published, mouse	172	184880	24458	160422	13.2291
VASA published, mouse	174	126991	16166	110825	12.7300
VASA published, mouse	176	159324	17709	141615	11.1151
VASA published, mouse	178	202387	21971	180416	10.8559
VASA published, mouse	180	352626	34585	318041	9.8078
VASA published, mouse	182	166426	17976	148450	10.8012
VASA published, mouse	184	306910	35505	271405	11.5685
VASA published, mouse	186	593613	52717	540896	8.8807
VASA published, mouse	188	227529	21639	205890	9.5104
VASA published, mouse	190	288446	32221	256225	11.1705
VASA published, mouse	194	49541	7895	41646	15.9363
VASA published, mouse	196	117239	17370	99869	14.8159
VASA published, mouse	198	221515	22853	198662	10.3167
VASA published, mouse	200	295294	28215	267079	9.5549
VASA published, mouse	202	666968	73665	593303	11.0448
VASA published, mouse	204	281367	61597	219770	21.8920
VASA published, mouse	208	390265	60125	330140	15.4062
VASA published, mouse	210	402885	43822	359063	10.8770
VASA published, mouse	214	75957	8799	67158	11.5842
VASA published, mouse	215	190258	22295	167963	11.7183
VASA published, mouse	218	329449	37914	291535	11.5083
VASA published, mouse	220	537763	59069	478694	10.9842
VASA published, mouse	222	350341	37076	313265	10.5828
VASA published, mouse	224	77076	7118	69958	9.2350
VASA published, mouse	226	144191	12940	131251	8.9742
