dataset	cell	class	ngenes	reads
FLASH-seq	ZHA8833A1	multi	1	247196
FLASH-seq	ZHA8833A1	multi	2	672895
FLASH-seq	ZHA8833A1	multi	3	658772
FLASH-seq	ZHA8833A1	multi	4	421438
FLASH-seq	ZHA8833A1	multi	5	276437
FLASH-seq	ZHA8833A1	multi	6	140014
FLASH-seq	ZHA8833A1	multi	7	111516
FLASH-seq	ZHA8833A1	multi	8	52441
FLASH-seq	ZHA8833A1	multi	9	39073
FLASH-seq	ZHA8833A1	multi	10	49139
FLASH-seq	ZHA8833A1	multi	11	25184
FLASH-seq	ZHA8833A1	multi	12	23548
FLASH-seq	ZHA8833A1	multi	13	22237
FLASH-seq	ZHA8833A1	multi	14	11669
FLASH-seq	ZHA8833A1	multi	15	16538
FLASH-seq	ZHA8833A1	multi	16	6647
FLASH-seq	ZHA8833A1	multi	17	12497
FLASH-seq	ZHA8833A1	multi	18	3540
FLASH-seq	ZHA8833A1	multi	19	21004
FLASH-seq	ZHA8833A1	multi	20	25591
FLASH-seq	ZHA8833A1	single	1	17967928
FLASH-seq	ZHA8833A1	single	2	5146549
FLASH-seq	ZHA8833A1	single	3	309791
FLASH-seq	ZHA8833A1	single	4	16805
FLASH-seq	ZHA8833A1	single	5	784
FLASH-seq	ZHA8833A1	single	6	34
FLASH-seq	ZHA8833A1	single	7	3
FLASH-seq	ZHA8833A1	single	8	2
FLASH-seq	ZHA8833A1	single	9	54
FLASH-seq	ZHA8833A1	single	10	47
FLASH-seq	ZHA8833A1	single	11	5
FLASH-seq	ZHA8833A1	single	12	4
FLASH-seq	ZHA8833A1	single	13	1
FLASH-seq	ZHA8833A1	single	14	54
FLASH-seq	ZHA8833A1	single	15	76
FLASH-seq	ZHA8833A1	single	16	29
FLASH-seq	ZHA8833A1	single	17	6
FLASH-seq	ZHA8833A1	single	19	21
FLASH-seq	ZHA8833A1	single	20	1600
FLASH-seq	ZHA8833A10	multi	1	197156
FLASH-seq	ZHA8833A10	multi	2	572218
FLASH-seq	ZHA8833A10	multi	3	606027
FLASH-seq	ZHA8833A10	multi	4	384252
FLASH-seq	ZHA8833A10	multi	5	258543
FLASH-seq	ZHA8833A10	multi	6	136693
FLASH-seq	ZHA8833A10	multi	7	110285
FLASH-seq	ZHA8833A10	multi	8	56202
FLASH-seq	ZHA8833A10	multi	9	43087
FLASH-seq	ZHA8833A10	multi	10	53234
FLASH-seq	ZHA8833A10	multi	11	29219
FLASH-seq	ZHA8833A10	multi	12	25371
FLASH-seq	ZHA8833A10	multi	13	24961
FLASH-seq	ZHA8833A10	multi	14	13494
FLASH-seq	ZHA8833A10	multi	15	18507
FLASH-seq	ZHA8833A10	multi	16	7779
FLASH-seq	ZHA8833A10	multi	17	12926
FLASH-seq	ZHA8833A10	multi	18	4731
FLASH-seq	ZHA8833A10	multi	19	20815
FLASH-seq	ZHA8833A10	multi	20	32698
FLASH-seq	ZHA8833A10	single	1	13435831
FLASH-seq	ZHA8833A10	single	2	4028139
FLASH-seq	ZHA8833A10	single	3	245414
FLASH-seq	ZHA8833A10	single	4	15276
FLASH-seq	ZHA8833A10	single	5	460
FLASH-seq	ZHA8833A10	single	6	1
FLASH-seq	ZHA8833A10	single	7	4
FLASH-seq	ZHA8833A10	single	20	1163
FLASH-seq	ZHA8833A2	multi	1	237642
FLASH-seq	ZHA8833A2	multi	2	649819
FLASH-seq	ZHA8833A2	multi	3	636961
FLASH-seq	ZHA8833A2	multi	4	391988
FLASH-seq	ZHA8833A2	multi	5	265075
FLASH-seq	ZHA8833A2	multi	6	139419
FLASH-seq	ZHA8833A2	multi	7	106796
FLASH-seq	ZHA8833A2	multi	8	53332
FLASH-seq	ZHA8833A2	multi	9	39289
FLASH-seq	ZHA8833A2	multi	10	46348
FLASH-seq	ZHA8833A2	multi	11	25541
FLASH-seq	ZHA8833A2	multi	12	22699
FLASH-seq	ZHA8833A2	multi	13	21969
FLASH-seq	ZHA8833A2	multi	14	12012
FLASH-seq	ZHA8833A2	multi	15	15268
FLASH-seq	ZHA8833A2	multi	16	6657
FLASH-seq	ZHA8833A2	multi	17	10794
FLASH-seq	ZHA8833A2	multi	18	3863
FLASH-seq	ZHA8833A2	multi	19	17665
FLASH-seq	ZHA8833A2	multi	20	25989
FLASH-seq	ZHA8833A2	single	1	15011286
FLASH-seq	ZHA8833A2	single	2	4283581
FLASH-seq	ZHA8833A2	single	3	258615
FLASH-seq	ZHA8833A2	single	4	15039
FLASH-seq	ZHA8833A2	single	5	610
FLASH-seq	ZHA8833A2	single	6	34
FLASH-seq	ZHA8833A2	single	7	11
FLASH-seq	ZHA8833A2	single	8	1
FLASH-seq	ZHA8833A2	single	9	21
FLASH-seq	ZHA8833A2	single	10	42
FLASH-seq	ZHA8833A2	single	12	2
FLASH-seq	ZHA8833A2	single	13	1
FLASH-seq	ZHA8833A2	single	14	45
FLASH-seq	ZHA8833A2	single	15	85
FLASH-seq	ZHA8833A2	single	16	17
FLASH-seq	ZHA8833A2	single	17	12
FLASH-seq	ZHA8833A2	single	18	1
FLASH-seq	ZHA8833A2	single	19	19
FLASH-seq	ZHA8833A2	single	20	1180
FLASH-seq	ZHA8833A3	multi	1	238584
FLASH-seq	ZHA8833A3	multi	2	708129
FLASH-seq	ZHA8833A3	multi	3	663941
FLASH-seq	ZHA8833A3	multi	4	420400
FLASH-seq	ZHA8833A3	multi	5	277562
FLASH-seq	ZHA8833A3	multi	6	149978
FLASH-seq	ZHA8833A3	multi	7	119281
FLASH-seq	ZHA8833A3	multi	8	58597
FLASH-seq	ZHA8833A3	multi	9	43204
FLASH-seq	ZHA8833A3	multi	10	51810
FLASH-seq	ZHA8833A3	multi	11	27869
FLASH-seq	ZHA8833A3	multi	12	25219
FLASH-seq	ZHA8833A3	multi	13	23674
FLASH-seq	ZHA8833A3	multi	14	13009
FLASH-seq	ZHA8833A3	multi	15	17014
FLASH-seq	ZHA8833A3	multi	16	7825
FLASH-seq	ZHA8833A3	multi	17	11470
FLASH-seq	ZHA8833A3	multi	18	4543
FLASH-seq	ZHA8833A3	multi	19	18084
FLASH-seq	ZHA8833A3	multi	20	29328
FLASH-seq	ZHA8833A3	single	1	3138580
FLASH-seq	ZHA8833A3	single	2	851708
FLASH-seq	ZHA8833A3	single	3	31181
FLASH-seq	ZHA8833A3	single	4	770
FLASH-seq	ZHA8833A3	single	5	8
FLASH-seq	ZHA8833A3	single	9	2
FLASH-seq	ZHA8833A3	single	10	24
