dataset	bin	coverage	genes
VASA own, 130 nt	1	0.00258601	11586
VASA own, 130 nt	2	0.00596609	11586
VASA own, 130 nt	3	0.00844161	11586
VASA own, 130 nt	4	0.00997129	11586
VASA own, 130 nt	5	0.01045155	11586
VASA own, 130 nt	6	0.01085975	11586
VASA own, 130 nt	7	0.01117037	11586
VASA own, 130 nt	8	0.01128322	11586
VASA own, 130 nt	9	0.01140249	11586
VASA own, 130 nt	10	0.01154280	11586
VASA own, 130 nt	11	0.01175972	11586
VASA own, 130 nt	12	0.01146735	11586
VASA own, 130 nt	13	0.01141543	11586
VASA own, 130 nt	14	0.01121939	11586
VASA own, 130 nt	15	0.01112642	11586
VASA own, 130 nt	16	0.01125612	11586
VASA own, 130 nt	17	0.01111568	11586
VASA own, 130 nt	18	0.01096793	11586
VASA own, 130 nt	19	0.01105587	11586
VASA own, 130 nt	20	0.01088906	11586
VASA own, 130 nt	21	0.01070641	11586
VASA own, 130 nt	22	0.01065627	11586
VASA own, 130 nt	23	0.01056299	11586
VASA own, 130 nt	24	0.01064648	11586
VASA own, 130 nt	25	0.01062427	11586
VASA own, 130 nt	26	0.01058322	11586
VASA own, 130 nt	27	0.01053561	11586
VASA own, 130 nt	28	0.01060368	11586
VASA own, 130 nt	29	0.01050234	11586
VASA own, 130 nt	30	0.01039672	11586
VASA own, 130 nt	31	0.01046277	11586
VASA own, 130 nt	32	0.01045435	11586
VASA own, 130 nt	33	0.01030367	11586
VASA own, 130 nt	34	0.01045367	11586
VASA own, 130 nt	35	0.01042850	11586
VASA own, 130 nt	36	0.01033280	11586
VASA own, 130 nt	37	0.01036244	11586
VASA own, 130 nt	38	0.01032935	11586
VASA own, 130 nt	39	0.01059390	11586
VASA own, 130 nt	40	0.01060247	11586
VASA own, 130 nt	41	0.01066236	11586
VASA own, 130 nt	42	0.01083150	11586
VASA own, 130 nt	43	0.01061297	11586
VASA own, 130 nt	44	0.01060945	11586
VASA own, 130 nt	45	0.01058715	11586
VASA own, 130 nt	46	0.01050120	11586
VASA own, 130 nt	47	0.01045488	11586
VASA own, 130 nt	48	0.01043988	11586
VASA own, 130 nt	49	0.01039116	11586
VASA own, 130 nt	50	0.01048281	11586
VASA own, 130 nt	51	0.01045464	11586
VASA own, 130 nt	52	0.01031040	11586
VASA own, 130 nt	53	0.01016861	11586
VASA own, 130 nt	54	0.01014565	11586
VASA own, 130 nt	55	0.01015344	11586
VASA own, 130 nt	56	0.00999801	11586
VASA own, 130 nt	57	0.00998817	11586
VASA own, 130 nt	58	0.00991088	11586
VASA own, 130 nt	59	0.01020083	11586
VASA own, 130 nt	60	0.01029004	11586
VASA own, 130 nt	61	0.01021333	11586
VASA own, 130 nt	62	0.01022629	11586
VASA own, 130 nt	63	0.01011823	11586
VASA own, 130 nt	64	0.01007235	11586
VASA own, 130 nt	65	0.00990045	11586
VASA own, 130 nt	66	0.00986577	11586
VASA own, 130 nt	67	0.00982185	11586
VASA own, 130 nt	68	0.00993159	11586
VASA own, 130 nt	69	0.00995392	11586
VASA own, 130 nt	70	0.00992228	11586
VASA own, 130 nt	71	0.00996377	11586
VASA own, 130 nt	72	0.00971689	11586
VASA own, 130 nt	73	0.00950002	11586
VASA own, 130 nt	74	0.00946215	11586
VASA own, 130 nt	75	0.00934497	11586
VASA own, 130 nt	76	0.00922937	11586
VASA own, 130 nt	77	0.00922009	11586
VASA own, 130 nt	78	0.00914955	11586
VASA own, 130 nt	79	0.00906408	11586
VASA own, 130 nt	80	0.00911334	11586
VASA own, 130 nt	81	0.00911281	11586
VASA own, 130 nt	82	0.00906881	11586
VASA own, 130 nt	83	0.00897601	11586
VASA own, 130 nt	84	0.00896939	11586
VASA own, 130 nt	85	0.00891085	11586
VASA own, 130 nt	86	0.00892452	11586
VASA own, 130 nt	87	0.00882198	11586
VASA own, 130 nt	88	0.00865837	11586
VASA own, 130 nt	89	0.00858670	11586
VASA own, 130 nt	90	0.00846560	11586
VASA own, 130 nt	91	0.00857260	11586
VASA own, 130 nt	92	0.00872640	11586
VASA own, 130 nt	93	0.00913966	11586
VASA own, 130 nt	94	0.00938085	11586
VASA own, 130 nt	95	0.00965244	11586
VASA own, 130 nt	96	0.01002163	11586
VASA own, 130 nt	97	0.01044983	11586
VASA own, 130 nt	98	0.01078846	11586
VASA own, 130 nt	99	0.01027879	11586
VASA own, 130 nt	100	0.00741994	11586
VASA own, 75 nt	1	0.00338817	11586
VASA own, 75 nt	2	0.00762722	11586
VASA own, 75 nt	3	0.00990131	11586
VASA own, 75 nt	4	0.01114383	11586
VASA own, 75 nt	5	0.01151197	11586
VASA own, 75 nt	6	0.01162290	11586
VASA own, 75 nt	7	0.01190913	11586
VASA own, 75 nt	8	0.01177843	11586
VASA own, 75 nt	9	0.01175138	11586
VASA own, 75 nt	10	0.01185528	11586
VASA own, 75 nt	11	0.01205916	11586
VASA own, 75 nt	12	0.01161571	11586
VASA own, 75 nt	13	0.01152426	11586
VASA own, 75 nt	14	0.01123856	11586
VASA own, 75 nt	15	0.01121570	11586
VASA own, 75 nt	16	0.01129400	11586
VASA own, 75 nt	17	0.01108369	11586
VASA own, 75 nt	18	0.01097421	11586
VASA own, 75 nt	19	0.01106584	11586
VASA own, 75 nt	20	0.01086479	11586
VASA own, 75 nt	21	0.01058368	11586
VASA own, 75 nt	22	0.01055393	11586
VASA own, 75 nt	23	0.01040280	11586
VASA own, 75 nt	24	0.01057273	11586
VASA own, 75 nt	25	0.01061550	11586
VASA own, 75 nt	26	0.01049044	11586
VASA own, 75 nt	27	0.01042175	11586
VASA own, 75 nt	28	0.01046956	11586
VASA own, 75 nt	29	0.01035768	11586
VASA own, 75 nt	30	0.01028247	11586
VASA own, 75 nt	31	0.01038515	11586
VASA own, 75 nt	32	0.01030485	11586
VASA own, 75 nt	33	0.01022558	11586
VASA own, 75 nt	34	0.01031475	11586
VASA own, 75 nt	35	0.01031811	11586
VASA own, 75 nt	36	0.01019677	11586
VASA own, 75 nt	37	0.01021160	11586
VASA own, 75 nt	38	0.01018240	11586
VASA own, 75 nt	39	0.01043970	11586
VASA own, 75 nt	40	0.01048657	11586
VASA own, 75 nt	41	0.01045282	11586
VASA own, 75 nt	42	0.01058536	11586
VASA own, 75 nt	43	0.01046076	11586
VASA own, 75 nt	44	0.01045128	11586
VASA own, 75 nt	45	0.01037245	11586
VASA own, 75 nt	46	0.01025496	11586
VASA own, 75 nt	47	0.01032102	11586
VASA own, 75 nt	48	0.01032761	11586
VASA own, 75 nt	49	0.01030586	11586
VASA own, 75 nt	50	0.01036983	11586
VASA own, 75 nt	51	0.01022169	11586
VASA own, 75 nt	52	0.01011145	11586
VASA own, 75 nt	53	0.01003942	11586
VASA own, 75 nt	54	0.01002911	11586
VASA own, 75 nt	55	0.00992574	11586
VASA own, 75 nt	56	0.00987667	11586
VASA own, 75 nt	57	0.00986134	11586
VASA own, 75 nt	58	0.00985261	11586
VASA own, 75 nt	59	0.01007045	11586
VASA own, 75 nt	60	0.01017358	11586
VASA own, 75 nt	61	0.01006974	11586
VASA own, 75 nt	62	0.01004565	11586
VASA own, 75 nt	63	0.01000928	11586
VASA own, 75 nt	64	0.00994012	11586
VASA own, 75 nt	65	0.00986140	11586
VASA own, 75 nt	66	0.00977043	11586
VASA own, 75 nt	67	0.00983966	11586
VASA own, 75 nt	68	0.00995081	11586
VASA own, 75 nt	69	0.00987519	11586
VASA own, 75 nt	70	0.00975570	11586
VASA own, 75 nt	71	0.00981545	11586
VASA own, 75 nt	72	0.00956181	11586
VASA own, 75 nt	73	0.00927121	11586
VASA own, 75 nt	74	0.00928396	11586
VASA own, 75 nt	75	0.00934312	11586
VASA own, 75 nt	76	0.00924141	11586
VASA own, 75 nt	77	0.00916018	11586
VASA own, 75 nt	78	0.00911408	11586
VASA own, 75 nt	79	0.00906185	11586
VASA own, 75 nt	80	0.00906822	11586
VASA own, 75 nt	81	0.00908601	11586
VASA own, 75 nt	82	0.00903049	11586
VASA own, 75 nt	83	0.00896883	11586
VASA own, 75 nt	84	0.00902331	11586
VASA own, 75 nt	85	0.00893765	11586
VASA own, 75 nt	86	0.00884900	11586
VASA own, 75 nt	87	0.00888119	11586
VASA own, 75 nt	88	0.00870240	11586
VASA own, 75 nt	89	0.00857331	11586
VASA own, 75 nt	90	0.00845274	11586
VASA own, 75 nt	91	0.00863196	11586
VASA own, 75 nt	92	0.00883766	11586
VASA own, 75 nt	93	0.00924031	11586
VASA own, 75 nt	94	0.00948033	11586
VASA own, 75 nt	95	0.00961874	11586
VASA own, 75 nt	96	0.01006387	11586
VASA own, 75 nt	97	0.01042090	11586
VASA own, 75 nt	98	0.01068763	11586
VASA own, 75 nt	99	0.00956373	11586
VASA own, 75 nt	100	0.00560504	11586
VASA published, mouse	1	0.00295337	11586
VASA published, mouse	2	0.00625676	11586
VASA published, mouse	3	0.00774143	11586
VASA published, mouse	4	0.00830025	11586
VASA published, mouse	5	0.00848492	11586
VASA published, mouse	6	0.00892991	11586
VASA published, mouse	7	0.00915803	11586
VASA published, mouse	8	0.00940314	11586
VASA published, mouse	9	0.00968228	11586
VASA published, mouse	10	0.00990153	11586
VASA published, mouse	11	0.01029383	11586
VASA published, mouse	12	0.01015546	11586
VASA published, mouse	13	0.01001402	11586
VASA published, mouse	14	0.01005493	11586
VASA published, mouse	15	0.01029182	11586
VASA published, mouse	16	0.01072604	11586
VASA published, mouse	17	0.01042935	11586
VASA published, mouse	18	0.01034153	11586
VASA published, mouse	19	0.01037369	11586
VASA published, mouse	20	0.01052795	11586
VASA published, mouse	21	0.01046195	11586
VASA published, mouse	22	0.01052997	11586
VASA published, mouse	23	0.01044290	11586
VASA published, mouse	24	0.01054051	11586
VASA published, mouse	25	0.01056784	11586
VASA published, mouse	26	0.01051749	11586
VASA published, mouse	27	0.01067345	11586
VASA published, mouse	28	0.01075842	11586
VASA published, mouse	29	0.01073116	11586
VASA published, mouse	30	0.01071966	11586
VASA published, mouse	31	0.01073607	11586
VASA published, mouse	32	0.01067848	11586
VASA published, mouse	33	0.01084787	11586
VASA published, mouse	34	0.01104887	11586
VASA published, mouse	35	0.01096977	11586
VASA published, mouse	36	0.01090218	11586
VASA published, mouse	37	0.01110066	11586
VASA published, mouse	38	0.01101318	11586
VASA published, mouse	39	0.01100008	11586
VASA published, mouse	40	0.01078055	11586
VASA published, mouse	41	0.01088029	11586
VASA published, mouse	42	0.01107637	11586
VASA published, mouse	43	0.01114167	11586
VASA published, mouse	44	0.01126036	11586
VASA published, mouse	45	0.01123415	11586
VASA published, mouse	46	0.01120162	11586
VASA published, mouse	47	0.01113409	11586
VASA published, mouse	48	0.01113363	11586
VASA published, mouse	49	0.01103730	11586
VASA published, mouse	50	0.01117278	11586
VASA published, mouse	51	0.01120280	11586
VASA published, mouse	52	0.01116711	11586
VASA published, mouse	53	0.01104365	11586
VASA published, mouse	54	0.01098881	11586
VASA published, mouse	55	0.01103352	11586
VASA published, mouse	56	0.01095385	11586
VASA published, mouse	57	0.01105172	11586
VASA published, mouse	58	0.01092112	11586
VASA published, mouse	59	0.01103198	11586
VASA published, mouse	60	0.01123354	11586
VASA published, mouse	61	0.01102842	11586
VASA published, mouse	62	0.01093937	11586
VASA published, mouse	63	0.01079045	11586
VASA published, mouse	64	0.01076766	11586
VASA published, mouse	65	0.01078710	11586
VASA published, mouse	66	0.01084135	11586
VASA published, mouse	67	0.01076406	11586
VASA published, mouse	68	0.01075474	11586
VASA published, mouse	69	0.01069693	11586
VASA published, mouse	70	0.01047546	11586
VASA published, mouse	71	0.01051755	11586
VASA published, mouse	72	0.01066771	11586
VASA published, mouse	73	0.01054143	11586
VASA published, mouse	74	0.01049669	11586
VASA published, mouse	75	0.01045655	11586
VASA published, mouse	76	0.01032614	11586
VASA published, mouse	77	0.01018306	11586
VASA published, mouse	78	0.01020205	11586
VASA published, mouse	79	0.01008858	11586
VASA published, mouse	80	0.01025349	11586
VASA published, mouse	81	0.01013336	11586
VASA published, mouse	82	0.01007891	11586
VASA published, mouse	83	0.00982730	11586
VASA published, mouse	84	0.00985214	11586
VASA published, mouse	85	0.00981857	11586
VASA published, mouse	86	0.00968309	11586
VASA published, mouse	87	0.00954231	11586
VASA published, mouse	88	0.00932787	11586
VASA published, mouse	89	0.00937049	11586
VASA published, mouse	90	0.00925186	11586
VASA published, mouse	91	0.00915069	11586
VASA published, mouse	92	0.00916964	11586
VASA published, mouse	93	0.00912446	11586
VASA published, mouse	94	0.00885997	11586
VASA published, mouse	95	0.00856429	11586
VASA published, mouse	96	0.00819820	11586
VASA published, mouse	97	0.00728610	11586
VASA published, mouse	98	0.00560601	11586
VASA published, mouse	99	0.00321741	11586
VASA published, mouse	100	0.00141687	11586
FLASH-seq	1	0.00370308	11586
FLASH-seq	2	0.00681991	11586
FLASH-seq	3	0.00861481	11586
FLASH-seq	4	0.00918626	11586
FLASH-seq	5	0.00921022	11586
FLASH-seq	6	0.00949756	11586
FLASH-seq	7	0.00979033	11586
FLASH-seq	8	0.00991868	11586
FLASH-seq	9	0.00995286	11586
FLASH-seq	10	0.01001811	11586
FLASH-seq	11	0.01017094	11586
FLASH-seq	12	0.01014864	11586
FLASH-seq	13	0.00996883	11586
FLASH-seq	14	0.00993645	11586
FLASH-seq	15	0.00999359	11586
FLASH-seq	16	0.01025687	11586
FLASH-seq	17	0.01016893	11586
FLASH-seq	18	0.01028978	11586
FLASH-seq	19	0.01024339	11586
FLASH-seq	20	0.01028651	11586
FLASH-seq	21	0.01010043	11586
FLASH-seq	22	0.01026166	11586
FLASH-seq	23	0.01030471	11586
FLASH-seq	24	0.01032452	11586
FLASH-seq	25	0.01019398	11586
FLASH-seq	26	0.01006887	11586
FLASH-seq	27	0.01016502	11586
FLASH-seq	28	0.01020387	11586
FLASH-seq	29	0.01008784	11586
FLASH-seq	30	0.01010955	11586
FLASH-seq	31	0.01014633	11586
FLASH-seq	32	0.01020847	11586
FLASH-seq	33	0.01018678	11586
FLASH-seq	34	0.01028287	11586
FLASH-seq	35	0.01032643	11586
FLASH-seq	36	0.01036723	11586
FLASH-seq	37	0.01039705	11586
FLASH-seq	38	0.01039504	11586
FLASH-seq	39	0.01054498	11586
FLASH-seq	40	0.01055541	11586
FLASH-seq	41	0.01056837	11586
FLASH-seq	42	0.01081047	11586
FLASH-seq	43	0.01069179	11586
FLASH-seq	44	0.01080816	11586
FLASH-seq	45	0.01079746	11586
FLASH-seq	46	0.01075983	11586
FLASH-seq	47	0.01077351	11586
FLASH-seq	48	0.01079320	11586
FLASH-seq	49	0.01075437	11586
FLASH-seq	50	0.01076584	11586
FLASH-seq	51	0.01080458	11586
FLASH-seq	52	0.01080933	11586
FLASH-seq	53	0.01066666	11586
FLASH-seq	54	0.01066624	11586
FLASH-seq	55	0.01071263	11586
FLASH-seq	56	0.01068159	11586
FLASH-seq	57	0.01072704	11586
FLASH-seq	58	0.01070560	11586
FLASH-seq	59	0.01081948	11586
FLASH-seq	60	0.01086422	11586
FLASH-seq	61	0.01080257	11586
FLASH-seq	62	0.01083642	11586
FLASH-seq	63	0.01080371	11586
FLASH-seq	64	0.01076756	11586
FLASH-seq	65	0.01072895	11586
FLASH-seq	66	0.01073490	11586
FLASH-seq	67	0.01078241	11586
FLASH-seq	68	0.01076214	11586
FLASH-seq	69	0.01068238	11586
FLASH-seq	70	0.01080187	11586
FLASH-seq	71	0.01073672	11586
FLASH-seq	72	0.01060960	11586
FLASH-seq	73	0.01046267	11586
FLASH-seq	74	0.01063221	11586
FLASH-seq	75	0.01051840	11586
FLASH-seq	76	0.01043869	11586
FLASH-seq	77	0.01036592	11586
FLASH-seq	78	0.01037446	11586
FLASH-seq	79	0.01029239	11586
FLASH-seq	80	0.01030992	11586
FLASH-seq	81	0.01039096	11586
FLASH-seq	82	0.01043072	11586
FLASH-seq	83	0.01031334	11586
FLASH-seq	84	0.01028814	11586
FLASH-seq	85	0.01016846	11586
FLASH-seq	86	0.01021629	11586
FLASH-seq	87	0.00999951	11586
FLASH-seq	88	0.00986342	11586
FLASH-seq	89	0.00975657	11586
FLASH-seq	90	0.00960730	11586
FLASH-seq	91	0.00952828	11586
FLASH-seq	92	0.00933918	11586
FLASH-seq	93	0.00929833	11586
FLASH-seq	94	0.00915050	11586
FLASH-seq	95	0.00883347	11586
FLASH-seq	96	0.00834298	11586
FLASH-seq	97	0.00775838	11586
FLASH-seq	98	0.00676653	11586
FLASH-seq	99	0.00541497	11586
FLASH-seq	100	0.00370162	11586
