dataset	unit	probe_residual	reads_in	pct
FLASH-seq	ZHA8833A1	884721	29179266	3.0320
FLASH-seq	ZHA8833A10	327623	23127771	1.4166
FLASH-seq	ZHA8833A2	676189	24401230	2.7711
FLASH-seq	ZHA8833A3	421275	24685557	1.7066
FLASH-seq	ZHA8833A4	514644	29987578	1.7162
FLASH-seq	ZHA8833A5	444210	28687141	1.5485
FLASH-seq	ZHA8833A6	334835	23249296	1.4402
FLASH-seq	ZHA8833A7	307097	23617000	1.3003
FLASH-seq	ZHA8833A8	630917	31803422	1.9838
FLASH-seq	ZHA8833A9	874492	38682256	2.2607
VASA own, 130 nt	001	33825	323197	10.4658
VASA own, 130 nt	002	417208	2844246	14.6685
VASA own, 130 nt	003	995710	5062872	19.6669
VASA own, 130 nt	004	655870	3929825	16.6895
VASA own, 130 nt	005	562353	3333169	16.8714
VASA own, 130 nt	006	778938	5141996	15.1486
VASA own, 130 nt	007	1707130	10042352	16.9993
VASA own, 130 nt	008	998447	6305642	15.8342
VASA own, 130 nt	009	1260869	7664621	16.4505
VASA own, 130 nt	010	2392337	14411120	16.6006
VASA own, 130 nt	011	2515537	14777546	17.0227
VASA own, 130 nt	012	2121867	12084966	17.5579
VASA own, 130 nt	013	1887346	11340024	16.6432
VASA own, 130 nt	014	21518	377254	5.7038
VASA own, 130 nt	015	31626	435593	7.2604
VASA own, 130 nt	016	11945	200349	5.9621
VASA own, 75 nt	001	33840	294847	11.4771
VASA own, 75 nt	002	413594	2782660	14.8633
VASA own, 75 nt	003	988153	4988795	19.8074
VASA own, 75 nt	004	651363	3818364	17.0587
VASA own, 75 nt	005	558106	3266655	17.0849
VASA own, 75 nt	006	773165	5014767	15.4178
VASA own, 75 nt	007	1694334	9939121	17.0471
VASA own, 75 nt	008	992176	6220055	15.9512
VASA own, 75 nt	009	1252750	7581145	16.5245
VASA own, 75 nt	010	2370986	14284881	16.5979
VASA own, 75 nt	011	2490840	14619623	17.0376
VASA own, 75 nt	012	2102690	11980281	17.5513
VASA own, 75 nt	013	1867639	11234350	16.6244
VASA own, 75 nt	014	21911	305773	7.1658
VASA own, 75 nt	015	31966	377867	8.4596
VASA own, 75 nt	016	12081	157461	7.6724
VASA published, mouse	002	2733	64160	4.2597
VASA published, mouse	004	12561	623586	2.0143
VASA published, mouse	006	6785	532713	1.2737
VASA published, mouse	008	5944	262699	2.2627
VASA published, mouse	010	4327	384525	1.1253
VASA published, mouse	012	21001	1048289	2.0034
VASA published, mouse	014	773	63153	1.2240
VASA published, mouse	016	6106	371006	1.6458
VASA published, mouse	018	7124	338398	2.1052
VASA published, mouse	020	23817	894887	2.6615
VASA published, mouse	022	7336	509420	1.4401
VASA published, mouse	026	3167	197402	1.6043
VASA published, mouse	032	1847	170360	1.0842
VASA published, mouse	034	1418	188935	0.7505
VASA published, mouse	036	3852	336023	1.1464
VASA published, mouse	038	1072	115666	0.9268
VASA published, mouse	040	500	46395	1.0777
VASA published, mouse	042	2435	134231	1.8140
VASA published, mouse	044	1616	162487	0.9945
VASA published, mouse	046	60	64392	0.0932
VASA published, mouse	050	673	104782	0.6423
VASA published, mouse	054	927	79174	1.1708
VASA published, mouse	056	13850	869088	1.5936
VASA published, mouse	058	712	114651	0.6210
VASA published, mouse	060	2418	260728	0.9274
VASA published, mouse	062	1565	257524	0.6077
VASA published, mouse	064	2113	233624	0.9044
VASA published, mouse	066	3324	381744	0.8707
VASA published, mouse	068	1947	183321	1.0621
VASA published, mouse	070	2841	175994	1.6143
VASA published, mouse	076	3750	387290	0.9683
VASA published, mouse	078	4636	342339	1.3542
VASA published, mouse	080	3322	396308	0.8382
VASA published, mouse	082	807	131839	0.6121
VASA published, mouse	084	579	107398	0.5391
VASA published, mouse	086	888	158432	0.5605
VASA published, mouse	088	3763	421409	0.8930
VASA published, mouse	090	8223	621063	1.3240
VASA published, mouse	092	3045	337333	0.9027
VASA published, mouse	094	3452	313141	1.1024
VASA published, mouse	098	489	143338	0.3412
VASA published, mouse	100	4679	404001	1.1582
VASA published, mouse	104	1625	143752	1.1304
VASA published, mouse	106	1388	209933	0.6612
VASA published, mouse	108	3673	349275	1.0516
VASA published, mouse	112	4976	528894	0.9408
