dataset	depth	cells	mean_genes	sd_genes
VASA own, 130 nt	5000	16	2944.30	71.75
VASA own, 130 nt	10000	16	4660.27	124.88
VASA own, 130 nt	25000	15	7658.35	196.80
VASA own, 130 nt	50000	13	10216.49	319.38
VASA own, 130 nt	75000	12	11823.19	299.26
VASA own, 130 nt	100000	12	12930.47	344.93
VASA own, 130 nt	200000	12	15661.38	466.67
VASA own, 130 nt	500000	12	19536.36	638.35
VASA own, 130 nt	1000000	11	22809.51	757.82
VASA own, 75 nt	5000	16	3006.39	83.46
VASA own, 75 nt	10000	16	4766.70	139.01
VASA own, 75 nt	25000	15	7839.31	200.21
VASA own, 75 nt	50000	13	10427.61	306.58
VASA own, 75 nt	75000	12	12053.77	326.28
VASA own, 75 nt	100000	12	13190.73	376.55
VASA own, 75 nt	200000	12	16028.06	505.81
VASA own, 75 nt	500000	12	20142.42	671.42
VASA own, 75 nt	1000000	11	23655.67	796.83
VASA published, mouse	5000	173	2868.94	139.87
VASA published, mouse	10000	173	4287.48	264.93
VASA published, mouse	25000	169	6430.94	481.03
VASA published, mouse	50000	157	8088.04	571.14
VASA published, mouse	75000	142	9058.26	580.31
VASA published, mouse	100000	129	9718.65	595.78
VASA published, mouse	200000	83	11364.39	613.73
VASA published, mouse	500000	17	14049.97	404.39
FLASH-seq	5000	9	2701.04	503.29
FLASH-seq	10000	9	4189.64	909.53
FLASH-seq	25000	9	6728.04	1669.26
FLASH-seq	50000	9	8858.65	2334.02
FLASH-seq	75000	9	10099.81	2728.85
FLASH-seq	100000	9	10961.31	3008.63
FLASH-seq	200000	9	12967.88	3696.52
FLASH-seq	500000	9	15572.68	4713.00
FLASH-seq	1000000	9	17609.90	5613.63
