dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
FLASH-seq	ZHA8833A1	multi	2859975	2837376	13617442	517756	2319620	1117425	171559	17	1548375	0	0
FLASH-seq	ZHA8833A1	single	23606553	23443793	40165742	20258325	3185468	19080930	983015	81	3379767	0	0
FLASH-seq	ZHA8833A10	multi	2624825	2608198	13228673	430516	2177682	972520	135480	0	1500198	0	0
FLASH-seq	ZHA8833A10	single	17846710	17726288	30389600	15255923	2470365	14584769	562130	47	2579342	0	0
FLASH-seq	ZHA8833A2	multi	2752292	2729126	13059350	509264	2219862	1048404	193452	30	1487240	0	0
FLASH-seq	ZHA8833A2	single	19734703	19570602	33297225	16921134	2649468	15891737	856019	105	2822741	0	0
FLASH-seq	ZHA8833A3	multi	2931989	2909521	13972610	526405	2383116	1120582	195069	14	1593856	0	0
FLASH-seq	ZHA8833A3	single	19726698	4022273	6811850	3477855	544418	3294939	157141	61	570132	0	0
FLASH-seq	ZHA8833A4	multi	3588186	3561464	17376996	625091	2936373	1353062	223795	31	1984576	0	0
FLASH-seq	ZHA8833A4	single	24257888	24071536	40916305	20764766	3306770	19658996	899621	118	3512801	0	0
FLASH-seq	ZHA8833A5	multi	3484434	3458424	16824862	611533	2846891	1314969	214895	29	1928531	0	0
FLASH-seq	ZHA8833A5	single	22769643	0	0	0	0	0	0	0	0	0	0
FLASH-seq	ZHA8833A6	multi	2849562	2826459	13557185	508806	2317653	1080031	184604	29	1561795	0	0
FLASH-seq	ZHA8833A6	single	18628927	18472025	31109671	15976232	2495793	15023068	762365	102	2686490	0	0
FLASH-seq	ZHA8833A7	multi	2717171	2695240	12761686	485553	2209687	1055820	166955	9	1472456	0	0
FLASH-seq	ZHA8833A7	single	18223740	18081242	30655029	15640123	2441119	14750003	688132	121	2642986	0	0
FLASH-seq	ZHA8833A8	multi	3928806	3902554	19513165	568682	3333872	1496656	210393	64	2195441	0	0
FLASH-seq	ZHA8833A8	single	19518992	19340873	33886094	16588838	2752035	16031703	535684	258	2773228	0	0
FLASH-seq	ZHA8833A9	multi	3696669	3674378	18833165	579468	3094910	1366235	179648	42	2128453	0	0
FLASH-seq	ZHA8833A9	single	24296954	24140627	41398947	20747994	3392633	19848659	790181	153	3501634	0	0
VASA own, 130 nt	001	multi	53985	43648	134898	22468	21180	7538	25636	3	10471	0	0
VASA own, 130 nt	001	single	58557	40249	52203	38250	1999	25041	13490	8	1710	0	0
VASA own, 130 nt	002	multi	644160	602844	2229555	91780	511064	154773	322774	68	125229	0	0
VASA own, 130 nt	002	single	1196866	884370	1219833	828581	55789	651197	192180	167	40826	0	0
VASA own, 130 nt	003	multi	1051729	985521	4540768	169377	816144	422080	272501	120	290820	0	0
