dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	20	MiscRna	8	7933
FLASH-seq	multi	20	MtTrna	1	7933
FLASH-seq	multi	20	ProcessedPseudogene	504	7933
FLASH-seq	multi	20	ProteinCoding	7741	7933
FLASH-seq	multi	20	TEC	46	7933
FLASH-seq	multi	20	TrCGene	1	7933
FLASH-seq	multi	20	TranscribedProcessedPseudogene	555	7933
FLASH-seq	multi	20	TranscribedUnitaryPseudogene	6	7933
FLASH-seq	multi	20	TranscribedUnprocessedPseudogene	20	7933
FLASH-seq	multi	20	UnitaryPseudogene	12	7933
FLASH-seq	multi	20	UnprocessedPseudogene	3980	7933
FLASH-seq	multi	20	lncRNA	2307	7933
FLASH-seq	multi	20	miRNA	14	7933
FLASH-seq	multi	20	snRNA	2	7933
FLASH-seq	multi	21	IgCGene	1	5154
FLASH-seq	multi	21	MiscRna	8	5154
FLASH-seq	multi	21	ProcessedPseudogene	2095	5154
FLASH-seq	multi	21	ProteinCoding	4958	5154
FLASH-seq	multi	21	TEC	41	5154
FLASH-seq	multi	21	TranscribedProcessedPseudogene	1805	5154
FLASH-seq	multi	21	TranscribedUnitaryPseudogene	12	5154
FLASH-seq	multi	21	TranscribedUnprocessedPseudogene	47	5154
FLASH-seq	multi	21	UnitaryPseudogene	7	5154
FLASH-seq	multi	21	UnprocessedPseudogene	199	5154
FLASH-seq	multi	21	lncRNA	3433	5154
FLASH-seq	multi	21	miRNA	10	5154
FLASH-seq	multi	21	snRNA	1	5154
FLASH-seq	multi	21	snoRNA	1	5154
FLASH-seq	multi	21	tRNA	1	5154
FLASH-seq	multi	22	MiscRna	11	4016
FLASH-seq	multi	22	ProcessedPseudogene	616	4016
FLASH-seq	multi	22	ProteinCoding	3800	4016
FLASH-seq	multi	22	TEC	38	4016
FLASH-seq	multi	22	TranscribedProcessedPseudogene	364	4016
FLASH-seq	multi	22	TranscribedUnitaryPseudogene	14	4016
FLASH-seq	multi	22	TranscribedUnprocessedPseudogene	46	4016
FLASH-seq	multi	22	UnitaryPseudogene	7	4016
FLASH-seq	multi	22	UnprocessedPseudogene	354	4016
FLASH-seq	multi	22	lncRNA	2099	4016
FLASH-seq	multi	22	miRNA	15	4016
FLASH-seq	multi	22	rRNA	1	4016
FLASH-seq	multi	22	snRNA	1	4016
FLASH-seq	multi	23	IgVGene	1	4474
FLASH-seq	multi	23	MiscRna	8	4474
FLASH-seq	multi	23	MtTrna	3	4474
FLASH-seq	multi	23	ProcessedPseudogene	745	4474
FLASH-seq	multi	23	ProteinCoding	4246	4474
FLASH-seq	multi	23	TEC	34	4474
FLASH-seq	multi	23	TranscribedProcessedPseudogene	338	4474
