dataset	cell	class	biotype	reads
FLASH-seq	ZHA8833A1	multi	ProteinCoding	2696714
FLASH-seq	ZHA8833A1	multi	lncRNA	1592028
FLASH-seq	ZHA8833A1	multi	ProcessedPseudogene	1263813
FLASH-seq	ZHA8833A1	multi	TranscribedProcessedPseudogene	564777
FLASH-seq	ZHA8833A1	multi	UnprocessedPseudogene	185964
FLASH-seq	ZHA8833A1	multi	miRNA	68499
FLASH-seq	ZHA8833A1	multi	MiscRna	64580
FLASH-seq	ZHA8833A1	multi	TranscribedUnprocessedPseudogene	42486
FLASH-seq	ZHA8833A1	multi	TEC	36434
FLASH-seq	ZHA8833A1	multi	TranscribedUnitaryPseudogene	13690
FLASH-seq	ZHA8833A1	multi	UnitaryPseudogene	6496
FLASH-seq	ZHA8833A1	multi	MtTrna	5528
FLASH-seq	ZHA8833A1	multi	snoRNA	539
FLASH-seq	ZHA8833A1	multi	tRNA	481
FLASH-seq	ZHA8833A1	multi	snRNA	177
FLASH-seq	ZHA8833A1	multi	pseudogene	40
FLASH-seq	ZHA8833A1	multi	rRNA	29
FLASH-seq	ZHA8833A1	multi	ribozyme	9
FLASH-seq	ZHA8833A1	multi	MtRrna	3
FLASH-seq	ZHA8833A1	multi	TrVGene	2
FLASH-seq	ZHA8833A1	multi	IgVGene	1
FLASH-seq	ZHA8833A1	multi	TrCGene	1
FLASH-seq	ZHA8833A1	single	ProteinCoding	23055887
FLASH-seq	ZHA8833A1	single	lncRNA	3244705
FLASH-seq	ZHA8833A1	single	TEC	126584
FLASH-seq	ZHA8833A1	single	miRNA	83446
FLASH-seq	ZHA8833A1	single	ProcessedPseudogene	74244
FLASH-seq	ZHA8833A1	single	TranscribedProcessedPseudogene	38951
FLASH-seq	ZHA8833A1	single	TranscribedUnprocessedPseudogene	15690
FLASH-seq	ZHA8833A1	single	snoRNA	6899
FLASH-seq	ZHA8833A1	single	TranscribedUnitaryPseudogene	3173
FLASH-seq	ZHA8833A1	single	MtTrna	2556
FLASH-seq	ZHA8833A1	single	MiscRna	2217
FLASH-seq	ZHA8833A1	single	UnprocessedPseudogene	2112
FLASH-seq	ZHA8833A1	single	UnitaryPseudogene	918
FLASH-seq	ZHA8833A1	single	snRNA	763
FLASH-seq	ZHA8833A1	single	tRNA	704
FLASH-seq	ZHA8833A1	single	ribozyme	268
FLASH-seq	ZHA8833A1	single	MtRrna	228
FLASH-seq	ZHA8833A1	single	rRNA	184
FLASH-seq	ZHA8833A1	single	scaRNA	150
FLASH-seq	ZHA8833A1	single	TrVGene	19
FLASH-seq	ZHA8833A1	single	IgVGene	13
FLASH-seq	ZHA8833A1	single	TranslatedUnprocessedPseudogene	7
FLASH-seq	ZHA8833A1	single	pseudogene	6
FLASH-seq	ZHA8833A1	single	IgCGene	5
FLASH-seq	ZHA8833A1	single	IgVPseudogene	3
FLASH-seq	ZHA8833A1	single	TrCGene	3
FLASH-seq	ZHA8833A10	multi	ProteinCoding	2513498
FLASH-seq	ZHA8833A10	multi	lncRNA	1478853
FLASH-seq	ZHA8833A10	multi	ProcessedPseudogene	1308866
FLASH-seq	ZHA8833A10	multi	TranscribedProcessedPseudogene	579336
FLASH-seq	ZHA8833A10	multi	UnprocessedPseudogene	123285
FLASH-seq	ZHA8833A10	multi	miRNA	49402
FLASH-seq	ZHA8833A10	multi	MiscRna	41375
FLASH-seq	ZHA8833A10	multi	TEC	37598
FLASH-seq	ZHA8833A10	multi	TranscribedUnprocessedPseudogene	35468
FLASH-seq	ZHA8833A10	multi	TranscribedUnitaryPseudogene	14666
FLASH-seq	ZHA8833A10	multi	UnitaryPseudogene	5897
FLASH-seq	ZHA8833A10	multi	MtTrna	3947
FLASH-seq	ZHA8833A10	multi	tRNA	664
FLASH-seq	ZHA8833A10	multi	snoRNA	533
FLASH-seq	ZHA8833A10	multi	rRNA	88
FLASH-seq	ZHA8833A10	multi	pseudogene	49
FLASH-seq	ZHA8833A10	multi	snRNA	46
FLASH-seq	ZHA8833A10	multi	ribozyme	6
