contig	start	end	probe_target	length
mouse_rDNA_47S_BK000964.3_1-13403	4008	5877	probe_18S	1870
mouse_rDNA_47S_BK000964.3_1-13403	6878	7034	probe_5.8S	157
mouse_rDNA_47S_BK000964.3_1-13403	8123	8678	probe_28S	556
mouse_rDNA_47S_BK000964.3_1-13403	8731	8921	probe_28S	191
mouse_rDNA_47S_BK000964.3_1-13403	8923	9014	probe_28S	92
mouse_rDNA_47S_BK000964.3_1-13403	9031	9178	probe_28S	148
mouse_rDNA_47S_BK000964.3_1-13403	9190	10032	probe_28S	843
mouse_rDNA_47S_BK000964.3_1-13403	10122	10861	probe_28S	740
mouse_rDNA_47S_BK000964.3_1-13403	11062	11203	probe_28S	142
mouse_rDNA_47S_BK000964.3_1-13403	11309	12551	probe_28S	1243
mouse_rDNA_47S_BK000964.3_1-13403	12587	12842	probe_28S	256
ENSMUSG00000119743_n-R5s211_rRNA(+)	1	119	probe_5S	119
ENSMUSG00002076439_Gm54920_rRNA(-)	34	109	probe_5S	76
ENSMUSG00002076567_Gm56301_rRNA(-)	36	97	probe_5S	62
ENSMUSG00000119706_n-R5s210_rRNA(+)	1	119	probe_5S	119
ENSMUSG00000119695_n-R5s209_rRNA(-)	1	117	probe_5S	117
ENSMUSG00002075966_Gm54925_rRNA(+)	4	98	probe_5S	95
ENSMUSG00002076254_Gm56374_rRNA(+)	37	88	probe_5S	52
ENSMUSG00002075220_Gm56394_rRNA(-)	7	102	probe_5S	96
ENSMUSG00000064906_n-R5s204_rRNA(+)	12	119	probe_5S	108
ENSMUSG00002075096_Gm55774_rRNA(-)	32	125	probe_5S	94
ENSMUSG00002075091_Gm56377_rRNA(+)	22	81	probe_5S	60
ENSMUSG00000118781_n-R5s13_rRNA(+)	1	119	probe_5S	119
ENSMUSG00000118952_n-R5s2_rRNA(+)	1	119	probe_5S	119
ENSMUSG00002075682_Gm54697_rRNA(+)	1	98	probe_5S	98
ENSMUSG00002076396_Gm55418_rRNA(-)	2	93	probe_5S	92
ENSMUSG00000119205_n-R5s5_rRNA(-)	29	119	probe_5S	91
ENSMUSG00002076760_Gm54596_rRNA(+)	30	80	probe_5S	51
ENSMUSG00000065689_n-R5s7_rRNA(-)	1	63	probe_5S	63
ENSMUSG00002075815_Gm55580_rRNA(+)	34	86	probe_5S	53
ENSMUSG00002075832_Gm55581_rRNA(+)	34	86	probe_5S	53
ENSMUSG00002076786_Gm55582_rRNA(-)	34	86	probe_5S	53
ENSMUSG00002075969_Gm55202_rRNA(-)	31	119	probe_5S	89
ENSMUSG00000118708_n-R5s195_rRNA(-)	1	119	probe_5S	119
ENSMUSG00002076132_Gm55090_rRNA(+)	9	104	probe_5S	96
ENSMUSG00000119546_n-R5s194_rRNA(+)	1	119	probe_5S	119
ENSMUSG00000118681_n-R5s197_rRNA(+)	64	119	probe_5S	56
ENSMUSG00002075745_Gm55098_rRNA(+)	1	101	probe_5S	101
ENSMUSG00002076082_Gm56210_rRNA(+)	39	115	probe_5S	77
ENSMUSG00002076080_Gm56217_rRNA(+)	8	107	probe_5S	100
ENSMUSG00002075470_Gm56290_rRNA(-)	1	102	probe_5S	102
ENSMUSG00000065887_n-R5s185_rRNA(+)	1	119	probe_5S	119
ENSMUSG00002075237_Gm55542_rRNA(-)	1	97	probe_5S	97
ENSMUSG00002075934_Gm55865_rRNA(-)	4	106	probe_5S	103
ENSMUSG00002075252_Gm55977_rRNA(+)	30	81	probe_5S	52
ENSMUSG00002075687_Gm56096_rRNA(+)	7	108	probe_5S	102
ENSMUSG00002076210_Gm56099_rRNA(+)	11	61	probe_5S	51
ENSMUSG00000064554_n-R5s173_rRNA(+)	38	103	probe_5S	66
ENSMUSG00002075884_Gm54797_rRNA(+)	70	120	probe_5S	51
ENSMUSG00002076829_Gm56078_rRNA(+)	1	57	probe_5S	57
ENSMUSG00002075637_Gm55073_rRNA(-)	22	93	probe_5.8S	72
ENSMUSG00002076373_Gm55485_rRNA(+)	1	54	probe_5S	54
ENSMUSG00000064515_n-R5s162_rRNA(+)	1	118	probe_5S	118
ENSMUSG00002076864_Gm55619_rRNA(-)	1	84	probe_5S	84
ENSMUSG00002074856_Gm55752_rRNA(+)	1	102	probe_5S	102
ENSMUSG00002074950_Gm55829_rRNA(+)	10	114	probe_5S	105
ENSMUSG00002075937_Gm55438_rRNA(+)	32	96	probe_5S	65
ENSMUSG00002075697_Gm55441_rRNA(+)	11	96	probe_5S	86
ENSMUSG00002076555_Gm55748_rRNA(+)	29	94	probe_5S	66
ENSMUSG00000119136_n-R5s152_rRNA(-)	30	115	probe_5S	86
ENSMUSG00002075356_Gm55996_rRNA(+)	37	86	probe_5S	50
ENSMUSG00002076334_Gm56034_rRNA(-)	1	52	probe_5S	52
