contig	start	end	probe_target	length
mouse_rDNA_47S_BK000964.3_1-13403	4008	5877	probe_18S	1870
mouse_rDNA_47S_BK000964.3_1-13403	6878	7034	probe_5.8S	157
mouse_rDNA_47S_BK000964.3_1-13403	8123	8678	probe_28S	556
mouse_rDNA_47S_BK000964.3_1-13403	8731	8921	probe_28S	191
mouse_rDNA_47S_BK000964.3_1-13403	8923	9014	probe_28S	92
mouse_rDNA_47S_BK000964.3_1-13403	9031	9178	probe_28S	148
mouse_rDNA_47S_BK000964.3_1-13403	9190	10032	probe_28S	843
mouse_rDNA_47S_BK000964.3_1-13403	10122	10861	probe_28S	740
mouse_rDNA_47S_BK000964.3_1-13403	11062	11203	probe_28S	142
mouse_rDNA_47S_BK000964.3_1-13403	11309	12551	probe_28S	1243
mouse_rDNA_47S_BK000964.3_1-13403	12587	12842	probe_28S	256
mouse_ENSMUSG00000064906_rRNA(+)	12	119	probe_5S	108
mouse_ENSMUSG00000065689_rRNA(-)	1	63	probe_5S	63
mouse_ENSMUSG00000065887_rRNA(+)	1	119	probe_5S	119
mouse_ENSMUSG00000064554_rRNA(+)	38	103	probe_5S	66
mouse_ENSMUSG00000064515_rRNA(+)	1	118	probe_5S	118
mouse_ENSMUSG00000065107_rRNA(+)	1	117	probe_5S	117
mouse_ENSMUSG00000064548_rRNA(+)	3	113	probe_5S	111
mouse_ENSMUSG00000064959_rRNA(+)	26	115	probe_5S	90
mouse_ENSMUSG00000070225_rRNA(+)	1	119	probe_5S	119
mouse_ENSMUSG00000065387_rRNA(+)	21	119	probe_5S	99
mouse_ENSMUSG00000064748_rRNA(+)	1	119	probe_5S	119
mouse_ENSMUSG00000075874_rRNA(-)	1	119	probe_5S	119
mouse_ENSMUSG00000064857_rRNA(+)	1	119	probe_5S	119
mouse_ENSMUSG00000064337_Mt_rRNA(+)	217	275	probe_mt12S	59
mouse_ENSMUSG00000064337_Mt_rRNA(+)	388	469	probe_mt12S	82
mouse_ENSMUSG00000064337_Mt_rRNA(+)	492	636	probe_mt12S	145
mouse_ENSMUSG00000064337_Mt_rRNA(+)	670	729	probe_mt12S	60
mouse_ENSMUSG00000064339_Mt_rRNA(+)	501	562	probe_mt16S	62
mouse_ENSMUSG00000064339_Mt_rRNA(+)	808	982	probe_mt16S	175
mouse_ENSMUSG00000064339_Mt_rRNA(+)	1249	1463	probe_mt16S	215
